-->[1]  [OSMlabel=(tourism) (hotel) Sun City Hotel, lat=25.2626792, lgt=55.2964882, score=13.0]
-->[2]  [OSMlabel=(tourism) (hotel) Hili Rayaan Rotana, lat=24.274736, lgt=55.7782161, score=13.0]
-->[3]  [OSMlabel=(tourism) (hotel) Dubai Nova Hotel, lat=25.262376, lgt=55.2958793, score=13.0]
-->[4]  [OSMlabel=(tourism) (hotel) Orchid Hotel, lat=25.26060445, lgt=55.3246791, score=11.0]
-->[5]  [OSMlabel=(tourism) (hotel) Royal Grand, lat=25.30807215, lgt=55.3787103, score=11.0]
-->[6]  [OSMlabel=(tourism) (hotel) Novotel, lat=25.2214828, lgt=55.2883397, score=11.0]
-->[7]  [OSMlabel=(tourism) (hotel) Marhaba Residence - Ajman, lat=25.39026685, lgt=55.460692699999996, score=11.0]
-->[8]  [OSMlabel=(tourism) (hotel) Imperial hotel apartments, lat=25.255447699999998, lgt=55.2999467, score=11.0]
-->[9]  [OSMlabel=(tourism) (hotel) London Crown, lat=25.25469415, lgt=55.29921495, score=11.0]
-->[10]  [OSMlabel=(tourism) (hotel) Astoria Hotel, lat=25.2621069, lgt=55.29224055, score=11.0]
-->[11]  [OSMlabel=(tourism) (hotel) Chelsea Plaza Hotel, lat=25.23544055, lgt=55.2796043, score=11.0]
-->[12]  [OSMlabel=(tourism) (hotel) Golden Sands 3, lat=25.251806600000002, lgt=55.2946611, score=11.0]
-->[13]  [OSMlabel=(tourism) (hotel) Hotel Vasantha Bhavan, lat=25.261423, lgt=55.2916491, score=11.0]
-->[14]  [OSMlabel=(tourism) (hotel) Lords Beach Hotel, lat=25.3367017, lgt=55.36214835, score=11.0]
-->[15]  [OSMlabel=(tourism) (hotel) Meydan, lat=25.1572955, lgt=55.302061699999996, score=11.0]
-->[16]  [OSMlabel=(tourism) (hotel) Al Bustan Beach Hotel, lat=25.33417005, lgt=55.36349525, score=11.0]
-->[17]  [OSMlabel=(tourism) (hotel) Al Manzil, lat=25.19119165, lgt=55.2776364, score=11.0]
-->[18]  [OSMlabel=(tourism) (hotel) Emirates Grand Hotel, lat=25.2094854, lgt=55.275152750000004, score=11.0]
-->[19]  [OSMlabel=(tourism) (hotel) Ibis World Trade Center, lat=25.22298485, lgt=55.285834, score=11.0]
-->[20]  [OSMlabel=(tourism) (hotel) Kiku, lat=25.2495498, lgt=55.3472946, score=11.0]
