-->[1]  [OSMlabel=(tourism) (hotel) Sun City Hotel, lat=25.2626792, lgt=55.2964882, score=0.5696009389671362]
-->[2]  [OSMlabel=(tourism) (hotel) Dubai Nova Hotel, lat=25.262376, lgt=55.2958793, score=0.5696009389671362]
-->[3]  [OSMlabel=(tourism) (hotel) Orchid Hotel, lat=25.26060445, lgt=55.3246791, score=0.5690340909090909]
-->[4]  [OSMlabel=(tourism) (hotel) Novotel, lat=25.2214828, lgt=55.2883397, score=0.5690340909090909]
-->[5]  [OSMlabel=(tourism) (hotel) Imperial hotel apartments, lat=25.255447699999998, lgt=55.2999467, score=0.5690340909090909]
-->[6]  [OSMlabel=(tourism) (hotel) London Crown, lat=25.25469415, lgt=55.29921495, score=0.5690340909090909]
-->[7]  [OSMlabel=(tourism) (hotel) Astoria Hotel, lat=25.2621069, lgt=55.29224055, score=0.5690340909090909]
-->[8]  [OSMlabel=(tourism) (hotel) Chelsea Plaza Hotel, lat=25.23544055, lgt=55.2796043, score=0.5690340909090909]
-->[9]  [OSMlabel=(tourism) (hotel) Golden Sands 3, lat=25.251806600000002, lgt=55.2946611, score=0.5690340909090909]
-->[10]  [OSMlabel=(tourism) (hotel) Hotel Vasantha Bhavan, lat=25.261423, lgt=55.2916491, score=0.5690340909090909]
-->[11]  [OSMlabel=(tourism) (hotel) Byblos Hotel, lat=25.09750405, lgt=55.173544699999994, score=0.5690340909090909]
-->[12]  [OSMlabel=(tourism) (hotel) Grandeur Hotel, lat=25.10956975, lgt=55.20311445, score=0.5690340909090909]
-->[13]  [OSMlabel=(tourism) (hotel) Meydan, lat=25.1572955, lgt=55.302061699999996, score=0.5690340909090909]
-->[14]  [OSMlabel=(tourism) (hotel) Al Manzil, lat=25.19119165, lgt=55.2776364, score=0.5690340909090909]
-->[15]  [OSMlabel=(tourism) (hotel) Emirates Grand Hotel, lat=25.2094854, lgt=55.275152750000004, score=0.5690340909090909]
