-->[1]  [OSMlabel=(tourism) (hotel) Emirates Grand Hotel, lat=25.2094854, lgt=55.275152750000004, score=10.0]
-->[2]  [OSMlabel=(tourism) (hotel) DoubleTree by Hilton Hotel Dubai - Jumeirah Beach, lat=25.0724883, lgt=55.128186, score=10.0]
-->[3]  [OSMlabel=(tourism) (hotel) Landmark Hotel, lat=25.2690822, lgt=55.3053996, score=10.0]
-->[4]  [OSMlabel=(tourism) (hotel) Grand Midwest Tower Hotel Apartments, lat=25.1014427, lgt=55.1707467, score=10.0]
-->[5]  [OSMlabel=(tourism) (hotel) Chelsea Gardens Hotel, lat=25.0482305, lgt=55.130645, score=10.0]
-->[6]  [OSMlabel=(tourism) (hotel) Pulman, lat=25.2505072, lgt=55.3346895, score=10.0]
-->[7]  [OSMlabel=(tourism) (hotel) Auris Plaza Hotel, lat=25.1138027, lgt=55.2003057, score=10.0]
-->[8]  [OSMlabel=(tourism) (hotel) Media One Hotel, lat=25.0897789, lgt=55.1525559, score=10.0]
-->[9]  [OSMlabel=(tourism) (hotel) Dusit, lat=25.0829862, lgt=55.1443893, score=10.0]
-->[10]  [OSMlabel=(tourism) (hotel) Novotel, lat=25.2214828, lgt=55.2883397, score=8.0]
-->[11]  [OSMlabel=(tourism) (hotel) Novotel, lat=24.429290899999998, lgt=54.42887835, score=8.0]
-->[12]  [OSMlabel=(tourism) (hotel) Chelsea Plaza Hotel, lat=25.23544055, lgt=55.2796043, score=8.0]
-->[13]  [OSMlabel=(tourism) (hotel) Golden Sands 3, lat=25.251806600000002, lgt=55.2946611, score=8.0]
-->[14]  [OSMlabel=(tourism) (hotel) Dusit Thani Abu Dhabi, lat=24.45571085, lgt=54.3949107, score=8.0]
-->[15]  [OSMlabel=(tourism) (hotel) Byblos Hotel, lat=25.09750405, lgt=55.173544699999994, score=8.0]
-->[16]  [OSMlabel=(tourism) (hotel) Grandeur Hotel, lat=25.10956975, lgt=55.20311445, score=8.0]
-->[17]  [OSMlabel=(tourism) (hotel) Hilton Capital Grand Abu Dhabi, lat=24.421231650000003, lgt=54.4564366, score=8.0]
-->[18]  [OSMlabel=(tourism) (hotel) Meydan, lat=25.1572955, lgt=55.302061699999996, score=8.0]
-->[19]  [OSMlabel=(tourism) (hotel) Al Manzil, lat=25.19119165, lgt=55.2776364, score=8.0]
-->[20]  [OSMlabel=(tourism) (hotel) Cassells Hotel Apartments, lat=24.484681950000002, lgt=54.36089925, score=8.0]
