-->[1]  [OSMlabel=(tourism) (hotel) Orchid Hotel, lat=25.26060445, lgt=55.3246791, score=26.0]
-->[2]  [OSMlabel=(tourism) (hotel) Royal Grand, lat=25.30807215, lgt=55.3787103, score=26.0]
-->[3]  [OSMlabel=(tourism) (hotel) Southern Sun Abu Dhabi, lat=24.500459, lgt=54.3712254, score=26.0]
-->[4]  [OSMlabel=(tourism) (hotel) Imperial hotel apartments, lat=25.255447699999998, lgt=55.2999467, score=26.0]
-->[5]  [OSMlabel=(tourism) (hotel) Astoria Hotel, lat=25.2621069, lgt=55.29224055, score=26.0]
-->[6]  [OSMlabel=(tourism) (hotel) Chelsea Plaza Hotel, lat=25.23544055, lgt=55.2796043, score=26.0]
-->[7]  [OSMlabel=(tourism) (hotel) Hotel Vasantha Bhavan, lat=25.261423, lgt=55.2916491, score=26.0]
-->[8]  [OSMlabel=(tourism) (hotel) Al Bustan Beach Hotel, lat=25.33417005, lgt=55.36349525, score=26.0]
-->[9]  [OSMlabel=(tourism) (hotel) Al Manzil, lat=25.19119165, lgt=55.2776364, score=26.0]
-->[10]  [OSMlabel=(tourism) (hotel) Cassells Hotel Apartments, lat=24.484681950000002, lgt=54.36089925, score=26.0]
-->[11]  [OSMlabel=(tourism) (hotel) Kiku, lat=25.2495498, lgt=55.3472946, score=26.0]
-->[12]  [OSMlabel=(tourism) (hotel) Sun City Hotel, lat=25.2626792, lgt=55.2964882, score=26.0]
-->[13]  [OSMlabel=(tourism) (hotel) Rafee Hotel, lat=25.2700328, lgt=55.3048302, score=26.0]
-->[14]  [OSMlabel=(tourism) (hotel) Landmark Hotel, lat=25.2690822, lgt=55.3053996, score=26.0]
-->[15]  [OSMlabel=(tourism) (hotel) JW Marriot Hotel Dubai, lat=25.2685711, lgt=55.3297557, score=26.0]
-->[16]  [OSMlabel=(tourism) (hotel) Florida International Hotel, lat=25.271353, lgt=55.30257, score=26.0]
-->[17]  [OSMlabel=(tourism) (hotel) Florida Hotel, lat=25.2704944, lgt=55.3024547, score=26.0]
-->[18]  [OSMlabel=(tourism) (hotel) Emirates Concord Hotel, lat=25.2600166, lgt=55.3210768, score=26.0]
-->[19]  [OSMlabel=(tourism) (hotel) Grand Midwest Tower Hotel Apartments, lat=25.1014427, lgt=55.1707467, score=26.0]
-->[20]  [OSMlabel=(tourism) (hotel) Chelsea Gardens Hotel, lat=25.0482305, lgt=55.130645, score=26.0]
