-->[1]  [OSMlabel=(tourism) (hotel) Eclipse Hotel, lat=24.4903228, lgt=54.3578107, score=0.605952380952381]
-->[2]  [OSMlabel=(tourism) (hotel) Grosvenor House Hotel, lat=25.0858648, lgt=55.1431118, score=0.6045296167247387]
-->[3]  [OSMlabel=(tourism) (hotel) Media One Hotel, lat=25.0897789, lgt=55.1525559, score=0.6045296167247387]
-->[4]  [OSMlabel=(tourism) (hotel) Grosvenor House Hotel, lat=25.0852248, lgt=55.1437177, score=0.6045296167247387]
-->[5]  [OSMlabel=(tourism) (hotel) Pulman, lat=25.2505072, lgt=55.3346895, score=0.6031746031746033]
-->[6]  [OSMlabel=(tourism) (hotel) Al Hamra Village Golf Resort, lat=25.683198500000003, lgt=55.7741771, score=0.6006493506493507]
-->[7]  [OSMlabel=(tourism) (hotel) Kiku, lat=25.2495498, lgt=55.3472946, score=0.6006493506493507]
-->[8]  [OSMlabel=(tourism) (hotel) Al Hamra Village Golf Resort, lat=25.683412, lgt=55.7736947, score=0.6006493506493507]
-->[9]  [OSMlabel=(tourism) (hotel) Aloft Abu Dhabi, lat=24.4201196, lgt=54.4389804, score=0.5994708994708994]
-->[10]  [OSMlabel=(tourism) (hotel) DoubleTree by Hilton Hotel Dubai - Jumeirah Beach, lat=25.0724883, lgt=55.128186, score=0.5983436853002071]
-->[11]  [OSMlabel=(tourism) (hotel) Auris Plaza Hotel, lat=25.1138027, lgt=55.2003057, score=0.5983436853002071]
-->[12]  [OSMlabel=(tourism) (hotel) Sohar Beach, lat=24.4051448, lgt=56.7194826, score=0.5983436853002071]
-->[13]  [OSMlabel=(tourism) (hotel) Lords Beach Hotel, lat=25.3367017, lgt=55.36214835, score=0.5972644376899696]
-->[14]  [OSMlabel=(tourism) (hotel) Ruby Living Courts, lat=25.3352304, lgt=55.3616438, score=0.5972644376899696]
-->[15]  [OSMlabel=(tourism) (hotel) Sharjah Carlton, lat=25.3374533, lgt=55.3614761, score=0.5972644376899696]
