-->[1]  [OSMlabel=(tourism) (hotel) Hotel Paragon Abu Dhabi, lat=24.484521, lgt=54.3637328, score=0.6025641025641025]
-->[2]  [OSMlabel=(tourism) (hotel) Hotel Cristal Abu Dhabi, lat=24.484719, lgt=54.363574, score=0.6025641025641025]
-->[3]  [OSMlabel=(tourism) (hotel) Hotel Peninsula, lat=25.2622843, lgt=55.2897011, score=0.6015151515151516]
-->[4]  [OSMlabel=(tourism) (hotel) Icon Hotel Apartments, lat=25.2730196, lgt=55.3168528, score=0.6008771929824561]
-->[5]  [OSMlabel=(tourism) (hotel) Al Rayaan Hotel, lat=25.2694183, lgt=55.316805, score=0.6008771929824561]
-->[6]  [OSMlabel=(tourism) (hotel) Claridge, lat=25.2706129, lgt=55.3166933, score=0.6008771929824561]
-->[7]  [OSMlabel=(tourism) (hotel) Flora Park Hotel Apartments, lat=25.2540462, lgt=55.3295259, score=0.6008771929824561]
-->[8]  [OSMlabel=(tourism) (hotel) MarcoPolo Hotel, lat=25.2738501, lgt=55.3189441, score=0.6008771929824561]
-->[9]  [OSMlabel=(tourism) (hotel) Orchid Hotel, lat=25.26060445, lgt=55.3246791, score=0.5992063492063492]
-->[10]  [OSMlabel=(tourism) (hotel) Novotel, lat=25.2214828, lgt=55.2883397, score=0.5992063492063492]
-->[11]  [OSMlabel=(tourism) (hotel) Imperial hotel apartments, lat=25.255447699999998, lgt=55.2999467, score=0.5992063492063492]
-->[12]  [OSMlabel=(tourism) (hotel) London Crown, lat=25.25469415, lgt=55.29921495, score=0.5992063492063492]
-->[13]  [OSMlabel=(tourism) (hotel) Astoria Hotel, lat=25.2621069, lgt=55.29224055, score=0.5992063492063492]
-->[14]  [OSMlabel=(tourism) (hotel) Chelsea Plaza Hotel, lat=25.23544055, lgt=55.2796043, score=0.5992063492063492]
-->[15]  [OSMlabel=(tourism) (hotel) Golden Sands 3, lat=25.251806600000002, lgt=55.2946611, score=0.5992063492063492]
