-->[1]  [OSMlabel=(tourism) (hotel) Novotel, lat=24.429290899999998, lgt=54.42887835, score=0.5884848484848485]
-->[2]  [OSMlabel=(tourism) (hotel) Hilton Capital Grand Abu Dhabi, lat=24.421231650000003, lgt=54.4564366, score=0.5884848484848485]
-->[3]  [OSMlabel=(tourism) (hotel) Traders Hotel Qaryat Al Beri, lat=24.4111137, lgt=54.4913477, score=0.5884848484848485]
-->[4]  [OSMlabel=(tourism) (hotel) Emi state  (Hotel), lat=24.4222641, lgt=54.6059761, score=0.5884848484848485]
-->[5]  [OSMlabel=(tourism) (hotel) Villa Rotana, lat=25.194371, lgt=55.261553, score=0.5884848484848485]
-->[6]  [OSMlabel=(tourism) (hotel) Westin Abu Dhabi Golf Club -Resort, lat=24.419626, lgt=54.5291416, score=0.5884848484848485]
-->[7]  [OSMlabel=(tourism) (hotel) L'Arabia hotel, lat=24.3726057, lgt=54.5380212, score=0.5884848484848485]
-->[8]  [OSMlabel=(tourism) (hotel) Eclipse Hotel, lat=24.4903228, lgt=54.3578107, score=0.5884848484848485]
-->[9]  [OSMlabel=(tourism) (hotel) Aloft Abu Dhabi, lat=24.4201196, lgt=54.4389804, score=0.5884848484848485]
-->[10]  [OSMlabel=(tourism) (hotel) Orchid Hotel, lat=25.26060445, lgt=55.3246791, score=0.5870469399881165]
-->[11]  [OSMlabel=(tourism) (hotel) Royal Grand, lat=25.30807215, lgt=55.3787103, score=0.5870469399881165]
-->[12]  [OSMlabel=(tourism) (hotel) Novotel, lat=25.2214828, lgt=55.2883397, score=0.5870469399881165]
-->[13]  [OSMlabel=(tourism) (hotel) Marhaba Residence - Ajman, lat=25.39026685, lgt=55.460692699999996, score=0.5870469399881165]
-->[14]  [OSMlabel=(tourism) (hotel) Imperial hotel apartments, lat=25.255447699999998, lgt=55.2999467, score=0.5870469399881165]
-->[15]  [OSMlabel=(tourism) (hotel) London Crown, lat=25.25469415, lgt=55.29921495, score=0.5870469399881165]
