-->[1]  [OSMlabel=(tourism) (hotel) DoubleTree by Hilton Hotel Dubai - Jumeirah Beach, lat=25.0724883, lgt=55.128186, score=0.8652361473159427]
-->[2]  [OSMlabel=(tourism) (hotel) Dusit, lat=25.0829862, lgt=55.1443893, score=0.7853626347583772]
-->[3]  [OSMlabel=(tourism) (hotel) Hilton Al Hamra Beach & Golf Resort, lat=25.689291400000002, lgt=55.77551805, score=0.5668449197860963]
-->[4]  [OSMlabel=(tourism) (hotel) Auris Plaza Hotel, lat=25.1138027, lgt=55.2003057, score=0.4103626347583772]
-->[5]  [OSMlabel=(tourism) (hotel) Emirates Grand Hotel, lat=25.2094854, lgt=55.275152750000004, score=0.2789425420442515]
-->[6]  [OSMlabel=(tourism) (hotel) Landmark Hotel, lat=25.2690822, lgt=55.3053996, score=0.2789425420442515]
-->[7]  [OSMlabel=(tourism) (hotel) Pulman, lat=25.2505072, lgt=55.3346895, score=0.2789425420442515]
-->[8]  [OSMlabel=(tourism) (hotel) Chelsea Gardens Hotel, lat=25.0482305, lgt=55.130645, score=0.1687888985035492]
-->[9]  [OSMlabel=(tourism) (hotel) Royal Grand, lat=25.30807215, lgt=55.3787103, score=0.0]
-->[10]  [OSMlabel=(tourism) (hotel) Novotel, lat=25.2214828, lgt=55.2883397, score=0.0]
-->[11]  [OSMlabel=(tourism) (hotel) Novotel, lat=24.429290899999998, lgt=54.42887835, score=0.0]
-->[12]  [OSMlabel=(tourism) (hotel) Hatta Fort Hotel, lat=24.8203921, lgt=56.13534165, score=0.0]
-->[13]  [OSMlabel=(tourism) (hotel) Southern Sun Abu Dhabi, lat=24.500459, lgt=54.3712254, score=0.0]
-->[14]  [OSMlabel=(tourism) (hotel) Bin Majid Beach Hotel, lat=25.755868200000002, lgt=55.9083228, score=0.0]
-->[15]  [OSMlabel=(tourism) (hotel) Al Hamra Village Golf Resort, lat=25.683198500000003, lgt=55.7741771, score=0.0]
