-->[1]  [OSMlabel=(tourism) (hotel) Al Manzil, lat=25.19119165, lgt=55.2776364, score=0.9378084988338278]
-->[2]  [OSMlabel=(tourism) (hotel) Lords Beach Hotel, lat=25.3367017, lgt=55.36214835, score=0.7827697391439054]
-->[3]  [OSMlabel=(tourism) (hotel) Royal Grand, lat=25.30807215, lgt=55.3787103, score=0.44943640581057204]
-->[4]  [OSMlabel=(tourism) (hotel) Novotel, lat=25.2214828, lgt=55.2883397, score=0.44943640581057204]
-->[5]  [OSMlabel=(tourism) (hotel) Novotel, lat=24.429290899999998, lgt=54.42887835, score=0.44943640581057204]
-->[6]  [OSMlabel=(tourism) (hotel) Marhaba Residence - Ajman, lat=25.39026685, lgt=55.460692699999996, score=0.44943640581057204]
-->[7]  [OSMlabel=(tourism) (hotel) Hotel Vasantha Bhavan, lat=25.261423, lgt=55.2916491, score=0.44943640581057204]
-->[8]  [OSMlabel=(tourism) (hotel) Byblos Hotel, lat=25.09750405, lgt=55.173544699999994, score=0.44943640581057204]
-->[9]  [OSMlabel=(tourism) (hotel) Hilton Capital Grand Abu Dhabi, lat=24.421231650000003, lgt=54.4564366, score=0.44943640581057204]
-->[10]  [OSMlabel=(tourism) (hotel) Meydan, lat=25.1572955, lgt=55.302061699999996, score=0.44943640581057204]
-->[11]  [OSMlabel=(tourism) (hotel) Al Bustan Beach Hotel, lat=25.33417005, lgt=55.36349525, score=0.44943640581057204]
-->[12]  [OSMlabel=(tourism) (hotel) Emirates Grand Hotel, lat=25.2094854, lgt=55.275152750000004, score=0.44943640581057204]
-->[13]  [OSMlabel=(tourism) (hotel) Holiday Inn Dubai - Al Barsha, lat=25.11612815, lgt=55.194125650000004, score=0.44943640581057204]
-->[14]  [OSMlabel=(tourism) (hotel) Golden Sands 3, lat=25.251806600000002, lgt=55.2946611, score=0.4067823773745531]
-->[15]  [OSMlabel=(tourism) (hotel) London Crown, lat=25.25469415, lgt=55.29921495, score=0.19943640581057204]
