-->[1]  [OSMlabel=(tourism) (hotel) Landmark Hotel, lat=25.2690822, lgt=55.3053996, score=0.4103626347583772]
-->[2]  [OSMlabel=(tourism) (hotel) Eclipse Hotel, lat=24.4903228, lgt=54.3578107, score=0.4103626347583772]
-->[3]  [OSMlabel=(tourism) (hotel) Nehal, lat=24.4974913, lgt=54.3736077, score=0.3799783518794073]
-->[4]  [OSMlabel=(tourism) (hotel) Dubai Nova Hotel, lat=25.262376, lgt=55.2958793, score=0.3799783518794073]
-->[5]  [OSMlabel=(tourism) (hotel) Florida International Hotel, lat=25.271353, lgt=55.30257, score=0.24395572207315153]
-->[6]  [OSMlabel=(tourism) (hotel) Florida Hotel, lat=25.2704944, lgt=55.3024547, score=0.24395572207315153]
-->[7]  [OSMlabel=(tourism) (hotel) Flora Park Hotel Apartments, lat=25.2540462, lgt=55.3295259, score=0.22127306309956365]
-->[8]  [OSMlabel=(tourism) (hotel) Golden Sands 3, lat=25.251806600000002, lgt=55.2946611, score=0.11179411356585625]
-->[9]  [OSMlabel=(tourism) (hotel) Sun City Hotel, lat=25.2626792, lgt=55.2964882, score=0.08565164741273806]
-->[10]  [OSMlabel=(tourism) (hotel) Novotel, lat=24.429290899999998, lgt=54.42887835, score=0.07357997202628636]
-->[11]  [OSMlabel=(tourism) (hotel) Southern Sun Abu Dhabi, lat=24.500459, lgt=54.3712254, score=0.07357997202628636]
-->[12]  [OSMlabel=(tourism) (hotel) Dusit Thani Abu Dhabi, lat=24.45571085, lgt=54.3949107, score=0.07357997202628636]
-->[13]  [OSMlabel=(tourism) (hotel) Hilton Capital Grand Abu Dhabi, lat=24.421231650000003, lgt=54.4564366, score=0.07357997202628636]
-->[14]  [OSMlabel=(tourism) (hotel) Cassells Hotel Apartments, lat=24.484681950000002, lgt=54.36089925, score=0.07357997202628636]
-->[15]  [OSMlabel=(tourism) (hotel) Traders Hotel Qaryat Al Beri, lat=24.4111137, lgt=54.4913477, score=0.07357997202628636]
