-->[1]  [OSMlabel=(tourism) (hotel) Southern Sun Abu Dhabi, lat=24.500459, lgt=54.3712254, score=0.4103626347583772]
-->[2]  [OSMlabel=(tourism) (hotel) Astoria Hotel, lat=25.2621069, lgt=55.29224055, score=0.3799783518794073]
-->[3]  [OSMlabel=(tourism) (hotel) Hotel Vasantha Bhavan, lat=25.261423, lgt=55.2916491, score=0.3799783518794073]
-->[4]  [OSMlabel=(tourism) (hotel) Chelsea Gardens Hotel, lat=25.0482305, lgt=55.130645, score=0.3799783518794073]
-->[5]  [OSMlabel=(tourism) (hotel) Hotel Peninsula, lat=25.2622843, lgt=55.2897011, score=0.3799783518794073]
-->[6]  [OSMlabel=(tourism) (hotel) Coral Deira Hotel, lat=25.2660218, lgt=55.3256435, score=0.3799783518794073]
-->[7]  [OSMlabel=(tourism) (hotel) JW Marriot Hotel Dubai, lat=25.2685711, lgt=55.3297557, score=0.37997835072355884]
-->[8]  [OSMlabel=(tourism) (hotel) Cassells Hotel Apartments, lat=24.484681950000002, lgt=54.36089925, score=0.3351757344406086]
-->[9]  [OSMlabel=(tourism) (hotel) Cassells Hotel Apartments, lat=24.484588, lgt=54.3608075, score=0.3351757344406086]
-->[10]  [OSMlabel=(tourism) (hotel) Hotel Paragon Abu Dhabi, lat=24.484521, lgt=54.3637328, score=0.3351757344406086]
-->[11]  [OSMlabel=(tourism) (hotel) Hotel Cristal Abu Dhabi, lat=24.484719, lgt=54.363574, score=0.3351757344406086]
-->[12]  [OSMlabel=(tourism) (hotel) Landmark Hotel, lat=25.2690822, lgt=55.3053996, score=0.30321606093791126]
-->[13]  [OSMlabel=(tourism) (hotel) Villa Rotana, lat=25.194371, lgt=55.261553, score=0.30321606093791126]
-->[14]  [OSMlabel=(tourism) (hotel) Royal Grand, lat=25.30807215, lgt=55.3787103, score=0.2789425420442515]
-->[15]  [OSMlabel=(tourism) (hotel) The Bricks, lat=25.2487821, lgt=55.2963176, score=0.2789425420442515]
-->[16]  [OSMlabel=(tourism) (hotel) Nehal, lat=24.4974913, lgt=54.3736077, score=0.2789425420442515]
-->[17]  [OSMlabel=(tourism) (hotel) Cristal Salam, lat=24.4901161, lgt=54.3798772, score=0.2789425420442515]
-->[18]  [OSMlabel=(tourism) (hotel) L'Arabia hotel, lat=24.3726057, lgt=54.5380212, score=0.2789425420442515]
-->[19]  [OSMlabel=(tourism) (hotel) Media One Hotel, lat=25.0897789, lgt=55.1525559, score=0.2789425420442515]
-->[20]  [OSMlabel=(tourism) (hotel) emirates stars hotel apartment, lat=25.2885647, lgt=55.3685414, score=0.2596979901506465]
