-->[1]  [OSMlabel=(tourism) (hotel) Hilton Al Hamra Beach & Golf Resort, lat=25.689291400000002, lgt=55.77551805, score=0.8700609807240076]
-->[2]  [OSMlabel=(tourism) (hotel) Lords Beach Hotel, lat=25.3367017, lgt=55.36214835, score=0.6365493942712446]
-->[3]  [OSMlabel=(tourism) (hotel) Royal Grand, lat=25.30807215, lgt=55.3787103, score=0.30321606093791126]
-->[4]  [OSMlabel=(tourism) (hotel) Novotel, lat=25.2214828, lgt=55.2883397, score=0.30321606093791126]
-->[5]  [OSMlabel=(tourism) (hotel) Bin Majid Beach Hotel, lat=25.755868200000002, lgt=55.9083228, score=0.30321606093791126]
-->[6]  [OSMlabel=(tourism) (hotel) Al Hamra Village Golf Resort, lat=25.683198500000003, lgt=55.7741771, score=0.30321606093791126]
-->[7]  [OSMlabel=(tourism) (hotel) Al Hamra Residence, lat=25.68676985, lgt=55.773840050000004, score=0.30321606093791126]
-->[8]  [OSMlabel=(tourism) (hotel) Al Marjan Resort & Residences, lat=25.6828616, lgt=55.74642645, score=0.30321606093791126]
-->[9]  [OSMlabel=(tourism) (hotel) Marhaba Residence - Ajman, lat=25.39026685, lgt=55.460692699999996, score=0.30321606093791126]
-->[10]  [OSMlabel=(tourism) (hotel) Hotel Vasantha Bhavan, lat=25.261423, lgt=55.2916491, score=0.30321606093791126]
-->[11]  [OSMlabel=(tourism) (hotel) Byblos Hotel, lat=25.09750405, lgt=55.173544699999994, score=0.30321606093791126]
-->[12]  [OSMlabel=(tourism) (hotel) Meydan, lat=25.1572955, lgt=55.302061699999996, score=0.30321606093791126]
-->[13]  [OSMlabel=(tourism) (hotel) Al Bustan Beach Hotel, lat=25.33417005, lgt=55.36349525, score=0.30321606093791126]
-->[14]  [OSMlabel=(tourism) (hotel) Golden Sands 3, lat=25.251806600000002, lgt=55.2946611, score=0.2605620325018923]
-->[15]  [OSMlabel=(tourism) (hotel) London Crown, lat=25.25469415, lgt=55.29921495, score=0.05321606093791126]
-->[16]  [OSMlabel=(tourism) (hotel) Astoria Hotel, lat=25.2621069, lgt=55.29224055, score=-0.030117272395422057]
-->[17]  [OSMlabel=(tourism) (hotel) Chelsea Plaza Hotel, lat=25.23544055, lgt=55.2796043, score=-0.030117272395422057]
-->[18]  [OSMlabel=(tourism) (hotel) Imperial hotel apartments, lat=25.255447699999998, lgt=55.2999467, score=-0.14122838350653316]
-->[19]  [OSMlabel=(tourism) (hotel) Orchid Hotel, lat=25.26060445, lgt=55.3246791, score=-0.19678393906208874]
-->[20]  [OSMlabel=(tourism) (hotel) Grandeur Hotel, lat=25.10956975, lgt=55.20311445, score=-0.24223848451663416]
