-->[1]  [OSMlabel=(tourism) (hotel) Orchid Hotel, lat=25.26060445, lgt=55.3246791, score=0.0]
-->[2]  [OSMlabel=(tourism) (hotel) Royal Grand, lat=25.30807215, lgt=55.3787103, score=0.0]
-->[3]  [OSMlabel=(tourism) (hotel) Novotel, lat=25.2214828, lgt=55.2883397, score=0.0]
-->[4]  [OSMlabel=(tourism) (hotel) Novotel, lat=24.429290899999998, lgt=54.42887835, score=0.0]
-->[5]  [OSMlabel=(tourism) (hotel) Hatta Fort Hotel, lat=24.8203921, lgt=56.13534165, score=0.0]
-->[6]  [OSMlabel=(tourism) (hotel) Southern Sun Abu Dhabi, lat=24.500459, lgt=54.3712254, score=0.0]
-->[7]  [OSMlabel=(tourism) (hotel) Bin Majid Beach Hotel, lat=25.755868200000002, lgt=55.9083228, score=0.0]
-->[8]  [OSMlabel=(tourism) (hotel) Al Hamra Village Golf Resort, lat=25.683198500000003, lgt=55.7741771, score=0.0]
-->[9]  [OSMlabel=(tourism) (hotel) Hilton Al Hamra Beach & Golf Resort, lat=25.689291400000002, lgt=55.77551805, score=0.0]
-->[10]  [OSMlabel=(tourism) (hotel) Al Hamra Residence, lat=25.68676985, lgt=55.773840050000004, score=0.0]
-->[11]  [OSMlabel=(tourism) (hotel) Al Marjan Resort & Residences, lat=25.6828616, lgt=55.74642645, score=0.0]
-->[12]  [OSMlabel=(tourism) (hotel) Marhaba Residence - Ajman, lat=25.39026685, lgt=55.460692699999996, score=0.0]
-->[13]  [OSMlabel=(tourism) (hotel) Imperial hotel apartments, lat=25.255447699999998, lgt=55.2999467, score=0.0]
-->[14]  [OSMlabel=(tourism) (hotel) London Crown, lat=25.25469415, lgt=55.29921495, score=0.0]
-->[15]  [OSMlabel=(tourism) (hotel) Astoria Hotel, lat=25.2621069, lgt=55.29224055, score=0.0]
