-->[1]  [OSMlabel=(tourism) (hotel) Sky Ways Hotel, lat=25.2783168, lgt=55.3111021, score=0.0910946293517354]
-->[2]  [OSMlabel=(tourism) (hotel) Rafee Hotel, lat=25.2700328, lgt=55.3048302, score=0.0910946293517354]
-->[3]  [OSMlabel=(tourism) (hotel) Florida International Hotel, lat=25.271353, lgt=55.30257, score=0.0910946293517354]
-->[4]  [OSMlabel=(tourism) (hotel) Florida Hotel, lat=25.2704944, lgt=55.3024547, score=0.0910946293517354]
-->[5]  [OSMlabel=(tourism) (hotel) Flora Al Souq Hotel, lat=25.2702243, lgt=55.3043578, score=0.0910946293517354]
-->[6]  [OSMlabel=(tourism) (hotel) Orchid Hotel, lat=25.26060445, lgt=55.3246791, score=0.08503770472508022]
-->[7]  [OSMlabel=(tourism) (hotel) Royal Grand, lat=25.30807215, lgt=55.3787103, score=0.08503770472508022]
-->[8]  [OSMlabel=(tourism) (hotel) Novotel, lat=25.2214828, lgt=55.2883397, score=0.08503770472508022]
-->[9]  [OSMlabel=(tourism) (hotel) Imperial hotel apartments, lat=25.255447699999998, lgt=55.2999467, score=0.08503770472508022]
-->[10]  [OSMlabel=(tourism) (hotel) London Crown, lat=25.25469415, lgt=55.29921495, score=0.08503770472508022]
-->[11]  [OSMlabel=(tourism) (hotel) Astoria Hotel, lat=25.2621069, lgt=55.29224055, score=0.08503770472508022]
-->[12]  [OSMlabel=(tourism) (hotel) Chelsea Plaza Hotel, lat=25.23544055, lgt=55.2796043, score=0.08503770472508022]
-->[13]  [OSMlabel=(tourism) (hotel) Golden Sands 3, lat=25.251806600000002, lgt=55.2946611, score=0.08503770472508022]
-->[14]  [OSMlabel=(tourism) (hotel) Hotel Vasantha Bhavan, lat=25.261423, lgt=55.2916491, score=0.08503770472508022]
-->[15]  [OSMlabel=(tourism) (hotel) Byblos Hotel, lat=25.09750405, lgt=55.173544699999994, score=0.08503770472508022]
