4071	-23.3211216	-46.5940046	(amenity) (courthouse)
5835	-23.9895353	-46.2477944	(amenity) (courthouse)	Fórum Cível e Criminal de Guarujá
9432	-23.5434597	-46.6441956	(amenity) (courthouse)	Justiça Federal Central de Conciliação
10453	-23.6801253	-46.6945779	(amenity) (courthouse)	Fórum Trabalhista - Zona Sul
10454	-23.6794495	-46.6938739	(amenity) (courthouse)	Fórum Regional II - Santo Amaro
13248	-23.4652861	-46.532109	(amenity) (courthouse)	Fórum Trabalhista de Guarulhos
13257	-23.4676013	-46.5321654	(amenity) (courthouse)	Fórum Civel de Guarulhos
22590	-23.4910455	-46.6921847	(amenity) (courthouse)	Fórum da Freguesia do Ó
23290	-23.5589635	-46.6567955	(amenity) (courthouse)	Justiça Federal
23329	-23.5631633	-46.6547648	(amenity) (courthouse)	Juizado Especial Federal
25106	-23.5226794	-46.6618887	(amenity) (courthouse)	Fórum Trabalhista
26112	-23.5463326	-46.650265	(amenity) (courthouse)	Tribunal de Justiça Militar
29000	-23.5483657	-46.6475755	(amenity) (courthouse)	Forum Desembragador Aricê Moacir Amaral Santos
31133	-23.5204073	-46.7034197	(amenity) (courthouse)	Fórum Regional da Lapa
31135	-23.520677	-46.7036318	(amenity) (courthouse)	Fórum Regional da Lapa
67134	-23.551784400000003	-46.6362108	(amenity) (courthouse)	Fórum Hely Lopes Meirelles
67136	-23.552987	-46.63394425	(amenity) (courthouse)	Fórum João Mendes
67140	-23.5519503	-46.63326895	(amenity) (courthouse)	Tribunal de Justiça de São Paulo
67144	-23.54827625	-46.633424250000004	(amenity) (courthouse)	Tribunal de Justiça de São Paulo
67150	-23.637250350000002	-46.69490035	(amenity) (courthouse)	Foro Regional II - Santo Amaro
73053	-23.6373924	-46.69452925	(amenity) (courthouse)	Foro de Santo Amaro - Cível
73666	-23.599589950000002	-46.6527982	(amenity) (courthouse)	Tribunal de Contas do Município de São Paulo
74561	-23.60090335	-46.63428225	(amenity) (courthouse)	Foro do Jabaquara
82738	-23.6911143	-46.618795899999995	(amenity) (courthouse)	Foro de Diadema
87742	-23.65798975	-46.532422100000005	(amenity) (courthouse)	Fórum de Santo André
121958	-23.58298165	-46.6040357	(amenity) (courthouse)	Forum Regional  Ipiranga
127005	-23.96522975	-46.3941614	(amenity) (courthouse)	Fórum de São Vicente
131806	-23.508163	-46.6698376	(amenity) (courthouse)	Fórum Criminal e Cível de Santana
155348	-23.664821449999998	-46.5621544	(amenity) (courthouse)	Fórum Federal Diógenes Gasparini
160622	-23.676754799999998	-46.558076	(amenity) (courthouse)	Fórum Ministro Nelson Hungria
170622	-23.67874955	-46.537873	(amenity) (courthouse)	Justiça Federal - Juizado Especial
179332	-23.5289493	-46.4497112	(amenity) (courthouse)	Fórum Regional de Itaquera
191095	-24.0292143	-46.49432899999999	(amenity) (courthouse)	Fórum Trabalhista de Praia Grande
193832	-23.5693922	-46.716388550000005	(amenity) (courthouse)	Foro Regional do Butantã
194072	-23.560680249999997	-46.65662005	(amenity) (courthouse)	Justiça Federal Fórum Ministro Pedro Lessa
194073	-23.56031425	-46.6568116	(amenity) (courthouse)	Justiça Federal
195110	-23.1569356	-47.05606145	(amenity) (courthouse)	Comarca de Jundiaí Foro Distrital de Itupeva Vara Única do Tribunal de Justiça de São Paulo
196416	-23.5196794	-46.660050600000005	(amenity) (courthouse)	Fórum Criminal Ministro Mário Guimarães
197694	-23.5214128	-46.656372	(amenity) (courthouse)	Tribunal Regional do Trabalho da Segunda Região - Unidade Administrativa 2
199731	-23.6392999	-46.574292549999996	(amenity) (courthouse)	Fórum da Comarca de São Caetano do Sul
202405	-23.69333215	-46.54817765	(amenity) (courthouse)	Fórum Trabalhista de São Bernardo do Campo
203316	-23.5095526	-46.44480660000001	(amenity) (courthouse)	Fórum de São Miguel
210829	-23.220900200000003	-45.907126399999996	(amenity) (courthouse)	Justiça Federal
210830	-23.22140165	-45.90699925	(amenity) (courthouse)	Fórum Trabalhista de São José dos Campos
215281	-23.8837051	-46.4187165	(amenity) (courthouse)	Fórum
216135	-23.93740575	-46.324156450000004	(amenity) (courthouse)	Palácio da Justiça
218459	-23.9390451	-46.3251395	(amenity) (courthouse)	Fórum Trabalhista "Dr. Raphael C. de Sampaio Filho"
228718	-23.53843335	-46.6698317	(amenity) (courthouse)	Juizado Especial Cível Central Puc São Paulo
236543	-23.529186	-47.13211545	(amenity) (courthouse)	Fórum de São Roque
237770	-23.5423289	-46.373500050000004	(amenity) (courthouse)	Fórum Ferraz de Vasconcelos
241167	-23.51801105	-46.18409	(amenity) (courthouse)	Fórum de Mogi das Cruzes
243597	-23.30646675	-45.97420095	(amenity) (courthouse)	Forum Municipal de Jacareí
252205	-23.33505525	-46.835397650000004	(amenity) (courthouse)	Foro Distrital Desembargador Marcos Nogueira Garcez
257320	-23.523940500000002	-46.8239577	(amenity) (courthouse)	Fórum - 4ª Vara Cível
265059	-23.708650499999997	-46.4175987	(amenity) (courthouse)	Fórum da Comarca de Ribeirão Pires
267942	-23.25814025	-47.29397895	(amenity) (courthouse)	Fórum da Comarca de Itu
271413	-23.302153349999998	-45.98216235	(amenity) (courthouse)	Fórum Trabalhista Desembargadora Fany Fajerstein
