7211	-23.9744926	-46.3013368	(amenity) (dojo)
16022	-23.5477422	-46.5363597	(amenity) (dojo)	Gojyu Ryu Karate-do
25000	-23.5733583	-46.731346	(amenity) (dojo)	Núcleo 7 Esferas do Tao
25573	-23.5010759	-46.6349464	(amenity) (dojo)	Lotus Club Jiu-Jitsu
26387	-23.610494	-46.6857367	(amenity) (dojo)	Leao Chines
26890	-23.7078044	-46.4188209	(amenity) (dojo)	Academia Ayrton Senna
32977	-23.706922	-46.5429369	(amenity) (dojo)	Kihon Jiu-Jitsu
33884	-23.5086452	-46.5888538	(amenity) (dojo)	AlmeidaJJ Vila Maria
34686	-23.9395997	-46.3274561	(amenity) (dojo)	Associação de Capoeira Monte Serrat
38837	-23.7191255	-46.5732364	(amenity) (dojo)	Academia Tigre
39752	-23.7199941	-46.5739237	(amenity) (dojo)	Experience Martial Fit
40225	-23.5272908	-46.7055437	(amenity) (dojo)	Wado-Ryu-Karate-Dó
41823	-23.5686637	-46.6266214	(amenity) (dojo)	Kung fu zen marcial
216164	-23.53854355	-46.72768155	(amenity) (dojo)	VDL Clube da Luta
230368	-23.66663745	-46.524411099999995	(amenity) (dojo)	Academia Tai Chi
233008	-23.610573350000003	-46.685651050000004	(amenity) (dojo)	Escola de Kung Fu Leao Chines
233509	-23.6477276	-46.7020442	(amenity) (dojo)	Associação de Judo Kanayama
238220	-23.66957185	-46.588590350000004	(amenity) (dojo)	Team Nogueira Sbc
251524	-23.5467179	-46.30121885	(amenity) (dojo)	Centro de Instrução de Judo Tokuzo Terazaki
