14599	-23.6564298	-46.6916776	(shop) (dry_cleaning)
14810	-23.7140552	-46.5460118	(shop) (dry_cleaning)	Frawanny
15415	-23.66272	-46.6762068	(shop) (dry_cleaning)	#LavaaSeco
22512	-23.6219682	-46.7456259	(shop) (dry_cleaning)	W&K Limpeza (Carpetes)
23452	-23.5545717	-46.6404956	(shop) (dry_cleaning)	Lavanderia e Tinturaria Solar
26492	-23.5625527	-46.6589095	(shop) (dry_cleaning)	Bonne Cleaners
27911	-23.5904182	-46.631647	(shop) (dry_cleaning)	5àsec
29041	-23.6589131	-46.5360931	(shop) (dry_cleaning)	5àsec
29047	-23.6605308	-46.5368655	(shop) (dry_cleaning)	Dry Clean ABC
29129	-23.6655437	-46.5425062	(shop) (dry_cleaning)	Alvi Lavanderia
29152	-23.6387967	-46.5254125	(shop) (dry_cleaning)	BonaSecco
30366	-23.5566969	-46.67449	(shop) (dry_cleaning)	5àsec
41408	-23.4997611	-46.6377209	(shop) (dry_cleaning)	Dry
174722	-23.718888800000002	-46.550574850000004	(shop) (dry_cleaning)	Lavanderia Magnólia
