5765	-23.7731297	-46.7067437	(shop) (farm)
6093	-23.4971908	-46.5858136	(shop) (farm)	Casa do Norte São João
6160	-23.7021821	-46.5709503	(shop) (farm)	JME
14791	-23.4909106	-46.5858748	(shop) (farm)	Casa do Ovo
31510	-23.9354601	-46.3464841	(shop) (farm)	Chácara Raízes
33790	-23.7723404	-46.3147807	(shop) (farm)	Apiário
40052	-23.6970432	-46.5816186	(shop) (farm)	Quitanda Maeda
40613	-23.701061	-46.5640539	(shop) (farm)	Hortifruti Eduarda
40620	-23.6963225	-46.5681206	(shop) (farm)	Sacolão Planalto
191091	-23.672347199999997	-46.6869004	(shop) (farm)	Sacolão Campo Grande
212497	-23.1494597	-46.55504075	(shop) (farm)	Hortifruti Pedra Grande
