725	-23.5419732	-46.6511208	(shop) (general)
1699	-23.6340863	-46.6283369	(shop) (general)	C&C
7292	-23.7793392	-46.529638	(shop) (general)	Emporium Cristina
26553	-23.7955537	-46.5477426	(shop) (general)	Talita Utilidades
29770	-23.6685617	-46.5814546	(shop) (general)	Start Embalagens Descartáveis
35869	-23.6705947	-46.560452	(shop) (general)	Telheiro Capricórnio
36313	-23.7975461	-46.5362735	(shop) (general)	Quitanda Boa Vista
36780	-23.7789958	-46.5310076	(shop) (general)	Cidão Artigos para Pesca
36782	-23.7790026	-46.5309392	(shop) (general)	Porto Praia
37004	-23.7130621	-46.5508344	(shop) (general)	Quali Moda
38339	-23.6690759	-46.5887927	(shop) (general)	Gerações Magazine
38345	-23.6687263	-46.5883766	(shop) (general)	To Go
38400	-23.6952203	-46.5536778	(shop) (general)	Casa Cirurgico Indico
38658	-23.7126837	-46.5502066	(shop) (general)	Nova Época
38665	-23.7364572	-46.5347974	(shop) (general)	Loja Bellinha
39276	-23.7176246	-46.5738131	(shop) (general)	Joclatel
39668	-23.7176306	-46.5573944	(shop) (general)	Carvão Lunardi
39984	-23.731871	-46.5789183	(shop) (general)	Cirurgica Clínicas
39985	-23.7318257	-46.5788951	(shop) (general)	MedABC
41374	-23.6949986	-46.5691324	(shop) (general)	Fejoju Aviamentos
41578	-23.7146144	-46.5510536	(shop) (general)	Ortopedia Cavalieri
41579	-23.7145173	-46.5515135	(shop) (general)	Casa das Ervas
157866	-23.701412949999998	-46.5764813	(shop) (general)	Casa do Gesso
163398	-23.72053055	-46.54964305	(shop) (general)	Dufrio
172063	-23.6926852	-46.55566205	(shop) (general)	MontSerrat Cirurgíca
251426	-23.66492515	-46.58960265	(shop) (general)	Eclépcya Comercio de Cosméticos
255555	-23.67071365	-46.56084775	(shop) (general)	Parafusos Rudge Ramos
257236	-23.719897	-46.54971315	(shop) (general)	Camarim da Casa
257237	-23.7194469	-46.5491368	(shop) (general)	Maxfestas
261452	-23.71195385	-46.55025815	(shop) (general)	Ribeiro Utilidades
265680	-23.7087183	-46.52584830000001	(shop) (general)	SMDry
267082	-23.71613645	-46.5490754	(shop) (general)	Refri-Útil
