399	-23.5094698	-46.6639769	(amenity) (hospital)
596	-23.5440866	-46.5850511	(amenity) (hospital)	Hospital Avicena
785	-23.6436999	-46.6428989	(amenity) (hospital)	Hospital São Luiz Unidade Jabaquara
799	-23.5977766	-46.6435335	(amenity) (hospital)	Hospital São Paulo
818	-23.6000575	-46.643394	(amenity) (hospital)	Hospital Amparo Maternal
822	-23.6350751	-46.4994801	(amenity) (hospital)	Hospital da Mulher
933	-23.5926756	-46.6292768	(amenity) (hospital)	Instituto de Medicina Física e de Reabilitação
1231	-23.3380057	-46.7301309	(amenity) (hospital)	Pronto Socorro
1381	-23.5833939	-46.6115905	(amenity) (hospital)	Hospital São Camilo Ipiranga
1384	-23.6117521	-46.4933656	(amenity) (hospital)	AE / AMA Sapopemba
1496	-23.6057419	-46.7505095	(amenity) (hospital)	Hospital Family
1497	-23.6069072	-46.7538599	(amenity) (hospital)	Intermédica Centro Clínico Taboão da Serra
1498	-23.606632	-46.7542247	(amenity) (hospital)	Fisioterapia Ortoclimed
1501	-23.6063026	-46.7543266	(amenity) (hospital)	Predict Medicina Diagnóstica
1637	-23.5657296	-46.6493847	(amenity) (hospital)	Pró Matre Paulista
1713	-23.5696701	-46.6134492	(amenity) (hospital)	Hospital Militar de Área de São Paulo
1964	-23.8908238	-46.4203994	(amenity) (hospital)	Pronto Socorro - SAMU
1987	-23.8910321	-46.4215072	(amenity) (hospital)	Pronto Socorro Infantil
1988	-23.8904533	-46.4209976	(amenity) (hospital)	Hospital Doutor Luís de Camargo da Fonseca e Silva
1989	-23.8882756	-46.4200964	(amenity) (hospital)
2340	-23.5593928	-46.6549756	(amenity) (hospital)	Hospital 9 de Julho
2361	-23.2050602	-45.8874044	(amenity) (hospital)	Antoninho da Rocha Marmo
2487	-23.9503766	-46.4061667	(amenity) (hospital)	PS Cidade Náutica
2669	-23.20081	-45.889066	(amenity) (hospital)
2706	-23.9755429	-46.3101844	(amenity) (hospital)	Policlínica de Aparecida
2743	-23.9622986	-46.3234714	(amenity) (hospital)	Casa de Saúde de Santos
2744	-23.9574214	-46.3335508	(amenity) (hospital)	Hospital Ana Costa
2974	-23.9632301	-46.3195124	(amenity) (hospital)	Pronto Socorro Guilherme Álvaro
3191	-23.556217	-46.6395442	(amenity) (hospital)	Hospital Pérola Byington
3197	-23.5670749	-46.639173	(amenity) (hospital)	Hospital do Servidor Público Municipal
3728	-23.5036503	-46.6315797	(amenity) (hospital)
3776	-23.2279516	-45.9189108	(amenity) (hospital)
3907	-23.8843444	-46.4219174	(amenity) (hospital)	Departamento de Vigilância à Saúde
3986	-23.5058228	-46.6614006	(amenity) (hospital)
4105	-23.5331751	-46.5273268	(amenity) (hospital)	Hospital São Carlos
4175	-23.4932356	-46.7250762	(amenity) (hospital)
4208	-23.7160706	-46.5741282	(amenity) (hospital)	Santa Casa
5240	-23.5541379	-46.6042885	(amenity) (hospital)	Hospital Alemão Oswald Cruz
5394	-23.9877104	-46.2480096	(amenity) (hospital)	Hospital Ana Costa
5396	-23.9898424	-46.2525961	(amenity) (hospital)	Santo Amaro
5432	-23.9863083	-46.2483454	(amenity) (hospital)
5433	-23.9858672	-46.2487424	(amenity) (hospital)
5514	-23.9625785	-46.3212639	(amenity) (hospital)	Hospital Guilherme Álvaro
5536	-23.552317	-46.6248795	(amenity) (hospital)	Hospital Sancta Maggiore
6037	-23.5845388	-46.6706939	(amenity) (hospital)	Hospital Sancta Maggiore
6250	-23.5634191	-46.6341906	(amenity) (hospital)	Hospital Adventista de São Paulo
6326	-23.9434409	-46.3774478	(amenity) (hospital)	Hospital Zona Noroeste
6563	-23.963351	-46.3200297	(amenity) (hospital)	Rede Hebe Camargo de Combate ao Câncer
6862	-23.6618279	-46.5272086	(amenity) (hospital)	Hospital Coração de Jesus
6959	-23.6750741	-46.6855976	(amenity) (hospital)	Hospital Vida's
7393	-23.6150518	-46.6602686	(amenity) (hospital)	Hospital Moriah
7665	-23.4971785	-46.4400842	(amenity) (hospital)	Hospital Tide Setubal
7716	-23.5622685	-46.6385689	(amenity) (hospital)	Hospital Oswaldo Cruz
7924	-23.174604	-47.0523301	(amenity) (hospital)	Hospital Municipal
8200	-23.4511725	-46.531256	(amenity) (hospital)	Hospital Maternidade Jesus José e Maria
11750	-23.4689551	-46.6169248	(amenity) (hospital)	Hospital Policia Militar
12379	-23.4937319	-46.8485135	(amenity) (hospital)	Amil Resgate
