686	-23.5605726	-46.6478674	(amenity) (kindergarten)
1570	-23.5132799	-46.6430625	(amenity) (kindergarten)
1621	-23.1953892	-45.8975529	(amenity) (kindergarten)	Colégio Iguatemy
1970	-23.8984185	-46.4307555	(amenity) (kindergarten)
1971	-23.8987912	-46.4307126	(amenity) (kindergarten)
1972	-23.9011306	-46.4323326	(amenity) (kindergarten)
1973	-23.9012533	-46.433958	(amenity) (kindergarten)
1977	-23.8935629	-46.4312222	(amenity) (kindergarten)
1978	-23.8920621	-46.4293017	(amenity) (kindergarten)
1979	-23.8949559	-46.4307662	(amenity) (kindergarten)
1983	-23.895564	-46.4251711	(amenity) (kindergarten)
1993	-23.8832774	-46.4187606	(amenity) (kindergarten)
2118	-23.4338383	-46.7140877	(amenity) (kindergarten)	Creche Raul Pompéia
2342	-23.5977767	-46.4022296	(amenity) (kindergarten)	CEI NOSSA SENHORA DO DIVINO PRANTO
2650	-23.1842478	-45.8749501	(amenity) (kindergarten)	Núcleo de Educação Infantil Elza Maria Dias Mendonça
3239	-23.7342245	-46.4808344	(amenity) (kindergarten)	Creche
3937	-23.4462579	-46.7313735	(amenity) (kindergarten)
3997	-23.530245	-46.706369	(amenity) (kindergarten)
4822	-23.528365	-46.6949703	(amenity) (kindergarten)	EMEI Noêmia Ippólito
5664	-23.5510128	-46.6910728	(amenity) (kindergarten)	Esquilinho Jardim Escola
6116	-23.6853327	-46.5617803	(amenity) (kindergarten)	Centro Educacional Nova Era
6747	-23.6677989	-46.5293557	(amenity) (kindergarten)	Escola de Educação Infantil A Fazendinha
6755	-23.6537923	-46.5455946	(amenity) (kindergarten)	Instituição Assistencial e Educacional Amélia Rodrigues
7844	-23.6230676	-46.7536122	(amenity) (kindergarten)	Creche
8076	-23.2098623	-47.2716555	(amenity) (kindergarten)	CEMUS XII - Educação Infantil II e III
8837	-23.4928789	-46.5855198	(amenity) (kindergarten)	Creche
10370	-23.4627421	-46.6849388	(amenity) (kindergarten)	CEI Lina Rodrigues -Instituto Anglicano
11449	-23.7197479	-46.5474349	(amenity) (kindergarten)	Escola Girassol
12497	-23.4337278	-46.5318643	(amenity) (kindergarten)
20873	-23.5143651	-46.4545203	(amenity) (kindergarten)	Pingo de gente
25014	-23.7922411	-46.5376116	(amenity) (kindergarten)	Escola Municipal de Educação Básica Professora Sonia Regina Hernandez de Lima
26258	-23.1581895	-45.8904873	(amenity) (kindergarten)	Prof Cremilda Alves de Azevedo
27058	-23.593403	-46.3931303	(amenity) (kindergarten)	EMEI Klaus Reinach
29040	-23.6579058	-46.535849	(amenity) (kindergarten)	Águia Dourada
29091	-23.6533226	-46.543563	(amenity) (kindergarten)	Educandinho Educação Infantil
29261	-23.676058	-46.5376832	(amenity) (kindergarten)	Veleiro Azul
29479	-23.6662095	-46.544133	(amenity) (kindergarten)	Vila Infante
29671	-23.6684192	-46.5393144	(amenity) (kindergarten)	Materna
30387	-23.5230881	-46.5094764	(amenity) (kindergarten)	Pre Escola Recanto do Pica Pau
30388	-23.5231403	-46.5097554	(amenity) (kindergarten)	Estrela Baby Escola de Educação Infantil
31352	-23.7101399	-46.5047903	(amenity) (kindergarten)	Núcleo de Recreação Infantil Fazendo Arte
33303	-23.8231085	-46.7045989	(amenity) (kindergarten)	Cr.P. Conv. Sao Norberto
33565	-23.64004	-46.7006131	(amenity) (kindergarten)	Casinha Pequenina
33569	-23.9085461	-46.7031248	(amenity) (kindergarten)	Mão Cooperadora - CCA Marsilac
33806	-23.6347718	-46.6994557	(amenity) (kindergarten)	Interagir
35438	-23.6671003	-46.5288879	(amenity) (kindergarten)	Dom Bosco Kids
38794	-23.1856474	-46.9133391	(amenity) (kindergarten)	Escola Infantil Mundo Azul
39812	-23.6619798	-46.5383445	(amenity) (kindergarten)	Estímulo
39848	-23.6676805	-46.538675	(amenity) (kindergarten)	Sunny Side
39850	-23.667238	-46.5390096	(amenity) (kindergarten)	Magistral
39860	-23.6670696	-46.5389486	(amenity) (kindergarten)	Magistral
39866	-23.6663234	-46.5395027	(amenity) (kindergarten)	Villa Baby
42947	-23.6574307	-46.6925416	(amenity) (kindergarten)	Projeto Kids
70409	-23.19009765	-46.959550050000004	(amenity) (kindergarten)	Colégio Degraus
76631	-23.705083950000002	-46.5722685	(amenity) (kindergarten)	Escola Municipal de Educação Básica Sadao Higuchi
90921	-23.559305199999997	-46.73902615	(amenity) (kindergarten)	Creche dos funcionários
152924	-23.587588150000002	-46.6055575	(amenity) (kindergarten)	Creche Catarina Labouré
156023	-23.4783184	-46.7076507	(amenity) (kindergarten)	Praça Doutor Francisco Braga Filho
160357	-23.7963901	-46.5476561	(amenity) (kindergarten)	Escola Municipal de Educação Infantil Professor Paulo Freire
160647	-23.572273850000002	-46.74775115	(amenity) (kindergarten)	Creche Municipal Jardim Julieta
162716	-23.580651850000002	-46.734577349999995	(amenity) (kindergarten)	Centro de Desenvolvimento Infantil Santa Maria
164419	-23.786588000000002	-46.53785965	(amenity) (kindergarten)	Escola Municipal de Educação Básica Helena Zanfelici da Silva
165129	-23.7028469	-46.5674534	(amenity) (kindergarten)	Escola Municipal de Educação Básica Irmã Maria Anselma Vieira
165791	-23.5295348	-46.675911299999996	(amenity) (kindergarten)	Grão de Chão
166101	-23.7128219	-46.54635305	(amenity) (kindergarten)	Alpha Maior Centro Pedagógico
168111	-23.5907848	-46.52682485	(amenity) (kindergarten)	Creche Jardim Primavera
169036	-23.77110355	-46.61067035	(amenity) (kindergarten)	Escola Municipal de Educação Básica Edgard de Oliveira
170191	-23.20157015	-45.8733509	(amenity) (kindergarten)	Pequenópolis
171202	-23.779512349999997	-46.529001050000005	(amenity) (kindergarten)	Escola Municipal de Ensino Básico Graciliano Ramos
171203	-23.78378745	-46.52846865	(amenity) (kindergarten)	Escola Municipal de Educação Básica Professora Cecília Oliveira Turbay
171945	-23.7454867	-46.61250235	(amenity) (kindergarten)	Escola Municipal de Educação Básica Francisco Beltran Batistini "Paquito"
172067	-23.775635649999998	-46.59972555	(amenity) (kindergarten)	Escola Municipal de Educação Básica Antônio dos Santos Farias
172068	-23.77564455	-46.5990203	(amenity) (kindergarten)	Escola Municipal de Educação Básica Cléia Maria Teures de Souza
173664	-23.55568265	-46.5523805	(amenity) (kindergarten)	Escola Municipal de Educação Infantil Professora Maria Laura de Souza Campos
177730	-23.18741875	-46.85321035	(amenity) (kindergarten)	EMEB Antonio Brunholi Netto
179408	-23.1686615	-46.9088254	(amenity) (kindergarten)	EMEB Professora Haydeé Dumangin Mojola
179410	-23.17276095	-46.903220899999994	(amenity) (kindergarten)	EMEB Joaquim Candelário de Freitas
179596	-23.216585549999998	-46.8616957	(amenity) (kindergarten)	EMEB Professora Clotilde Copelli de Miranda
179597	-23.2177059	-46.862214699999996	(amenity) (kindergarten)	EMEB Professora Geralda Bhertola Facca
179885	-23.1854595	-46.87784535	(amenity) (kindergarten)	EMEB Luiz Barbaro
180057	-23.153703999999998	-46.96272365	(amenity) (kindergarten)	EMEB Professora Marina de Almeida Rinaldi Carvalho
180058	-23.15289015	-46.96298385	(amenity) (kindergarten)	EMEB Professo Waldemir Savoy
181706	-23.2060497	-46.8883784	(amenity) (kindergarten)	EMEB Professora Brigida Gatto Rodrigues
181752	-23.205116500000003	-46.89523345	(amenity) (kindergarten)	EMEB Professora Arcina Aparecida Nogueira Barboza
181753	-23.19764245	-46.891351650000004	(amenity) (kindergarten)	EMEB ROTARY CLUB
181971	-23.17772875	-46.86151955	(amenity) (kindergarten)	Escola Municipal de Educação Básica Professora Maria Gemma Gennari Carturan
182167	-23.19380655	-46.86128065	(amenity) (kindergarten)	EMEB Professora Hilda Maria Alves Paschoalotto
182624	-23.17249475	-46.87113815	(amenity) (kindergarten)	Escola Municipal de Ensino Básico Deodato Janski
183125	-23.69346515	-46.5602768	(amenity) (kindergarten)	Monan
183550	-23.1780621	-46.923919299999994	(amenity) (kindergarten)	EMEB Professor Nelson Álvaro Figueredo Brito
183552	-23.185050099999998	-46.911604350000005	(amenity) (kindergarten)	EMEB Professora Anna Rita Alves Ludke
183778	-23.18949995	-46.9152404	(amenity) (kindergarten)	EMEB Professora Anna Pontes Chagas
183808	-23.231653549999997	-46.8833966	(amenity) (kindergarten)	EMEB Aparecido Garcia
183914	-23.18808775	-46.860916700000004	(amenity) (kindergarten)	EMEB Professora Clotilde Mazzali Bollini
184039	-23.171504	-46.96585935	(amenity) (kindergarten)	EMEB Professora Benedita Alzira de Moraes Camunhas
184040	-23.1710713	-46.9652221	(amenity) (kindergarten)	EMEB Professor Nassib Cury
189583	-23.6738456	-46.74773305	(amenity) (kindergarten)	Creche E.I. Jardim Klein
191866	-23.140569499999998	-47.08537855	(amenity) (kindergarten)	Creche Municipal Virginia Tosi Poli
191870	-23.735939600000002	-46.571545549999996	(amenity) (kindergarten)	Escola Municipal de Educação Básica Armando Zoboli
192583	-23.15358945	-46.8357315	(amenity) (kindergarten)	EMEB Comendador Hermegildo Martinelli
193002	-23.26268985	-46.8825298	(amenity) (kindergarten)	EMEB Professora Rute Miranda Duarte Sirilo
193375	-23.1438476	-46.994246700000005	(amenity) (kindergarten)	EMEB Professora Cléo Nogueira Barbosa
193830	-23.572976099999998	-46.737238149999996	(amenity) (kindergarten)	Creche Maria de Nazaré
194101	-23.6316195	-46.7826902	(amenity) (kindergarten)	Escola Municipal Infantil Franjinha
194235	-23.60521935	-46.76737985	(amenity) (kindergarten)	Escola Municipal Infantil Narizinho
194742	-23.615807699999998	-46.7823667	(amenity) (kindergarten)	EMI Pelezinho
195439	-23.1638001	-47.038712149999995	(amenity) (kindergarten)	Creche Municipal
195453	-23.1487321	-47.0510469	(amenity) (kindergarten)	Creche Catarina Molohone Pessini
195528	-23.61728885	-46.7668475	(amenity) (kindergarten)	Escola Municipal Infantil Anjinho
195529	-23.637738	-46.79380715	(amenity) (kindergarten)	Escola Municipal Infantil  Dona Benta
195530	-23.6386969	-46.789190500000004	(amenity) (kindergarten)	EMI Dorinha
195531	-23.6256484	-46.773741900000005	(amenity) (kindergarten)	Escola Municipal Infantil Emília
195532	-23.621358049999998	-46.791163350000005	(amenity) (kindergarten)	EMI Floquinho
195536	-23.63648455	-46.79094835	(amenity) (kindergarten)	Escola Municipal Infantil Horácio
196322	-23.7466783	-46.3958333	(amenity) (kindergarten)	Escola Municipal de Educação Básica Professora Rachel Silveira Monteiro
196349	-23.7155883	-46.5340638	(amenity) (kindergarten)	Escola Municipal de Ensino Básica Professora Ermínia Paggi
205321	-23.6111669	-46.6344479	(amenity) (kindergarten)	Escola Heidy
205455	-23.6111434	-46.7101213	(amenity) (kindergarten)	Escola Quintal
207168	-23.72950405	-46.55452165	(amenity) (kindergarten)	Escola Municipal de Educação Básica Francisco Miele
208629	-23.204003999999998	-46.829218600000004	(amenity) (kindergarten)	CEMEB Pro infância Antônio Bueno
208814	-23.5293216	-46.42121405	(amenity) (kindergarten)	Creche Municipa Pedro Brasill Bandecchi
209029	-23.7173146	-46.5483132	(amenity) (kindergarten)	Argos Núcleo de Educação Integrada
210081	-23.597281199999998	-46.752265449999996	(amenity) (kindergarten)	Centro Municipal de Educação Infantil Professora Leila Gallacci Metzker
211475	-23.48057585	-46.63833405	(amenity) (kindergarten)	Colégio Cermac Júnior
213141	-23.638303450000002	-46.6056686	(amenity) (kindergarten)	CEI INDIR Jardim CLimax I
215976	-23.5571449	-46.6713983	(amenity) (kindergarten)	Escola Municipal de Educação Infantil Antônio Branco Lefevre
217366	-23.6677336	-46.74866205	(amenity) (kindergarten)	EMEF Mauro Faccio Gonçalves "Zacaria"
218009	-23.61333775	-46.4896639	(amenity) (kindergarten)	EMEI Aparecida Candida dos Santos de Jesus
229652	-23.63281015	-46.727983699999996	(amenity) (kindergarten)	Portinho
232339	-23.47000595	-46.3445903	(amenity) (kindergarten)	Escola Municipal Vereador Benedito Rocha Diniz
236524	-23.68679255	-46.74938095	(amenity) (kindergarten)	E.M.E.I. DEPUTADO SALOMAO JORGE
239156	-24.00727195	-47.158318050000005	(amenity) (kindergarten)	Escola Municipal de Ensino Fundamental Bairro do Engano
240522	-23.59571855	-46.5952924	(amenity) (kindergarten)	Escola Municipal de Educação Infantil Princesa Isabel
245145	-23.613358249999997	-46.6352506	(amenity) (kindergarten)	Escola Iniciativa
253913	-23.47802725	-46.80401615	(amenity) (kindergarten)	EMEI Roque Soares de Souza
254026	-23.63096065	-46.590812650000004	(amenity) (kindergarten)	Escola Municipal de Educação Infantil Santo Dias Da Silva
254329	-23.46018415	-46.508379	(amenity) (kindergarten)	Colégio Saint Germain
256274	-23.7783241	-46.3036423	(amenity) (kindergarten)	Creche Municipal de Vila Paranapiacaba
259792	-23.50292135	-46.630940800000005	(amenity) (kindergarten)	Centro Educacional Infantil Professora Anita Castaldi Zampirollo
259903	-23.503549	-46.6309852	(amenity) (kindergarten)	Centro Educacional Infantil Espaço Criança Elias Antônio Zogbi
262736	-23.5658503	-46.39907925	(amenity) (kindergarten)	Creche Municipal Jocelyne Guimarães Fernandes de Mello
262757	-23.569429900000003	-46.40423165	(amenity) (kindergarten)	Creche Municipal Inácio Monteiro
262777	-23.664970699999998	-46.50107975	(amenity) (kindergarten)	Creche Professor Pedro Cia
262911	-23.60274045	-46.4038025	(amenity) (kindergarten)	Creche Municipal Marília de Dirceu
