13997	-23.4994443	-46.625698	(shop) (musical_instrument)
15179	-23.5402622	-46.6379353	(shop) (musical_instrument)	Iorau
15180	-23.5402398	-46.6379517	(shop) (musical_instrument)	Iorau
15181	-23.5402126	-46.6379717	(shop) (musical_instrument)	Iorau
15204	-23.5386329	-46.6389395	(shop) (musical_instrument)	MW Som
15206	-23.5385308	-46.6390125	(shop) (musical_instrument)	VR Som
15207	-23.5384816	-46.6390477	(shop) (musical_instrument)	AV Musical
15208	-23.5383741	-46.6391247	(shop) (musical_instrument)	Celsom
15209	-23.5383214	-46.6391624	(shop) (musical_instrument)	Brasil
21328	-23.5398863	-46.6380583	(shop) (musical_instrument)	Kalifa
21351	-23.5424117	-46.636448	(shop) (musical_instrument)	Musical Baruk
23504	-23.5539162	-46.6626683	(shop) (musical_instrument)	Steinway & Sons
28172	-23.6681888	-46.7321714	(shop) (musical_instrument)	Artesoma Luthier
30034	-23.9340434	-46.3309188	(shop) (musical_instrument)	U.F.O.S. SON
30700	-23.5582613	-46.6785221	(shop) (musical_instrument)	Riff Music Store
31540	-23.6961417	-46.5685202	(shop) (musical_instrument)	MR Instrumentos Musicais
33121	-23.4027551	-46.4422292	(shop) (musical_instrument)
34207	-23.6002175	-46.4846761	(shop) (musical_instrument)	King Musical
36762	-23.559911	-46.6895758	(shop) (musical_instrument)	Pianissimo
40360	-23.717031	-46.5527065	(shop) (musical_instrument)	Miyata Music
168246	-23.71525085	-46.55212285	(shop) (musical_instrument)	Odebreck Instrumentos Musicais
213582	-23.711295550000003	-46.5532567	(shop) (musical_instrument)	Rocksaid
