36034	-23.5677835	-46.7005943	(natural) (scrub)
36116	-23.5683196	-46.6927503	(natural) (scrub)
36117	-23.5684269	-46.6926848	(natural) (scrub)
36118	-23.5684738	-46.6926562	(natural) (scrub)
36119	-23.5685291	-46.6926225	(natural) (scrub)
36120	-23.5686391	-46.6925555	(natural) (scrub)
36121	-23.568586	-46.6925878	(natural) (scrub)
162633	-23.5134385	-46.5307672	(natural) (scrub)	Praça Maria Lorecchio Basilio
162784	-23.525115999999997	-46.72398605	(natural) (scrub)	Praça Ugo Uliani
163058	-23.68879605	-46.56439815	(natural) (scrub)	Praça Wallace Simonsen
163474	-23.5207439	-46.5951769	(natural) (scrub)	Praça Nicolau Calil Jeha
163974	-23.56767045	-46.48806305	(natural) (scrub)	Parque Municipal Savoy
164414	-23.48124035	-46.57148805	(natural) (scrub)	Praça Erotides de Campos
164838	-23.52668435	-46.61148455	(natural) (scrub)	Praça Ilo Ottani
164946	-23.5579933	-46.48574495	(natural) (scrub)	Praça Maria Menegaldo Canavesi
165122	-23.6674857	-46.577633899999995	(natural) (scrub)	Praça Trabalhadores da Mercedes Benz
167883	-23.536513550000002	-46.515847300000004	(natural) (scrub)	Praça Antônio Marques Novo
170501	-23.69137945	-46.5648432	(natural) (scrub)	Praça João Corazza
171914	-23.1804227	-45.9021332	(natural) (scrub)	Banhado
173765	-23.689241850000002	-46.56060625	(natural) (scrub)	Praça Enia Campi de Almeida
175177	-23.55394225	-46.490760249999994	(natural) (scrub)	Praça Vila Bandeirantes
176000	-23.526430249999997	-46.61189145	(natural) (scrub)	Praça Ilo Ottani
176036	-23.5324978	-46.625958999999995	(natural) (scrub)	Praça Coronel Odilon Aquino de Oliveira
182266	-23.5373824	-46.4508081	(natural) (scrub)	Praça Margarida Tomy Vatanabe
182719	-23.600998500000003	-46.6829122	(natural) (scrub)	Praça Carananduba
183216	-23.6328963	-46.536841949999996	(natural) (scrub)	Praça Cecília Meireles
183244	-23.5534723	-46.6455511	(natural) (scrub)	Praça Ítalo Bagnoli
184404	-23.723966249999997	-46.698231899999996	(natural) (scrub)	Praça Celestial
184511	-23.576938	-46.60887175	(natural) (scrub)	Praça Engenheiro Garcia
184766	-23.582069349999998	-46.626655	(natural) (scrub)	Praça Santa Margarida Maria
191959	-23.570023300000003	-46.58144985	(natural) (scrub)	Praça Enta
211774	-23.79984155	-46.028045399999996	(natural) (scrub)	Módulo 12 - Antilha
211775	-23.80292995	-46.0332751	(natural) (scrub)	Módulo 11 - Galápagos
211821	-23.79620755	-46.0285522	(natural) (scrub)	Módulo 17 - Cabo Verde
211823	-23.798065700000002	-46.0340188	(natural) (scrub)	Módulo 16 - Filipinas
211824	-23.80114415	-46.0386831	(natural) (scrub)	Módulo 15 - Caribe
212662	-23.8065191	-46.03862395	(natural) (scrub)	Módulo 10 - Atlântida
212670	-23.8009885	-46.04420025	(natural) (scrub)	Módulo 14 - Baleares
212671	-23.80523585	-46.0438507	(natural) (scrub)	Módulo 13 - Canárias
230396	-23.510780099999998	-46.4471827	(natural) (scrub)	Praça Almiscar
236609	-23.409735949999998	-46.8914204	(natural) (scrub)	praça da uniao
250377	-23.3676624	-46.73816	(natural) (scrub)	Trevo Margarida Maria Bernardo de Oliveira
267309	-23.47835095	-46.608068450000005	(natural) (scrub)	Jardim Edificio Panorama
