876	-23.5494933	-46.6368493	(amenity) (social_facility)
877	-23.5488535	-46.6366835	(amenity) (social_facility)
883	-23.56287	-46.6401506	(amenity) (social_facility)	Albergue Pedroso
907	-23.555431	-46.6511566	(amenity) (social_facility)	Refeitório Comunitário de Povo da Rua
908	-23.5501392	-46.6376517	(amenity) (social_facility)	Centro Franciscano de Reinserção Social
6768	-23.6602638	-46.5468005	(amenity) (social_facility)	Associação dos Ex-combatentes do ABCDMRR
6769	-23.660765	-46.5467813	(amenity) (social_facility)	Casa Lions de Adolescente de Santo André
6770	-23.6600092	-46.5468277	(amenity) (social_facility)	Corpo de Patrulheiros Mirins de Santo André
8453	-23.4931161	-46.5865681	(amenity) (social_facility)	Solar Primavera
12818	-23.5703275	-46.5609693	(amenity) (social_facility)	Centro Socioeducativo Perseverança
12968	-23.5462575	-46.5875235	(amenity) (social_facility)	Cefran
12984	-23.7094666	-46.5511628	(amenity) (social_facility)	Centro de Referência e Apoio à Mulher Márcia Dangremon
13127	-23.6970855	-46.5544279	(amenity) (social_facility)	Creas São Bernardo do Campo
13128	-23.6975063	-46.5548519	(amenity) (social_facility)	Conselho Tutelar dos Direitos da Criança e do Adolescente
14956	-24.0031757	-46.4455121	(amenity) (social_facility)
14957	-24.0217247	-46.4770932	(amenity) (social_facility)
15031	-23.4981189	-46.5856226	(amenity) (social_facility)	Residencial Para idosos José e Maria
17604	-23.8246499	-46.7302979	(amenity) (social_facility)	Centro de Atenção Psicossocial Infantil
21281	-23.6432824	-46.5225158	(amenity) (social_facility)	Casa Repouso Sol da Manhã
23108	-23.5445642	-46.2600097	(amenity) (social_facility)	Centro de Referência da Assistência Social Jundiapeba I
26980	-23.4760351	-46.128494	(amenity) (social_facility)	Casa de Repouso para Idosos Shalon
29262	-23.6758695	-46.5379388	(amenity) (social_facility)	Prime Life
29621	-23.6829172	-46.678572	(amenity) (social_facility)	Sal da Terra
30359	-23.63622	-46.9525128	(amenity) (social_facility)	CRAS Monte Serrate
33302	-23.8210025	-46.7059616	(amenity) (social_facility)
33305	-23.823272	-46.7045229	(amenity) (social_facility)	Criança e Adolescente
