40261	-23.1638432	-45.9042684	(natural) (wetland)
40262	-23.1586941	-45.903217	(natural) (wetland)
40263	-23.1562083	-45.9003202	(natural) (wetland)
42274	-23.9725705	-47.2795108	(natural) (wetland)
42293	-23.936552	-47.2059344	(natural) (wetland)	Cachoeira do Rio Bonito
42295	-23.6470188	-46.9637986	(natural) (wetland)	Cachoeira da Graça
42878	-23.5409029	-46.2391005	(natural) (wetland)
59678	-23.779108649999998	-46.72888985	(natural) (wetland)	Ribeirão Parelheiros
135480	-23.63921525	-46.620185899999996	(natural) (wetland)	Brejo natural
156470	-23.933598	-46.38027075	(natural) (wetland)	Vila Butantã
249484	-23.70690045	-46.41470940000001	(natural) (wetland)	Várzea do Córrego da Colônia
264524	-23.70317235	-46.4279362	(natural) (wetland)	Várzea do Córrego da Cooperativa
264652	-23.687903499999997	-46.37462145	(natural) (wetland)	Várzea do Córrego Pereira Barreto
264667	-23.7009571	-46.36936445	(natural) (wetland)	Vazante de córregos
264981	-23.687134800000003	-46.376564099999996	(natural) (wetland)	Várzea do Ribeirão Grande
264988	-23.6911573	-46.3957111	(natural) (wetland)	Vazante de córregos
265136	-23.7038121	-46.43344845	(natural) (wetland)	Várzea do Bocaina
265138	-23.701099499999998	-46.43549715	(natural) (wetland)	Várzea do Bocaina
265153	-23.723202999999998	-46.4044318	(natural) (wetland)	Várzea da Kaethe Richers
265243	-23.6992589	-46.39139555	(natural) (wetland)	Várzea do Córrego dos Ripoli
265253	-23.699069950000002	-46.41086775	(natural) (wetland)	Várzea do Córrego da Colônia
265255	-23.6999615	-46.4119569	(natural) (wetland)	Várzea do Córrego da Colônia
265618	-23.71830535	-46.38798575	(natural) (wetland)	Várzea do Córrego dos Roncon
265664	-23.68454595	-46.4022482	(natural) (wetland)	Vazante de córregos
265665	-23.68457385	-46.399767749999995	(natural) (wetland)	Vazante de córregos
265717	-23.67064565	-46.3792966	(natural) (wetland)	Várzea da Sapopemba
265718	-23.672003	-46.3802404	(natural) (wetland)	Várzea da Sapopemba
265719	-23.6744084	-46.3826366	(natural) (wetland)	Vazante de córregos
265730	-23.667234399999998	-46.379293700000005	(natural) (wetland)	Vazante de córregos
265734	-23.6768862	-46.39248705	(natural) (wetland)	Vazante de córregos
265735	-23.67893595	-46.395195400000006	(natural) (wetland)	Várzea do Peri Peri
265739	-23.68054935	-46.3979126	(natural) (wetland)	Várzea do Juburuna
265742	-23.689196799999998	-46.39980815	(natural) (wetland)	Várzea do Peri Peri
265746	-23.6939553	-46.39676145	(natural) (wetland)	Vazante de córregos
265748	-23.7192952	-46.4075602	(natural) (wetland)	Várzea da Kaethe Richers
265749	-23.7184292	-46.409173550000006	(natural) (wetland)	Vazante de córregos
265752	-23.720762	-46.4055336	(natural) (wetland)	Várzea da Kaethe Richers
265753	-23.72129195	-46.40505095	(natural) (wetland)	Várzea da Kaethe Richers
265754	-23.7242635	-46.40365695	(natural) (wetland)	Várzea da Kaethe Richers
265757	-23.7258009	-46.40120005	(natural) (wetland)	Várzea da Marquesa
265774	-23.6765299	-46.35629285	(natural) (wetland)	Vazante de Córregos
265829	-23.69787815	-46.36766845	(natural) (wetland)	Vazante de córregos
