167	Thu May 19 23:59:13 +0000 2011	4a81ac53f964a5203af71fe3	{Sun Sai Gai Restaurant}	{40.71724521776027,-73.99939611554146,New York,NY,United States}	{Food,}
167	Wed May 18 21:23:42 +0000 2011	49becfd3f964a520e0541fe3	{Woorijip}	{40.74768966143616,-73.98639760931952,New York,NY,United States}	{Nightlife Spot,Food,}
167	Wed May 18 21:22:28 +0000 2011	4aca4863f964a52036c120e3	{Radisson Hotel Martinique}	{40.748478574863555,-73.98817096588479,New York,NY,United States}	{Travel & Transport,}
167	Wed May 18 21:21:56 +0000 2011	4b061faff964a520ece822e3	{Hotel Stanford}	{40.74828453327023,-73.98767741198104,New York,NY,United States}	{Travel & Transport,}
167	Wed May 18 21:21:18 +0000 2011	4127e200f964a520580c1fe3	{La Quinta Inn Manhattan}	{40.74762,-73.98662,New York,NY,United States}	{Travel & Transport,Shop & Service,Hotel,}
167	Wed May 18 17:03:19 +0000 2011	4a980f15f964a520462a20e3	{Harrie's Cafe & Bakery}	{40.7533,-73.987508,New York,NY,United States}	{Food,}
167	Wed May 18 17:02:31 +0000 2011	4bd83b4d0b779c74989f06a0	{1407 Broadway}	{40.75389928361808,-73.98733881031316,New York,NY,United States}	{Office,Professional & Other Places,}
167	Tue May 17 17:52:06 +0000 2011	4a980f15f964a520462a20e3	{Harrie's Cafe & Bakery}	{40.7533,-73.987508,New York,NY,United States}	{Food,}
167	Tue May 17 17:51:30 +0000 2011	4bd83b4d0b779c74989f06a0	{1407 Broadway}	{40.75389928361808,-73.98733881031316,New York,NY,United States}	{Office,Professional & Other Places,}
167	Mon May 16 17:07:48 +0000 2011	4a980f15f964a520462a20e3	{Harrie's Cafe & Bakery}	{40.7533,-73.987508,New York,NY,United States}	{Food,}
167	Mon May 16 17:06:41 +0000 2011	4bd83b4d0b779c74989f06a0	{1407 Broadway}	{40.75389928361808,-73.98733881031316,New York,NY,United States}	{Office,Professional & Other Places,}
167	Thu May 12 23:34:00 +0000 2011	4af4c165f964a520d1f521e3	{Arirang Korean Restaurant}	{40.7480127861676,-73.98720681289102,New York,NY,United States}	{Food,}
167	Thu May 12 23:33:12 +0000 2011	4cb8cae6a33bb1f7fdd583fd	{32nd. Korean Way}	{40.74822004630936,-73.98778071406592,New York,NY,United States}	{Food,}
