1105	Fri Aug 12 16:35:11 +0000 2011	4c3a5c593849c92883e3c2b1	{Bixby Knolls}	{33.832752326388494,-118.18534419740293,Long Beach,CA,United States}	{Shop & Service,Outdoors & Recreation,Arts & Entertainment,}
1105	Wed Aug 10 21:29:08 +0000 2011	4c5ee6287735c9b6fdf89272	{Ready Pac}	{34.092743764761195,-117.93715130735507,Irwindale,CA,United States}	{Professional & Other Places,}
1105	Wed Aug 10 21:28:58 +0000 2011	4b464db2f964a5200c1d26e3	{In-N-Out Burger}	{34.08988952636719,-117.94100328333333,West Covina,CA,United States}	{Food,}
1105	Wed Aug 10 00:50:44 +0000 2011	4b8f0ec3f964a520ed4633e3	{Pick Up Stix}	{34.002866,-117.730346,Chino Hills,CA,United States}	{Food,}
1105	Tue Aug 09 18:07:37 +0000 2011	4c5ee6287735c9b6fdf89272	{Ready Pac}	{34.092743764761195,-117.93715130735507,Irwindale,CA,United States}	{Professional & Other Places,}
1105	Tue Aug 09 18:07:26 +0000 2011	4b464db2f964a5200c1d26e3	{In-N-Out Burger}	{34.08988952636719,-117.94100328333333,West Covina,CA,United States}	{Food,}
1105	Tue Aug 09 03:30:13 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Tue Aug 09 03:30:13 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Tue Aug 09 03:29:51 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Tue Aug 09 03:29:34 +0000 2011	4aeb8285f964a520d8c221e3	{DoubleTree Suites by Hilton}	{33.79663309241122,-117.9158091545105,Anaheim,CA,United States}	{Travel & Transport,}
1105	Mon Aug 08 16:47:15 +0000 2011	4c5ee6287735c9b6fdf89272	{Ready Pac}	{34.092743764761195,-117.93715130735507,Irwindale,CA,United States}	{Professional & Other Places,}
1105	Mon Aug 08 16:47:04 +0000 2011	4b464db2f964a5200c1d26e3	{In-N-Out Burger}	{34.08988952636719,-117.94100328333333,West Covina,CA,United States}	{Food,}
