1141	Fri Aug 12 03:01:18 +0000 2011	4a67cce0f964a52013ca1fe3	{Apple Store, South Coast Plaza}	{33.6921,-117.89322,Costa Mesa,CA,United States}	{Shop & Service,}
1141	Thu Aug 11 18:06:44 +0000 2011	4b5f5c11f964a520f8b529e3	{The Vitamin Shoppe}	{33.91324460506439,-117.89024692,Brea,CA,United States}	{Shop & Service,}
1141	Thu Aug 11 01:14:23 +0000 2011	4b428a55f964a52008d625e3	{Kaiser Permanente Lakeview Medical Offices}	{33.85275400536821,-117.81734464887049,Anaheim,CA,United States}	{Medical Center,Professional & Other Places,}
1141	Wed Aug 10 23:02:45 +0000 2011	4cba0d84c7228cfa2d8614ce	{HillTop Jamaican Restaurant}	{34.063108,-117.729872,Pomona,CA,United States}	{Food,}
1141	Wed Aug 10 20:46:26 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Wed Aug 10 05:20:18 +0000 2011	4ae4a6f7f964a520c19c21e3	{The Boiling Crab}	{33.761162966829566,-117.95322865247726,Garden Grove,CA,United States}	{Food,}
1141	Wed Aug 10 05:20:04 +0000 2011	4c0c4034bbc676b046dc4cd5	{The Boiling Crab TO GO}	{33.76064321778788,-117.95369458919409,Garden Grove,CA,United States}	{Food,}
1141	Tue Aug 09 21:02:55 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Mon Aug 08 05:30:21 +0000 2011	4c0c4034bbc676b046dc4cd5	{The Boiling Crab TO GO}	{33.76064321778788,-117.95369458919409,Garden Grove,CA,United States}	{Food,}
1141	Mon Aug 08 05:29:54 +0000 2011	4ae4a6f7f964a520c19c21e3	{The Boiling Crab}	{33.761162966829566,-117.95322865247726,Garden Grove,CA,United States}	{Food,}
1141	Sun Aug 07 21:10:31 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Sun Aug 07 21:10:30 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Sun Aug 07 19:16:36 +0000 2011	4a70fa1df964a520e8d81fe3	{Costco Wholesale}	{33.87558556847405,-117.74404050578491,Yorba Linda,CA,United States}	{Shop & Service,}
1141	Sun Aug 07 03:45:00 +0000 2011	4b2c6171f964a52079c624e3	{Zankou Chicken}	{33.81708700218502,-117.96934408937886,Anaheim,CA,United States}	{Food,}
1141	Sat Aug 06 23:47:06 +0000 2011	4c0c4034bbc676b046dc4cd5	{The Boiling Crab TO GO}	{33.76064321778788,-117.95369458919409,Garden Grove,CA,United States}	{Food,}
1141	Sat Aug 06 23:46:51 +0000 2011	4ae4a6f7f964a520c19c21e3	{The Boiling Crab}	{33.761162966829566,-117.95322865247726,Garden Grove,CA,United States}	{Food,}
1141	Sat Aug 06 16:38:09 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Sat Aug 06 06:27:43 +0000 2011	4c0c4034bbc676b046dc4cd5	{The Boiling Crab TO GO}	{33.76064321778788,-117.95369458919409,Garden Grove,CA,United States}	{Food,}
1141	Sat Aug 06 06:27:11 +0000 2011	4ae4a6f7f964a520c19c21e3	{The Boiling Crab}	{33.761162966829566,-117.95322865247726,Garden Grove,CA,United States}	{Food,}
1141	Sat Aug 06 03:50:25 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Wed Aug 03 20:24:53 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Tue Aug 02 23:34:29 +0000 2011	4bbd47b2a8cf76b070b3b1fd	{Irvine Halal}	{33.6880888400092,-117.77146355013276,Irvine,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1141	Tue Aug 02 21:41:08 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Mon Aug 01 23:43:16 +0000 2011	4ae4a6f7f964a520c19c21e3	{The Boiling Crab}	{33.761162966829566,-117.95322865247726,Garden Grove,CA,United States}	{Food,}
1141	Mon Aug 01 23:43:05 +0000 2011	4c0c4034bbc676b046dc4cd5	{The Boiling Crab TO GO}	{33.76064321778788,-117.95369458919409,Garden Grove,CA,United States}	{Food,}
1141	Mon Aug 01 14:09:07 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Sun Jul 31 17:06:44 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Sat Jul 30 23:51:03 +0000 2011	4c0c4034bbc676b046dc4cd5	{The Boiling Crab TO GO}	{33.76064321778788,-117.95369458919409,Garden Grove,CA,United States}	{Food,}
1141	Sat Jul 30 23:50:52 +0000 2011	4ae4a6f7f964a520c19c21e3	{The Boiling Crab}	{33.761162966829566,-117.95322865247726,Garden Grove,CA,United States}	{Food,}
1141	Sat Jul 30 20:15:28 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Sat Jul 30 17:06:54 +0000 2011	4ae38c49f964a520869621e3	{Trieu Chau}	{33.745344,-117.9280561208725,Los Angeles,CA,United States}	{Food,}
1141	Fri Jul 29 03:15:00 +0000 2011	4b888641f964a52027fe31e3	{Hans' Ice Cream}	{33.69761893522608,-117.88684666156769,Santa Ana,CA,United States}	{Food,}
1141	Fri Jul 29 02:06:00 +0000 2011	4cb8b1aef50e224b3ad0e8fb	{The Kickin' Crab}	{33.69890429074512,-117.88499593734741,Santa Ana,CA,United States}	{Food,}
