1311	Fri Jul 29 23:21:32 +0000 2011	4b515f58f964a520f54b27e3	{Sparky's Pub}	{29.44236597078677,-98.4938212308628,San Antonio,TX,United States}	{Nightlife Spot,}
===
1311	Sun Feb 20 08:47:02 +0000 2011	4ae500b6f964a520f89f21e3	{The Down & Out}	{34.04743336434946,-118.24970146469961,Los Angeles,CA,United States}	{Nightlife Spot,}
1311	Sun Feb 20 07:32:45 +0000 2011	4bbabef33db7b713bdae239a	{Spring St. Bar}	{34.04536116401876,-118.25165390968323,Los Angeles,CA,United States}	{Nightlife Spot,}
1311	Sun Feb 20 00:48:11 +0000 2011	42893400f964a5205f231fe3	{ArcLight Cinemas Hollywood}	{34.09722897058994,-118.32819077603945,Los Angeles,CA,United States}	{Arts & Entertainment,Movie Theater,}
===
1311	Tue Nov 23 20:34:15 +0000 2010	4b70b3c1f964a520912a2de3	{California Hot Wings}	{33.98434420478055,-118.10032029023424,Pico Rivera,CA,United States}	{Food,}
===
1311	Fri Sep 17 05:43:23 +0000 2010	45baa2aef964a520e6411fe3	{Solar De Cahuenga}	{34.105088828605744,-118.3306074142456,Hollywood,CA,United States}	{Food,}
1311	Sun Aug 29 01:37:30 +0000 2010	4b105eaef964a520da6e23e3	{Cinemark At The Pike}	{33.76455678448416,-118.19323539733887,Long Beach,CA,United States}	{Arts & Entertainment,Movie Theater,}
1311	Sat Aug 28 22:15:07 +0000 2010	4b5a4da1f964a52097bb28e3	{SB Main Lofts}	{34.044513156324975,-118.25132322142704,Los Angeles,CA,United States}	{Residence,}
1311	Sat Aug 28 20:53:59 +0000 2010	4b089032f964a520830e23e3	{Bolt Barbers: DTLA Flagship}	{34.04755,-118.24949168,Los Angeles,CA,United States}	{Shop & Service,}
1311	Sat Aug 28 19:16:07 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Sat Aug 28 04:00:36 +0000 2010	4c75c7f566be6dcb6f96c10f	{Cahuenga Luxury Hills Apt}	{34.11328131981558,-118.32866140184572,Los Angeles,CA,United States}	{Residence,}
1311	Sat Aug 28 04:00:35 +0000 2010	4c75c7f566be6dcb6f96c10f	{Cahuenga Luxury Hills Apt}	{34.11328131981558,-118.32866140184572,Los Angeles,CA,United States}	{Residence,}
1311	Fri Aug 27 23:06:09 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Thu Aug 26 01:49:32 +0000 2010	4c75c7f566be6dcb6f96c10f	{Cahuenga Luxury Hills Apt}	{34.11328131981558,-118.32866140184572,Los Angeles,CA,United States}	{Residence,}
1311	Wed Aug 25 21:51:17 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Wed Aug 25 06:23:10 +0000 2010	4c75c7f566be6dcb6f96c10f	{Cahuenga Luxury Hills Apt}	{34.11328131981558,-118.32866140184572,Los Angeles,CA,United States}	{Residence,}
1311	Mon Aug 23 20:18:41 +0000 2010	4b5a4da1f964a52097bb28e3	{SB Main Lofts}	{34.044513156324975,-118.25132322142704,Los Angeles,CA,United States}	{Residence,}
===
1311	Sun Mar 07 08:44:43 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Sat Mar 06 11:14:44 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Thu Mar 04 15:57:39 +0000 2010	4c75c7f566be6dcb6f96c10f	{Cahuenga Luxury Hills Apt}	{34.11328131981558,-118.32866140184572,Los Angeles,CA,United States}	{Residence,}
1311	Thu Mar 04 13:49:53 +0000 2010	4b10aa12f964a5208d7423e3	{SB Spring Lofts}	{34.04155116484553,-118.2468148139419,Los Angeles,CA,United States}	{Residence,}
1311	Thu Mar 04 10:15:28 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Thu Mar 04 10:15:28 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Wed Mar 03 21:48:44 +0000 2010	4c75c7f566be6dcb6f96c10f	{Cahuenga Luxury Hills Apt}	{34.11328131981558,-118.32866140184572,Los Angeles,CA,United States}	{Residence,}
1311	Wed Mar 03 08:59:53 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Tue Mar 02 00:50:20 +0000 2010	4a55476bf964a520fdb31fe3	{Target}	{34.089701053000745,-118.34459781646729,West Hollywood,CA,United States}	{Shop & Service,Food & Drink Shop,}
1311	Tue Mar 02 00:13:56 +0000 2010	4b89d050f964a5203e4e32e3	{SUPERCUTS}	{34.08999387475516,-118.34423439086505,Los Angeles,CA,United States}	{Shop & Service,}
1311	Mon Mar 01 23:39:05 +0000 2010	4aaff09cf964a520426520e3	{Off Broadway Shoes}	{34.097608515780905,-118.34099292755127,Los Angeles,CA,United States}	{Shop & Service,Clothing Store,}
1311	Mon Mar 01 15:08:33 +0000 2010	4c75c7f566be6dcb6f96c10f	{Cahuenga Luxury Hills Apt}	{34.11328131981558,-118.32866140184572,Los Angeles,CA,United States}	{Residence,}
1311	Mon Mar 01 06:29:48 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Mon Mar 01 06:29:48 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Mon Mar 01 02:25:54 +0000 2010	4a071c3af964a52028731fe3	{Lamill Coffee Boutique}	{34.08884400508675,-118.26868761780753,Los Angeles,CA,United States}	{Food,}
1311	Sun Feb 28 23:13:25 +0000 2010	422b9980f964a520d41f1fe3	{La Poubelle}	{34.10541862236608,-118.31837850532608,Los Angeles,CA,United States}	{Food,}
