1386	Thu Nov 17 03:09:13 +0000 2011	42893400f964a5207e231fe3	{STAPLES Center}	{34.043058660157634,-118.26724290847778,Los Angeles,CA,United States}	{Stadium,Arts & Entertainment,}
===
1386	Sun Nov 07 23:09:58 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Sat Nov 06 17:28:20 +0000 2010	4c00295bf61ea5931c6eeb13	{I-5 (Golden State Freeway)}	{34.247301898783704,-118.42517137527466,Southern California,CA,United States}	{Travel & Transport,}
1386	Wed Oct 13 23:36:10 +0000 2010	4da3bde6b3e7236a7b383979	{North Hollywood, CA}	{34.16818840091259,-118.37713356133976,North Hollywood,CA,United States}	{Outdoors & Recreation,}
1386	Wed Oct 13 19:06:17 +0000 2010	4b449b6bf964a520a4f725e3	{Starbucks}	{34.164587935930584,-118.37425231933594,North Hollywood,CA,United States}	{Food,}
1386	Wed Oct 13 15:51:50 +0000 2010	4c00295bf61ea5931c6eeb13	{I-5 (Golden State Freeway)}	{34.247301898783704,-118.42517137527466,Southern California,CA,United States}	{Travel & Transport,}
1386	Mon Oct 11 16:18:01 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1386	Sat Oct 09 22:49:18 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Thu Oct 07 21:14:37 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Thu Oct 07 21:13:58 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1386	Tue Oct 05 16:53:21 +0000 2010	4c06b0198b4520a1c9cb8597	{DIMG Courtyard}	{34.164297,-118.374815,North Hollywood,CA,United States}	{Professional & Other Places,}
1386	Tue Oct 05 16:53:11 +0000 2010	4c2a58a48ef52d7f1aba2fba	{DIMG 2nd Floor}	{34.16401495275692,-118.37444594313287,North Hollywood,CA,United States}	{Professional & Other Places,}
1386	Tue Oct 05 16:53:02 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1386	Tue Oct 05 16:43:30 +0000 2010	4c00295bf61ea5931c6eeb13	{I-5 (Golden State Freeway)}	{34.247301898783704,-118.42517137527466,Southern California,CA,United States}	{Travel & Transport,}
1386	Mon Oct 04 15:17:11 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Sun Oct 03 21:20:29 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Thu Sep 23 18:39:03 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
