181	Wed Aug 10 00:55:29 +0000 2011	4af1284bf964a520cae021e3	{Dargan's Irish Pub}	{34.41897021950411,-119.69733975223532,Santa Barbara,CA,United States}	{Nightlife Spot,}
181	Fri Aug 05 06:43:59 +0000 2011	4a9b4ef6f964a520ee3420e3	{The Press Room}	{34.41917106875982,-119.69769049632262,Santa Barbara,CA,United States}	{Nightlife Spot,}
181	Fri Aug 05 02:21:51 +0000 2011	4a996097f964a520012e20e3	{Earl Warren Showgrounds}	{34.4300538490951,-119.73525881767273,Santa Barbara,CA,United States}	{Professional & Other Places,}
181	Thu Aug 04 23:24:46 +0000 2011	4b4e2bbef964a520f1e326e3	{Carr Winery & Tasting Room}	{34.42250286673187,-119.68769394718063,Santa Barbara,CA,United States}	{Nightlife Spot,Food,}
181	Thu Aug 04 02:59:48 +0000 2011	4b3e5f76f964a520169c25e3	{Boathouse at Hendry's Beach}	{34.403439688210135,-119.74406719207764,Santa Barbara,CA,United States}	{Food,}
181	Sat Jul 30 21:20:17 +0000 2011	4bac0453f964a52055de3ae3	{Mexican Fresh}	{34.400846,-119.722506,Santa Barbara,CA,United States}	{Food,}
181	Sat Jul 30 01:31:24 +0000 2011	4b4e2bbef964a520f1e326e3	{Carr Winery & Tasting Room}	{34.42250286673187,-119.68769394718063,Santa Barbara,CA,United States}	{Nightlife Spot,Food,}
181	Sat Jul 30 00:51:45 +0000 2011	4b7887ecf964a520aad42ee3	{Oreana Winery & Marketplace}	{34.415147,-119.690913,Santa Barbara,CA,United States}	{Shop & Service,Food & Drink Shop,}
181	Wed Jul 27 23:39:58 +0000 2011	4b33f7c6f964a520042325e3	{Yogurtland}	{34.41822141731885,-119.6975207815509,Santa Barbara,CA,United States}	{Food,}
181	Tue Jul 26 16:44:51 +0000 2011	49e8a4f6f964a5205d651fe3	{Starbucks}	{34.42174893333333,-119.65032,Montecito,CA,United States}	{Food,}
181	Fri Jul 22 17:21:43 +0000 2011	4b26f6e3f964a5208d8324e3	{Starbucks}	{34.429752971443136,-119.87218022346497,Goleta,CA,United States}	{Food,}
181	Thu Jul 21 02:09:08 +0000 2011	4b3e5f76f964a520169c25e3	{Boathouse at Hendry's Beach}	{34.403439688210135,-119.74406719207764,Santa Barbara,CA,United States}	{Food,}
181	Wed Jul 20 17:26:17 +0000 2011	4b26f6e3f964a5208d8324e3	{Starbucks}	{34.429752971443136,-119.87218022346497,Goleta,CA,United States}	{Food,}
181	Wed Jul 20 17:14:55 +0000 2011	4e270cebc65bb6120fd1af93	{Los Padres National Forest Headquarters}	{34.42792250164884,-119.86587825767201,Goleta,CA,United States}	{Professional & Other Places,}
181	Tue Jul 19 18:52:27 +0000 2011	4b26f6e3f964a5208d8324e3	{Starbucks}	{34.429752971443136,-119.87218022346497,Goleta,CA,United States}	{Food,}
181	Mon Jul 18 16:50:52 +0000 2011	4b26f6e3f964a5208d8324e3	{Starbucks}	{34.429752971443136,-119.87218022346497,Goleta,CA,United States}	{Food,}
181	Thu Jul 14 17:12:36 +0000 2011	4b62f886f964a5207b5b2ae3	{Toyota of Santa Barbara}	{34.43514347076416,-119.82095,Goleta,CA,United States}	{Shop & Service,}
181	Thu Jul 14 16:02:47 +0000 2011	4b26f6e3f964a5208d8324e3	{Starbucks}	{34.429752971443136,-119.87218022346497,Goleta,CA,United States}	{Food,}
181	Mon Jul 11 23:08:18 +0000 2011	4b26f6e3f964a5208d8324e3	{Starbucks}	{34.429752971443136,-119.87218022346497,Goleta,CA,United States}	{Food,}
181	Sat Jul 09 00:08:03 +0000 2011	4b3e5f76f964a520169c25e3	{Boathouse at Hendry's Beach}	{34.403439688210135,-119.74406719207764,Santa Barbara,CA,United States}	{Food,}
181	Fri Jul 08 21:55:11 +0000 2011	49e8a4f6f964a5205d651fe3	{Starbucks}	{34.42174893333333,-119.65032,Montecito,CA,United States}	{Food,}
181	Fri Jul 08 00:42:45 +0000 2011	4b4e2bbef964a520f1e326e3	{Carr Winery & Tasting Room}	{34.42250286673187,-119.68769394718063,Santa Barbara,CA,United States}	{Nightlife Spot,Food,}
181	Thu Jul 07 18:17:50 +0000 2011	49e8a4f6f964a5205d651fe3	{Starbucks}	{34.42174893333333,-119.65032,Montecito,CA,United States}	{Food,}
181	Thu Jun 30 21:03:56 +0000 2011	4b2fc8e8f964a520dfef24e3	{The Coffee Bean & Tea Leaf?}	{34.41984630387652,-119.69991775663681,Santa Barbara,CA,United States}	{Food,}
181	Thu Jun 23 23:41:12 +0000 2011	4b4e2bbef964a520f1e326e3	{Carr Winery & Tasting Room}	{34.42250286673187,-119.68769394718063,Santa Barbara,CA,United States}	{Nightlife Spot,Food,}
===
181	Mon May 23 20:51:28 +0000 2011	4b4e2bbef964a520f1e326e3	{Carr Winery & Tasting Room}	{34.42250286673187,-119.68769394718063,Santa Barbara,CA,United States}	{Nightlife Spot,Food,}
181	Wed May 18 01:12:12 +0000 2011	439ec330f964a520102c1fe3	{Los Angeles International Airport (LAX)}	{33.94389397698472,-118.40502262115479,Los Angeles,CA,United States}	{Travel & Transport,}
181	Fri May 13 21:11:06 +0000 2011	4b4e2bbef964a520f1e326e3	{Carr Winery & Tasting Room}	{34.42250286673187,-119.68769394718063,Santa Barbara,CA,United States}	{Nightlife Spot,Food,}
181	Thu May 05 18:07:52 +0000 2011	4b26f6e3f964a5208d8324e3	{Starbucks}	{34.429752971443136,-119.87218022346497,Goleta,CA,United States}	{Food,}
181	Thu Apr 28 17:42:14 +0000 2011	4b42729ff964a5201ed425e3	{Santa Barbara Roasting Company}	{34.415088330140755,-119.69434707760111,Santa Barbara,CA,United States}	{Food,}
181	Wed Apr 27 21:31:32 +0000 2011	4b39a5e5f964a520515e25e3	{Make It Work}	{34.43846151666666,-119.749842,Santa Barbara,CA,United States}	{Shop & Service,}
181	Tue Apr 26 22:16:30 +0000 2011	4b39a5e5f964a520515e25e3	{Make It Work}	{34.43846151666666,-119.749842,Santa Barbara,CA,United States}	{Shop & Service,}
===
181	Mon Jan 24 02:50:12 +0000 2011	4a81e0f4f964a520dff71fe3	{Paradise Point Resort & Spa}	{32.77494025799912,-117.23994166968006,San Diego,CA,United States}	{Travel & Transport,Hotel,}
181	Fri Jan 14 04:21:59 +0000 2011	4b1448fcf964a52089a023e3	{24 Hour Fitness}	{34.42061784690296,-119.69976100004608,Santa Barbara,CA,United States}	{Shop & Service,}
===
181	Fri Dec 17 20:06:44 +0000 2010	4bf6bad57cffc9283fbdbf1c	{United Blood Services}	{35.24560157003133,-120.64258575439453,San Luis Obispo,CA,United States}	{Professional & Other Places,}
181	Fri Dec 17 01:39:07 +0000 2010	4b4e2bbef964a520f1e326e3	{Carr Winery & Tasting Room}	{34.42250286673187,-119.68769394718063,Santa Barbara,CA,United States}	{Nightlife Spot,Food,}
181	Sun Dec 12 23:22:05 +0000 2010	4b33ed3df964a5202a2225e3	{Santa Barbara Zoo}	{34.42031017247922,-119.66606855392456,Santa Barbara,CA,United States}	{Outdoors & Recreation,Arts & Entertainment,}
181	Sat Dec 11 23:38:27 +0000 2010	4b46466cf964a520381c26e3	{Plaza Deli}	{34.436707,-119.74833,Santa Barbara,CA,United States}	{Food,}
181	Fri Dec 10 02:46:13 +0000 2010	4b32a906f964a520341125e3	{Pizza Mizza}	{34.437000281934,-119.7486162185669,Santa Barbara,CA,United States}	{Food,}
181	Tue Dec 07 03:49:33 +0000 2010	4bc660c8b387d13a26d9c1e8	{Conditioning Specialists}	{34.421688990005016,-119.688061687939,Santa Barbara,CA,United States}	{Shop & Service,}
181	Sat Dec 04 22:56:02 +0000 2010	4ba2a59af964a520580c38e3	{InTouch Health}	{34.43360235380395,-119.86133337020874,Goleta,CA,United States}	{Shop & Service,}
181	Wed Nov 24 21:30:15 +0000 2010	4b46466cf964a520381c26e3	{Plaza Deli}	{34.436707,-119.74833,Santa Barbara,CA,United States}	{Food,}
181	Sun Nov 14 03:23:04 +0000 2010	4ae90088f964a520efb321e3	{Harder Stadium}	{34.41954018776688,-119.85455274581909,Santa Barbara,CA,United States}	{College & University,College Stadium,}
181	Sat Nov 13 01:12:35 +0000 2010	4aad631ef964a520026020e3	{Sandbar}	{34.417274,-119.6959,Santa Barbara,CA,United States}	{Nightlife Spot,Food,}
181	Sat Nov 13 00:01:03 +0000 2010	4b464b29f964a520c31c26e3	{Alisal Guest Ranch & Resort}	{34.561794172176185,-120.14101402592655,Solvang,CA,United States}	{Travel & Transport,Outdoors & Recreation,Arts & Entertainment,Hotel,}
181	Sat Nov 13 00:01:03 +0000 2010	4b464b29f964a520c31c26e3	{Alisal Guest Ranch & Resort}	{34.561794172176185,-120.14101402592655,Solvang,CA,United States}	{Travel & Transport,Outdoors & Recreation,Arts & Entertainment,Hotel,}
181	Thu Nov 11 20:36:47 +0000 2010	4b464b29f964a520c31c26e3	{Alisal Guest Ranch & Resort}	{34.561794172176185,-120.14101402592655,Solvang,CA,United States}	{Travel & Transport,Outdoors & Recreation,Arts & Entertainment,Hotel,}
181	Thu Nov 11 02:42:05 +0000 2010	4ae90088f964a520efb321e3	{Harder Stadium}	{34.41954018776688,-119.85455274581909,Santa Barbara,CA,United States}	{College & University,College Stadium,}
181	Sun Nov 07 02:58:03 +0000 2010	4ae90088f964a520efb321e3	{Harder Stadium}	{34.41954018776688,-119.85455274581909,Santa Barbara,CA,United States}	{College & University,College Stadium,}
181	Fri Nov 05 02:39:08 +0000 2010	4b4e2bbef964a520f1e326e3	{Carr Winery & Tasting Room}	{34.42250286673187,-119.68769394718063,Santa Barbara,CA,United States}	{Nightlife Spot,Food,}
181	Wed Nov 03 00:59:26 +0000 2010	4b2c7d48f964a5205ec724e3	{Endless Summer Bar & Cafe}	{34.404209,-119.693725,Santa Barbara,CA,United States}	{Food,}
181	Fri Oct 29 00:51:18 +0000 2010	4b4e2bbef964a520f1e326e3	{Carr Winery & Tasting Room}	{34.42250286673187,-119.68769394718063,Santa Barbara,CA,United States}	{Nightlife Spot,Food,}
181	Mon Oct 11 21:06:44 +0000 2010	4b46466cf964a520381c26e3	{Plaza Deli}	{34.436707,-119.74833,Santa Barbara,CA,United States}	{Food,}
181	Sun Oct 10 02:36:12 +0000 2010	4b25c5e9f964a520107624e3	{Arigato Sushi}	{34.423911860730364,-119.705429272257,Santa Barbara,CA,United States}	{Food,}
181	Sun Oct 03 03:46:37 +0000 2010	4ad4f29af964a520b3ff20e3	{Kingsmill Resort & Spa}	{37.22575920179832,-76.667127641082,Williamsburg,VA,United States}	{Travel & Transport,Hotel,}
181	Thu Sep 16 20:16:37 +0000 2010	4b1448fcf964a52089a023e3	{24 Hour Fitness}	{34.42061784690296,-119.69976100004608,Santa Barbara,CA,United States}	{Shop & Service,}
181	Thu Sep 16 02:01:34 +0000 2010	4b32a906f964a520341125e3	{Pizza Mizza}	{34.437000281934,-119.7486162185669,Santa Barbara,CA,United States}	{Food,}
181	Sat Sep 11 01:52:43 +0000 2010	4aad631ef964a520026020e3	{Sandbar}	{34.417274,-119.6959,Santa Barbara,CA,United States}	{Nightlife Spot,Food,}
181	Tue Sep 07 02:23:29 +0000 2010	4b32a906f964a520341125e3	{Pizza Mizza}	{34.437000281934,-119.7486162185669,Santa Barbara,CA,United States}	{Food,}
181	Thu Sep 02 20:04:52 +0000 2010	4b1448fcf964a52089a023e3	{24 Hour Fitness}	{34.42061784690296,-119.69976100004608,Santa Barbara,CA,United States}	{Shop & Service,}
181	Thu Sep 02 01:15:48 +0000 2010	4a677f82f964a52091c91fe3	{Las Vegas McCarran International Airport (LAS)}	{36.08365019548198,-115.14985084533691,Las Vegas,NV,United States}	{Travel & Transport,}
181	Wed Sep 01 22:54:25 +0000 2010	41326e00f964a520a2141fe3	{Monte Carlo Resort and Casino}	{36.1047342531898,-115.17521381378174,Las Vegas,NV,United States}	{Travel & Transport,Arts & Entertainment,Hotel,}
181	Wed Sep 01 22:18:35 +0000 2010	4aff3365f964a520d53522e3	{Bellagio Conservatory & Botanical Gardens}	{36.112041,-115.176555,Las Vegas,NV,United States}	{Outdoors & Recreation,Arts & Entertainment,}
181	Wed Sep 01 20:55:59 +0000 2010	41326e00f964a520c0131fe3	{Bellagio Hotel & Casino}	{36.112498113604694,-115.17571357074823,Las Vegas,NV,United States}	{Travel & Transport,Arts & Entertainment,Hotel,}
181	Wed Sep 01 04:44:12 +0000 2010	46ae2f06f964a5207f491fe3	{Red Rock Casino Resort & Spa}	{36.15620689185038,-115.33408641815186,Las Vegas,NV,United States}	{Travel & Transport,Arts & Entertainment,Hotel,}
181	Wed Sep 01 04:07:55 +0000 2010	4ba82d3cf964a52094cf39e3	{T-Bones Chophouse and Lounge}	{36.15547923128559,-115.33352851867674,Las Vegas,NV,United States}	{Food,}
181	Wed Sep 01 03:04:10 +0000 2010	46ae2f06f964a5207f491fe3	{Red Rock Casino Resort & Spa}	{36.15620689185038,-115.33408641815186,Las Vegas,NV,United States}	{Travel & Transport,Arts & Entertainment,Hotel,}
181	Sat Aug 21 23:32:08 +0000 2010	4b32a906f964a520341125e3	{Pizza Mizza}	{34.437000281934,-119.7486162185669,Santa Barbara,CA,United States}	{Food,}
181	Thu Aug 19 03:22:07 +0000 2010	4b1448fcf964a52089a023e3	{24 Hour Fitness}	{34.42061784690296,-119.69976100004608,Santa Barbara,CA,United States}	{Shop & Service,}
181	Sun Aug 15 03:49:27 +0000 2010	4a178534f964a52062791fe3	{Joe's Cafe}	{34.41775237982707,-119.69653844833374,Santa Barbara,CA,United States}	{Nightlife Spot,Food,}
181	Sun Aug 15 02:29:50 +0000 2010	4b3c5a1ff964a520fd8325e3	{Blue Agave}	{34.418305,-119.695991,Santa Barbara,CA,United States}	{Nightlife Spot,}
181	Sun Aug 15 02:08:35 +0000 2010	4a178534f964a52062791fe3	{Joe's Cafe}	{34.41775237982707,-119.69653844833374,Santa Barbara,CA,United States}	{Nightlife Spot,Food,}
181	Sun Aug 15 01:30:42 +0000 2010	4a89b981f964a520d30820e3	{Coffee Cat}	{34.42446088746524,-119.70346927642822,Santa Barbara,CA,United States}	{Food,Arts & Entertainment,}
181	Sat Aug 14 19:52:11 +0000 2010	4b46466cf964a520381c26e3	{Plaza Deli}	{34.436707,-119.74833,Santa Barbara,CA,United States}	{Food,}
181	Wed Aug 11 17:25:43 +0000 2010	4b427fc8f964a52020d525e3	{Elite Meetings Int'l}	{34.420029,-119.687081,Santa Barbara,CA,United States}	{Office,Professional & Other Places,}
181	Tue Aug 10 03:00:44 +0000 2010	4af3b26ef964a52027ef21e3	{Goode's Armadillo Palace}	{29.72733271381764,-95.41822222839689,Houston,TX,United States}	{Nightlife Spot,Food,Arts & Entertainment,}
181	Tue Aug 10 00:50:18 +0000 2010	4ae231f4f964a520ab8b21e3	{Churrascos}	{29.742546651745315,-95.4092618306267,Houston,TX,United States}	{Food,}
181	Mon Aug 09 23:27:33 +0000 2010	4ce7d579e1eeb60c6b689fae	{The Houstonian Hotel, Club & Spa}	{29.767561612535424,-95.46054710212736,Houston,TX,United States}	{Travel & Transport,}
181	Mon Aug 09 21:42:24 +0000 2010	44d1efc9f964a52032361fe3	{George Bush International Airport (IAH)}	{29.986460430837823,-95.34201622009277,Houston,TX,United States}	{Travel & Transport,}
181	Fri Aug 06 20:19:52 +0000 2010	4c5c6e2494fd0f47b69fc845	{Victor's Place - Tacuba}	{20.662170445656084,-105.25115847587585,Puerto Vallarta,,Mexico}	{Food,}
181	Fri Jul 30 00:54:46 +0000 2010	4b32a906f964a520341125e3	{Pizza Mizza}	{34.437000281934,-119.7486162185669,Santa Barbara,CA,United States}	{Food,}
181	Mon Jul 26 18:18:01 +0000 2010	49e8d12af964a52094651fe3	{Googleplex - 46}	{37.419166993750586,-122.08217162187539,Mountain View,CA,United States}	{Professional & Other Places,}
181	Fri Jul 23 00:50:33 +0000 2010	4b32a906f964a520341125e3	{Pizza Mizza}	{34.437000281934,-119.7486162185669,Santa Barbara,CA,United States}	{Food,}
181	Thu Jul 22 20:43:06 +0000 2010	4b46466cf964a520381c26e3	{Plaza Deli}	{34.436707,-119.74833,Santa Barbara,CA,United States}	{Food,}
