1934	Tue Jun 21 04:04:46 +0000 2011	4a4a7c3df964a520deab1fe3	{True North Tavern}	{32.74767300771736,-117.12987332809459,San Diego,CA,United States}	{Nightlife Spot,Food,}
===
1934	Fri May 27 19:54:23 +0000 2011	4a67e950f964a5203eca1fe3	{Acqua al 2 Ristorante}	{32.708777785494256,-117.16016886058821,San Diego,CA,United States}	{Food,}
1934	Fri May 20 01:05:44 +0000 2011	4b15503df964a5202eb023e3	{Petco Park}	{32.707559779610634,-117.15702295303345,San Diego,CA,United States}	{Stadium,Arts & Entertainment,}
===
1934	Sat Mar 12 05:51:18 +0000 2011	4a67e950f964a5203eca1fe3	{Acqua al 2 Ristorante}	{32.708777785494256,-117.16016886058821,San Diego,CA,United States}	{Food,}
1934	Tue Mar 01 20:58:59 +0000 2011	4a67e950f964a5203eca1fe3	{Acqua al 2 Ristorante}	{32.708777785494256,-117.16016886058821,San Diego,CA,United States}	{Food,}
===
1934	Wed Dec 08 21:45:09 +0000 2010	4a67e950f964a5203eca1fe3	{Acqua al 2 Ristorante}	{32.708777785494256,-117.16016886058821,San Diego,CA,United States}	{Food,}
1934	Mon Nov 15 08:54:59 +0000 2010	4a67e950f964a5203eca1fe3	{Acqua al 2 Ristorante}	{32.708777785494256,-117.16016886058821,San Diego,CA,United States}	{Food,}
1934	Sat Nov 13 21:03:35 +0000 2010	4b315d61f964a520800525e3	{Toast Enoteca & Cucina}	{32.709388602459924,-117.15594705523274,San Diego,CA,United States}	{Nightlife Spot,Food,}
1934	Mon Nov 08 10:34:08 +0000 2010	4bbad6f098c7ef3ba68c3302	{The Villa}	{33.18519,-117.3317,San Diego,CA,United States}	{}
1934	Fri Nov 05 23:15:41 +0000 2010	4b315d61f964a520800525e3	{Toast Enoteca & Cucina}	{32.709388602459924,-117.15594705523274,San Diego,CA,United States}	{Nightlife Spot,Food,}
1934	Fri Nov 05 23:15:41 +0000 2010	4b315d61f964a520800525e3	{Toast Enoteca & Cucina}	{32.709388602459924,-117.15594705523274,San Diego,CA,United States}	{Nightlife Spot,Food,}
1934	Fri Nov 05 23:15:30 +0000 2010	4b315d61f964a520800525e3	{Toast Enoteca & Cucina}	{32.709388602459924,-117.15594705523274,San Diego,CA,United States}	{Nightlife Spot,Food,}
1934	Fri Nov 05 23:15:30 +0000 2010	4b315d61f964a520800525e3	{Toast Enoteca & Cucina}	{32.709388602459924,-117.15594705523274,San Diego,CA,United States}	{Nightlife Spot,Food,}
1934	Tue Nov 02 00:33:08 +0000 2010	4bbad6f098c7ef3ba68c3302	{The Villa}	{33.18519,-117.3317,San Diego,CA,United States}	{}
