2130	Mon Jun 27 07:25:51 +0000 2011	3fd66200f964a52075ec1ee3	{1015 Folsom}	{37.77815047916161,-122.40571994143437,San Francisco,CA,United States}	{Nightlife Spot,}
2130	Mon Jun 27 03:58:58 +0000 2011	3fd66200f964a520aeec1ee3	{Ruby Skye}	{37.787429012530836,-122.40986700099887,San Francisco,CA,United States}	{Nightlife Spot,}
2130	Mon Jun 27 02:42:49 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Sun Jun 26 23:08:38 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Sun Jun 26 21:53:20 +0000 2011	4e04df49d22df322e6e38586	{San Francisco Pride 2011}	{37.779383,-122.417797,San Francisco,CA,United States}	{Nightlife Spot,Outdoors & Recreation,Arts & Entertainment,}
2130	Sun Jun 26 21:18:42 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Sun Jun 26 06:44:57 +0000 2011	4c42998ce26920a1716760e7	{Sound Factory}	{37.78546141700256,-122.39347291262119,San Francisco,CA,United States}	{Nightlife Spot,}
2130	Sun Jun 26 06:26:02 +0000 2011	455f77abf964a520903d1fe3	{Montgomery St. BART Station}	{37.78924297213801,-122.40164279937744,San Francisco,CA,United States}	{Travel & Transport,}
2130	Sun Jun 26 05:54:58 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Sun Jun 26 03:40:03 +0000 2011	44f9c96ef964a5206e381fe3	{Castro MUNI Metro Station}	{37.76257059847508,-122.43520259857178,San Francisco,CA,United States}	{Travel & Transport,}
2130	Sun Jun 26 02:29:37 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Sat Jun 25 21:17:37 +0000 2011	464f17daf964a520c5461fe3	{Fitness SF Castro}	{37.763726226183614,-122.43344306945801,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
2130	Sat Jun 25 19:17:17 +0000 2011	432a0b00f964a520dc271fe3	{Squat & Gobble}	{37.76421988420118,-122.43342261000456,San Francisco,CA,United States}	{Food,}
2130	Sat Jun 25 17:27:09 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Sat Jun 25 07:50:38 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Sat Jun 25 06:53:31 +0000 2011	40ca4780f964a52009011fe3	{The Caf?}	{37.76296711864107,-122.43435770273209,San Francisco,CA,United States}	{Nightlife Spot,}
2130	Sat Jun 25 06:12:48 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Sat Jun 25 04:48:00 +0000 2011	4b11e66af964a520b78623e3	{Zapata Mexican Grill}	{37.76090475463922,-122.43600501762936,San Francisco,CA,United States}	{Food,}
2130	Sat Jun 25 02:48:59 +0000 2011	464f17daf964a520c5461fe3	{Fitness SF Castro}	{37.763726226183614,-122.43344306945801,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
2130	Fri Jun 24 22:21:16 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Fri Jun 24 17:01:06 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Fri Jun 24 04:48:37 +0000 2011	464f17daf964a520c5461fe3	{Fitness SF Castro}	{37.763726226183614,-122.43344306945801,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
2130	Thu Jun 23 23:54:06 +0000 2011	4bca29f8cc8cd13a501ebdcf	{ROLO on Market}	{37.76320876957875,-122.4341138388356,San Francisco,CA,United States}	{Shop & Service,Clothing Store,}
2130	Thu Jun 23 23:51:13 +0000 2011	4b240758f964a5206e5f24e3	{Diesel}	{37.76233083818456,-122.43538568797943,San Francisco,CA,United States}	{Shop & Service,Clothing Store,}
