2135	Mon Aug 08 19:10:54 +0000 2011	4ab06de3f964a5205a6720e3	{Venice Canals}	{33.9840968405181,-118.46639156341553,Venice,CA,United States}	{Outdoors & Recreation,}
2135	Mon Aug 08 18:55:20 +0000 2011	4b2c168af964a52054c124e3	{Venice Beach Pier}	{33.97910078299391,-118.46698700070276,Venice Beach,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
2135	Mon Aug 08 18:30:42 +0000 2011	49bc5108f964a5202a541fe3	{The Cow's End Cafe}	{33.97957289717355,-118.46588059952515,Marina del Rey,CA,United States}	{Food,}
2135	Mon Aug 08 00:59:09 +0000 2011	46224ab0f964a52098451fe3	{The Coffee Bean & Tea Leaf?}	{34.08379390350954,-118.35345883625372,Los Angeles,CA,United States}	{Food,}
2135	Fri Aug 05 18:59:27 +0000 2011	4bfb002ed2b720a11e6e326a	{Sami Makolet (Fairfax Grocery)}	{34.080495196209384,-118.3615493432703,Los Angeles,CA,United States}	{Shop & Service,Food & Drink Shop,}
2135	Fri Aug 05 15:24:17 +0000 2011	4ab66dcaf964a5200f7720e3	{Pan Pacific Park}	{34.07356955256767,-118.35434736081477,Los Angeles,CA,United States}	{Outdoors & Recreation,}
2135	Thu Aug 04 18:21:19 +0000 2011	41687b80f964a520861d1fe3	{The Grove}	{34.07219539048036,-118.35753679275513,Los Angeles,CA,United States}	{Outdoors & Recreation,Shop & Service,}
2135	Wed Aug 03 15:02:02 +0000 2011	4ab66dcaf964a5200f7720e3	{Pan Pacific Park}	{34.07356955256767,-118.35434736081477,Los Angeles,CA,United States}	{Outdoors & Recreation,}
2135	Tue Aug 02 14:19:45 +0000 2011	4ab66dcaf964a5200f7720e3	{Pan Pacific Park}	{34.07356955256767,-118.35434736081477,Los Angeles,CA,United States}	{Outdoors & Recreation,}
2135	Fri Jul 29 18:25:40 +0000 2011	4b5b4b5ef964a52054f228e3	{Highland Park Animal Hospital}	{34.120457558644155,-118.20231542098432,Los Angeles,CA,United States}	{Medical Center,Professional & Other Places,}
2135	Thu Jul 28 16:36:24 +0000 2011	46224ab0f964a52098451fe3	{The Coffee Bean & Tea Leaf?}	{34.08379390350954,-118.35345883625372,Los Angeles,CA,United States}	{Food,}
2135	Thu Jul 28 15:49:47 +0000 2011	4ab66dcaf964a5200f7720e3	{Pan Pacific Park}	{34.07356955256767,-118.35434736081477,Los Angeles,CA,United States}	{Outdoors & Recreation,}
2135	Wed Jul 27 15:56:33 +0000 2011	4ab66dcaf964a5200f7720e3	{Pan Pacific Park}	{34.07356955256767,-118.35434736081477,Los Angeles,CA,United States}	{Outdoors & Recreation,}
2135	Fri Jul 22 18:50:47 +0000 2011	4b32618ef964a520180a25e3	{Tina's Nails}	{34.0730881690979,-118.37252497673035,Los Angeles,CA,United States}	{Shop & Service,}
2135	Fri Jul 22 18:50:47 +0000 2011	4b32618ef964a520180a25e3	{Tina's Nails}	{34.0730881690979,-118.37252497673035,Los Angeles,CA,United States}	{Shop & Service,}
2135	Fri Jul 22 15:29:31 +0000 2011	46224ab0f964a52098451fe3	{The Coffee Bean & Tea Leaf?}	{34.08379390350954,-118.35345883625372,Los Angeles,CA,United States}	{Food,}
2135	Wed Jul 20 16:42:31 +0000 2011	4ab66dcaf964a5200f7720e3	{Pan Pacific Park}	{34.07356955256767,-118.35434736081477,Los Angeles,CA,United States}	{Outdoors & Recreation,}
