2213	Thu Aug 11 20:27:41 +0000 2011	4c49036b20ab1b8d9e953216	{Ramen Jinya}	{34.141610260902546,-118.37530374526978,Studio City,CA,United States}	{Food,}
2213	Wed Aug 10 04:42:13 +0000 2011	4b206c27f964a5201c3224e3	{Nomura Sushi}	{34.15127214989863,-118.45220395944968,Sherman Oaks,CA,United States}	{Food,}
2213	Mon Aug 08 16:27:20 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Mon Aug 08 01:28:19 +0000 2011	4c58d61804f9be9aa414ee60	{Tony's New York Pizza}	{34.216534,-119.034723,Camarillo,CA,United States}	{Food,}
2213	Sun Aug 07 03:05:56 +0000 2011	4ba523f9f964a520cfe238e3	{Boba Loca}	{33.8215168827836,-118.32895535279398,Torrance,CA,United States}	{Food,}
2213	Fri Aug 05 15:24:08 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Thu Aug 04 16:48:43 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Wed Aug 03 03:34:58 +0000 2011	4b3c0500f964a5207b8025e3	{YMCA West Valley}	{34.19335448292976,-118.54310274124146,Reseda,CA,United States}	{Shop & Service,Gym / Fitness Center,}
2213	Mon Aug 01 16:24:04 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Sun Jul 31 02:54:04 +0000 2011	4c9e96cbd3c2b60ca4fcccbc	{Omega Sushi}	{34.271379,-118.67774,Simi Valley,CA,United States}	{Food,}
2213	Fri Jul 29 16:09:11 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Fri Jul 29 05:04:34 +0000 2011	4a42e270f964a52056a61fe3	{BJ's Restaurant & Brewhouse}	{34.18718439230971,-118.5967093706131,Woodland Hills,CA,United States}	{Nightlife Spot,Food,}
2213	Thu Jul 28 16:14:13 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Tue Jul 26 19:25:30 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Mon Jul 25 16:20:45 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Sat Jul 23 15:04:45 +0000 2011	4bcb6356937ca5930c7aa992	{Zuma Beach}	{34.015352594294775,-118.82190227508545,Malibu,CA,United States}	{Outdoors & Recreation,Beach,}
2213	Fri Jul 22 16:13:10 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Thu Jul 21 16:23:20 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Wed Jul 20 16:25:26 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Tue Jul 19 16:11:20 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Mon Jul 18 16:26:24 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Sat Jul 16 20:54:44 +0000 2011	4b75b8e1f964a520bf1f2ee3	{Dewar's Candy Shop}	{35.368145,-119.019981,Bakersfield,CA,United States}	{Food,}
2213	Sat Jul 16 20:00:52 +0000 2011	4bc77d5d8b7c9c74308e36cf	{Fabious' Corner Best Bbq}	{35.36539893,-119.019225,Bakersfield,CA,United States}	{Food,}
2213	Sat Jul 16 16:51:45 +0000 2011	4dc5afde7d8b14fb46319435	{River's End Rafting Adventure Co.}	{35.42491,-118.818716,Bakersfield,CA,United States}	{Outdoors & Recreation,}
2213	Thu Jul 14 20:38:15 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Wed Jul 13 16:09:17 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Tue Jul 12 16:19:00 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Mon Jul 11 17:39:38 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Sun Jul 10 04:18:40 +0000 2011	4548b1f6f964a5208b3c1fe3	{Bodega Wine Bar, Santa Monica}	{34.01836726786792,-118.48935127258301,Santa Monica,CA,United States}	{Nightlife Spot,Food,}
2213	Sat Jul 09 22:28:40 +0000 2011	4abc344af964a520be8620e3	{Barnes & Noble}	{34.18161073295922,-118.60398888587952,Woodland Hills,CA,United States}	{Shop & Service,}
2213	Sat Jul 09 21:17:49 +0000 2011	4b527f90f964a520f77f27e3	{Firehouse Restaurant}	{34.186407216666666,-118.53533753333333,Tarzana,CA,United States}	{Food,}
2213	Sat Jul 09 03:05:12 +0000 2011	4c9e96cbd3c2b60ca4fcccbc	{Omega Sushi}	{34.271379,-118.67774,Simi Valley,CA,United States}	{Food,}
2213	Fri Jul 08 16:03:46 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Thu Jul 07 16:13:31 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Wed Jul 06 16:30:01 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Tue Jul 05 16:43:54 +0000 2011	439ec330f964a520102c1fe3	{Los Angeles International Airport (LAX)}	{33.94389397698472,-118.40502262115479,Los Angeles,CA,United States}	{Travel & Transport,}
2213	Tue Jul 05 12:51:03 +0000 2011	45f555cef964a5200e441fe3	{Seattle-Tacoma International Airport (SEA)}	{47.44364658280913,-122.30259418487549,Seatac,WA,United States}	{Travel & Transport,}
2213	Sun Jul 03 18:17:34 +0000 2011	4c258c15136d20a14ae8e361	{Boom City}	{48.087800881879765,-122.19541486801049,Marysville,WA,United States}	{Shop & Service,}
2213	Sat Jul 02 04:22:19 +0000 2011	45f555cef964a5200e441fe3	{Seattle-Tacoma International Airport (SEA)}	{47.44364658280913,-122.30259418487549,Seatac,WA,United States}	{Travel & Transport,}
2213	Sat Jul 02 00:28:00 +0000 2011	439ec330f964a520102c1fe3	{Los Angeles International Airport (LAX)}	{33.94389397698472,-118.40502262115479,Los Angeles,CA,United States}	{Travel & Transport,}
2213	Fri Jul 01 18:18:37 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
