2405	Fri Aug 12 02:30:23 +0000 2011	454cf014f964a520c53c1fe3	{Century San Francisco Centre 9 & XD}	{37.78436333183897,-122.40622401237488,San Francisco,CA,United States}	{Arts & Entertainment,Movie Theater,}
2405	Thu Aug 11 23:53:38 +0000 2011	4a469839f964a52029a91fe3	{Tony??s Pizza Napoletana}	{37.80033571161636,-122.40923226332067,San Francisco,CA,United States}	{Nightlife Spot,Food,}
2405	Thu Aug 11 05:25:12 +0000 2011	49d01698f964a520fd5a1fe3	{Golden Gate Bridge}	{37.81700118722001,-122.47821718454361,San Francisco,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
2405	Thu Aug 11 00:38:47 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Wed Aug 10 19:14:21 +0000 2011	4c80640051ada1cd10b90910	{Fire, Brimstone, Doom & Gloom}	{37.785153,-122.466125,San Francisco,CA,United States}	{Nightlife Spot,}
2405	Mon Aug 08 15:20:40 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Mon Aug 08 14:29:49 +0000 2011	49d01698f964a520fd5a1fe3	{Golden Gate Bridge}	{37.81700118722001,-122.47821718454361,San Francisco,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
2405	Mon Aug 08 05:24:19 +0000 2011	49d01698f964a520fd5a1fe3	{Golden Gate Bridge}	{37.81700118722001,-122.47821718454361,San Francisco,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
2405	Mon Aug 08 03:22:11 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Sat Aug 06 19:07:13 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Thu Aug 04 18:14:55 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Thu Aug 04 18:00:45 +0000 2011	49d01698f964a520fd5a1fe3	{Golden Gate Bridge}	{37.81700118722001,-122.47821718454361,San Francisco,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
2405	Wed Aug 03 19:20:20 +0000 2011	4c80640051ada1cd10b90910	{Fire, Brimstone, Doom & Gloom}	{37.785153,-122.466125,San Francisco,CA,United States}	{Nightlife Spot,}
2405	Tue Aug 02 21:24:20 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Tue Aug 02 14:31:55 +0000 2011	49d01698f964a520fd5a1fe3	{Golden Gate Bridge}	{37.81700118722001,-122.47821718454361,San Francisco,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
2405	Tue Aug 02 14:24:13 +0000 2011	4e2ad9c88877b69d49d952d8	{28 Stop (California And Park Presidio)}	{37.78437078081743,-122.4726274301405,San Francisco,CA,United States}	{Travel & Transport,Bus Station,}
2405	Mon Aug 01 18:12:06 +0000 2011	49d01698f964a520fd5a1fe3	{Golden Gate Bridge}	{37.81700118722001,-122.47821718454361,San Francisco,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
2405	Sun Jul 31 19:48:36 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Sun Jul 31 04:45:00 +0000 2011	4e2ceb8b62e144b5d3bc4f9b	{Muni Outbound Stop}	{37.787199,-122.447041,San Francisco,CA,United States}	{Travel & Transport,Bus Station,}
2405	Sat Jul 30 18:39:57 +0000 2011	49d01698f964a520fd5a1fe3	{Golden Gate Bridge}	{37.81700118722001,-122.47821718454361,San Francisco,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
2405	Sat Jul 30 18:28:15 +0000 2011	4e2ad9c88877b69d49d952d8	{28 Stop (California And Park Presidio)}	{37.78437078081743,-122.4726274301405,San Francisco,CA,United States}	{Travel & Transport,Bus Station,}
2405	Sat Jul 30 00:24:51 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Fri Jul 29 18:43:48 +0000 2011	49d01698f964a520fd5a1fe3	{Golden Gate Bridge}	{37.81700118722001,-122.47821718454361,San Francisco,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
2405	Fri Jul 29 18:28:34 +0000 2011	4e2ad9c88877b69d49d952d8	{28 Stop (California And Park Presidio)}	{37.78437078081743,-122.4726274301405,San Francisco,CA,United States}	{Travel & Transport,Bus Station,}
2405	Fri Jul 29 02:29:13 +0000 2011	4bae44cef964a520039b3be3	{Muni 1 Outbound Bus Stop}	{37.78985343443333,-122.43412971496582,San Francisco,CA,United States}	{Travel & Transport,}
2405	Thu Jul 28 19:56:17 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Thu Jul 28 16:10:42 +0000 2011	49d01698f964a520fd5a1fe3	{Golden Gate Bridge}	{37.81700118722001,-122.47821718454361,San Francisco,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
2405	Thu Jul 28 16:02:19 +0000 2011	4e2ad9c88877b69d49d952d8	{28 Stop (California And Park Presidio)}	{37.78437078081743,-122.4726274301405,San Francisco,CA,United States}	{Travel & Transport,Bus Station,}
2405	Thu Jul 28 06:06:52 +0000 2011	4c80640051ada1cd10b90910	{Fire, Brimstone, Doom & Gloom}	{37.785153,-122.466125,San Francisco,CA,United States}	{Nightlife Spot,}
2405	Thu Jul 28 05:27:00 +0000 2011	4bbe20b58ca376b00a59c77a	{SF MUNI - 22 Fillmore}	{37.78794572301522,-122.43370056152344,San Francisco,CA,United States}	{Travel & Transport,Bus Station,}
2405	Wed Jul 27 18:38:47 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Wed Jul 27 18:19:38 +0000 2011	49d01698f964a520fd5a1fe3	{Golden Gate Bridge}	{37.81700118722001,-122.47821718454361,San Francisco,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
2405	Wed Jul 27 18:12:10 +0000 2011	4e2ad9c88877b69d49d952d8	{28 Stop (California And Park Presidio)}	{37.78437078081743,-122.4726274301405,San Francisco,CA,United States}	{Travel & Transport,Bus Station,}
2405	Wed Jul 27 16:52:01 +0000 2011	4c80640051ada1cd10b90910	{Fire, Brimstone, Doom & Gloom}	{37.785153,-122.466125,San Francisco,CA,United States}	{Nightlife Spot,}
2405	Wed Jul 27 05:19:37 +0000 2011	4c80640051ada1cd10b90910	{Fire, Brimstone, Doom & Gloom}	{37.785153,-122.466125,San Francisco,CA,United States}	{Nightlife Spot,}
2405	Tue Jul 26 22:24:37 +0000 2011	473b4138f964a5205a4c1fe3	{Toy Boat Dessert Cafe}	{37.78285825179079,-122.46352672576904,San Francisco,CA,United States}	{Food,}
2405	Tue Jul 26 21:40:25 +0000 2011	4c815d4c47cc224bca957b9f	{William Chan, D.D.S., Michael Chan, D.D.S.}	{37.783092,-122.46157,San Francisco,CA,United States}	{Medical Center,Professional & Other Places,}
2405	Tue Jul 26 19:37:21 +0000 2011	4c82f252d92ea09323185072	{City of San Francisco}	{37.7738356083287,-122.41962432861328,San Francisco,CA,United States}	{Outdoors & Recreation,}
2405	Tue Jul 26 19:36:15 +0000 2011	4e2ad9c88877b69d49d952d8	{28 Stop (California And Park Presidio)}	{37.78437078081743,-122.4726274301405,San Francisco,CA,United States}	{Travel & Transport,Bus Station,}
2405	Tue Jul 26 18:18:54 +0000 2011	4afca794f964a520ca2422e3	{Dr Ronald Yee, DDS}	{37.78524935245514,-122.462481,San Francisco,CA,United States}	{Medical Center,Professional & Other Places,}
2405	Mon Jul 25 04:05:38 +0000 2011	4e2ceb8b62e144b5d3bc4f9b	{Muni Outbound Stop}	{37.787199,-122.447041,San Francisco,CA,United States}	{Travel & Transport,Bus Station,}
2405	Sun Jul 24 17:23:42 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Sun Jul 24 17:13:21 +0000 2011	49d01698f964a520fd5a1fe3	{Golden Gate Bridge}	{37.81700118722001,-122.47821718454361,San Francisco,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
2405	Sun Jul 24 17:06:53 +0000 2011	4e2ad9c88877b69d49d952d8	{28 Stop (California And Park Presidio)}	{37.78437078081743,-122.4726274301405,San Francisco,CA,United States}	{Travel & Transport,Bus Station,}
2405	Sat Jul 23 14:43:08 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Sat Jul 23 14:29:25 +0000 2011	49d01698f964a520fd5a1fe3	{Golden Gate Bridge}	{37.81700118722001,-122.47821718454361,San Francisco,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
2405	Sat Jul 23 14:25:19 +0000 2011	4e2ad9c88877b69d49d952d8	{28 Stop (California And Park Presidio)}	{37.78437078081743,-122.4726274301405,San Francisco,CA,United States}	{Travel & Transport,Bus Station,}
2405	Sat Jul 23 02:39:57 +0000 2011	4bd2177d046076b055357371	{AT&T Park}	{37.77833858778822,-122.38940119743347,San Francisco,CA,United States}	{Stadium,Arts & Entertainment,}
2405	Thu Jul 21 19:28:21 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Wed Jul 20 23:00:31 +0000 2011	4a5824e5f964a5206db71fe3	{AMC Loews Metreon 16}	{37.7844481241691,-122.40364372730255,San Francisco,CA,United States}	{Shop & Service,Arts & Entertainment,Movie Theater,}
