2589	Thu May 12 15:41:44 +0000 2011	4c5756a112f0d13a77f706ad	{Skinit Inc #105}	{32.88616464945613,-117.1551371479318,San Diego,CA,United States}	{Office,Professional & Other Places,}
===
2589	Sat Jun 26 19:51:59 +0000 2010	4b84a5f9f964a520aa3f31e3	{pacific auto care}	{32.87807695,-117.17113583333334,San Diego,CA,United States}	{Shop & Service,}
2589	Tue Jun 22 22:09:45 +0000 2010	4b84a5f9f964a520aa3f31e3	{pacific auto care}	{32.87807695,-117.17113583333334,San Diego,CA,United States}	{Shop & Service,}
2589	Tue Jun 15 01:11:43 +0000 2010	4bead36462c0c928964ce1d4	{SDMODS}	{32.79359553,-116.966584688161,El Cajon,CA,United States}	{Shop & Service,}
2589	Sun Jun 13 23:40:45 +0000 2010	4bead36462c0c928964ce1d4	{SDMODS}	{32.79359553,-116.966584688161,El Cajon,CA,United States}	{Shop & Service,}
2589	Sun Jun 13 00:11:55 +0000 2010	4b98641cf964a520b53f35e3	{Thuan Phat Supermarket}	{32.784635,-117.17018723487854,San Diego,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
2589	Sat Jun 12 21:49:14 +0000 2010	4a823b66f964a520f5f81fe3	{99 Ranch Market}	{32.83348735228044,-117.16067432260601,San Diego,CA,United States}	{Shop & Service,Food,Arts & Entertainment,Food & Drink Shop,}
2589	Sat Jun 12 20:07:29 +0000 2010	4c113684b93cc9b6ed0058e0	{Care Medical Transportation}	{32.896488904953,-117.11833477020264,San Diego,CA,United States}	{Professional & Other Places,}
2589	Sat Jun 12 19:26:24 +0000 2010	4c113684b93cc9b6ed0058e0	{Care Medical Transportation}	{32.896488904953,-117.11833477020264,San Diego,CA,United States}	{Professional & Other Places,}
2589	Sat Jun 12 16:56:45 +0000 2010	4b67132bf964a520a1382be3	{Kearny Pearson Ford}	{32.832060190436984,-117.16117978337573,San Diego,CA,United States}	{Shop & Service,}
2589	Sat Jun 12 16:17:33 +0000 2010	4c113684b93cc9b6ed0058e0	{Care Medical Transportation}	{32.896488904953,-117.11833477020264,San Diego,CA,United States}	{Professional & Other Places,}
2589	Sat Jun 12 16:16:25 +0000 2010	4c113684b93cc9b6ed0058e0	{Care Medical Transportation}	{32.896488904953,-117.11833477020264,San Diego,CA,United States}	{Professional & Other Places,}
2589	Sat Jun 12 16:16:24 +0000 2010	4c113684b93cc9b6ed0058e0	{Care Medical Transportation}	{32.896488904953,-117.11833477020264,San Diego,CA,United States}	{Professional & Other Places,}
2589	Fri Jun 11 20:29:49 +0000 2010	4bd47c5b7b1876b0b7188986	{Napa Auto Parts}	{32.83498740440955,-117.1586467231114,San Diego,CA,United States}	{Shop & Service,}
2589	Fri Jun 11 18:34:25 +0000 2010	4c113684b93cc9b6ed0058e0	{Care Medical Transportation}	{32.896488904953,-117.11833477020264,San Diego,CA,United States}	{Professional & Other Places,}
2589	Fri Jun 11 18:34:24 +0000 2010	4c113684b93cc9b6ed0058e0	{Care Medical Transportation}	{32.896488904953,-117.11833477020264,San Diego,CA,United States}	{Professional & Other Places,}
2589	Fri Jun 11 12:41:12 +0000 2010	4c113684b93cc9b6ed0058e0	{Care Medical Transportation}	{32.896488904953,-117.11833477020264,San Diego,CA,United States}	{Professional & Other Places,}
2589	Thu Jun 10 23:50:48 +0000 2010	4a859600f964a52090fe1fe3	{The Art Institute of California - San Diego}	{32.77835238705894,-117.15515438003536,San Diego,CA,United States}	{College Academic Building,College & University,}
2589	Thu Jun 10 20:55:41 +0000 2010	4b6e1e7cf964a520daab2ce3	{The Original Sab-E-Lee}	{32.786857369852186,-117.17075049877167,San Diego,CA,United States}	{Food,}
2589	Thu Jun 10 20:54:04 +0000 2010	4b4a2acef964a5201d7d26e3	{Pho Hoa}	{32.78398361666667,-117.17053643333334,San Diego,CA,United States}	{Food,}
2589	Thu Jun 10 20:46:10 +0000 2010	4b6e1e7cf964a520daab2ce3	{The Original Sab-E-Lee}	{32.786857369852186,-117.17075049877167,San Diego,CA,United States}	{Food,}
