2827	Tue Aug 09 03:24:28 +0000 2011	4bc62a22db8fa593ecdf9b37	{Gate K5}	{41.97633772983207,-87.89963722229004,Chicago,IL,United States}	{Travel & Transport,Airport,}
2827	Sat Aug 06 20:56:25 +0000 2011	4e3c0365091a0fc67ea2d5c5	{Lollapalooza 2011 - Music Unlimited Stage}	{41.8707991723052,-87.6189923286438,Chicago,IL,United States}	{Arts & Entertainment,}
2827	Fri Aug 05 19:05:54 +0000 2011	4e3c0330091a0fc67ea2d591	{Lollapalooza 2011 - Sony Stage}	{41.872365045576714,-87.61846661567688,Chicago,IL,United States}	{Arts & Entertainment,}
===
2827	Sun Jul 03 20:54:48 +0000 2011	4b8c669ef964a520e2ce32e3	{SunCafe}	{34.135041908918346,-118.36156075662737,Studio City,CA,United States}	{Food,}
2827	Thu Jun 30 01:24:48 +0000 2011	4b8c669ef964a520e2ce32e3	{SunCafe}	{34.135041908918346,-118.36156075662737,Studio City,CA,United States}	{Food,}
2827	Mon Jun 27 00:23:11 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Sat Jun 25 01:35:52 +0000 2011	4b8c669ef964a520e2ce32e3	{SunCafe}	{34.135041908918346,-118.36156075662737,Studio City,CA,United States}	{Food,}
2827	Fri Jun 24 23:16:28 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Thu Jun 23 21:01:41 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Wed Jun 22 21:24:31 +0000 2011	4b8c669ef964a520e2ce32e3	{SunCafe}	{34.135041908918346,-118.36156075662737,Studio City,CA,United States}	{Food,}
2827	Sun Jun 19 01:28:47 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Fri Jun 10 01:46:55 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Mon Jun 06 00:42:40 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Mon May 30 22:08:42 +0000 2011	4ae38b25f964a520789621e3	{LA Fitness}	{34.132269909594264,-118.35197791457176,Los Angeles,CA,United States}	{Shop & Service,}
2827	Sun May 29 01:00:02 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Fri May 27 21:57:38 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Mon May 23 01:40:26 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sun May 22 23:35:45 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Sat May 21 00:33:17 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
