2865	Fri Aug 05 20:18:30 +0000 2011	4df13a9822718759f815f5dd	{City of Camarillo}	{34.21635356032538,-119.03772354125975,Camarillo,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
2865	Thu Aug 04 04:56:26 +0000 2011	4dfdd2dad22d879302f9f511	{Casa De MonterCalascibetCharris}	{34.16730502341621,-118.3987841518733,Valley Village,CA,United States}	{Residence,}
2865	Thu Aug 04 02:26:42 +0000 2011	4bb66ad41344b7137b799d04	{Joseph Lamar Salon}	{34.175412423520356,-118.323607078038,Burbank,CA,United States}	{Shop & Service,}
2865	Tue Aug 02 03:02:22 +0000 2011	3fd66200f964a52080ee1ee3	{The Roxy}	{34.09074855448929,-118.38794066203201,West Hollywood,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2865	Sun Jul 31 02:24:47 +0000 2011	4c1f4c13b306c928c82d68b7	{Los Angeles Memorial Coliseum}	{34.01400974062912,-118.28789591789246,Los Angeles,CA,United States}	{College & University,Arts & Entertainment,College Stadium,}
2865	Fri Jul 29 02:54:19 +0000 2011	44d20162f964a52035361fe3	{Fantasia Billiards}	{34.181169173343385,-118.30957889556885,Burbank,CA,United States}	{Nightlife Spot,Arts & Entertainment,}
2865	Wed Jul 27 02:27:13 +0000 2011	44d20162f964a52035361fe3	{Fantasia Billiards}	{34.181169173343385,-118.30957889556885,Burbank,CA,United States}	{Nightlife Spot,Arts & Entertainment,}
2865	Mon Jul 25 06:03:14 +0000 2011	4c8448fc51ada1cdf5172e10	{Flappers Comedy Club and Restaurant}	{34.181671,-118.312737,Burbank,CA,United States}	{Arts & Entertainment,}
2865	Mon Jul 25 02:30:44 +0000 2011	4a70c311f964a52058d81fe3	{Kabuki Japanese Restaurant}	{34.181604328446234,-118.30996450286723,Burbank,CA,United States}	{Food,}
2865	Sun Jul 24 00:52:39 +0000 2011	4dfdd2dad22d879302f9f511	{Casa De MonterCalascibetCharris}	{34.16730502341621,-118.3987841518733,Valley Village,CA,United States}	{Residence,}
2865	Sat Jul 23 04:44:04 +0000 2011	44d20162f964a52035361fe3	{Fantasia Billiards}	{34.181169173343385,-118.30957889556885,Burbank,CA,United States}	{Nightlife Spot,Arts & Entertainment,}
