2993	Wed Jun 23 04:25:43 +0000 2010	4a3fe506f964a5200da41fe3	{BOA Steakhouse}	{34.090180852691354,-118.39245915412903,West Hollywood,CA,United States}	{Food,}
2993	Wed Jun 02 01:47:31 +0000 2010	4adcda17f964a5206f3821e3	{Idealab}	{34.14657942907549,-118.15310514297481,Pasadena,CA,United States}	{Office,Professional & Other Places,}
===
2993	Wed Apr 14 04:15:00 +0000 2010	4adcda17f964a5206f3821e3	{Idealab}	{34.14657942907549,-118.15310514297481,Pasadena,CA,United States}	{Office,Professional & Other Places,}
2993	Sun Apr 11 01:34:03 +0000 2010	4a495c67f964a5203dab1fe3	{Bahooka Ribs & Grog}	{34.08731657130079,-118.07358177507687,Rosemead,CA,United States}	{Nightlife Spot,Food,}
2993	Thu Apr 01 22:50:12 +0000 2010	4a3c6ba7f964a52083a11fe3	{Sushi Roku}	{34.146294200730495,-118.15176576375961,Pasadena,CA,United States}	{Food,}
2993	Tue Mar 30 22:01:39 +0000 2010	4adcda17f964a5206f3821e3	{Idealab}	{34.14657942907549,-118.15310514297481,Pasadena,CA,United States}	{Office,Professional & Other Places,}
===
2993	Sat Feb 27 04:02:33 +0000 2010	4b08edd6f964a520661323e3	{The Counter}	{34.14320860131048,-118.1316089630127,Pasadena,CA,United States}	{Food,}
2993	Mon Feb 15 19:45:29 +0000 2010	4adcda17f964a5206f3821e3	{Idealab}	{34.14657942907549,-118.15310514297481,Pasadena,CA,United States}	{Office,Professional & Other Places,}
2993	Sun Feb 14 01:40:45 +0000 2010	4a79bc6bf964a5207fe71fe3	{Jones Coffee Roasters}	{34.13393780607093,-118.14941883087158,Pasadena,CA,United States}	{Food,}
2993	Sat Feb 13 18:13:35 +0000 2010	4f446a12e4b0a28181a78abf	{TED Conference 2012}	{33.76541460953708,-118.18921156668158,Long Beach,CA,United States}	{Arts & Entertainment,}
2993	Fri Feb 12 23:11:26 +0000 2010	4f446a12e4b0a28181a78abf	{TED Conference 2012}	{33.76541460953708,-118.18921156668158,Long Beach,CA,United States}	{Arts & Entertainment,}
2993	Fri Feb 12 01:12:21 +0000 2010	4f446a12e4b0a28181a78abf	{TED Conference 2012}	{33.76541460953708,-118.18921156668158,Long Beach,CA,United States}	{Arts & Entertainment,}
2993	Thu Feb 11 22:47:28 +0000 2010	4f446a12e4b0a28181a78abf	{TED Conference 2012}	{33.76541460953708,-118.18921156668158,Long Beach,CA,United States}	{Arts & Entertainment,}
2993	Thu Feb 11 02:17:21 +0000 2010	4adcda17f964a5206f3821e3	{Idealab}	{34.14657942907549,-118.15310514297481,Pasadena,CA,United States}	{Office,Professional & Other Places,}
2993	Sun Feb 07 21:00:39 +0000 2010	4a79bc6bf964a5207fe71fe3	{Jones Coffee Roasters}	{34.13393780607093,-118.14941883087158,Pasadena,CA,United States}	{Food,}
2993	Sun Jan 31 03:43:01 +0000 2010	4b08edd6f964a520661323e3	{The Counter}	{34.14320860131048,-118.1316089630127,Pasadena,CA,United States}	{Food,}
2993	Fri Jan 29 20:11:09 +0000 2010	4adcda17f964a5206f3821e3	{Idealab}	{34.14657942907549,-118.15310514297481,Pasadena,CA,United States}	{Office,Professional & Other Places,}
2993	Thu Jan 28 17:05:10 +0000 2010	4a79bc6bf964a5207fe71fe3	{Jones Coffee Roasters}	{34.13393780607093,-118.14941883087158,Pasadena,CA,United States}	{Food,}
2993	Thu Jan 28 01:57:11 +0000 2010	4adcda17f964a5206f3821e3	{Idealab}	{34.14657942907549,-118.15310514297481,Pasadena,CA,United States}	{Office,Professional & Other Places,}
2993	Wed Jan 27 22:06:47 +0000 2010	4a79bc6bf964a5207fe71fe3	{Jones Coffee Roasters}	{34.13393780607093,-118.14941883087158,Pasadena,CA,United States}	{Food,}
2993	Wed Jan 27 00:04:10 +0000 2010	4a79bc6bf964a5207fe71fe3	{Jones Coffee Roasters}	{34.13393780607093,-118.14941883087158,Pasadena,CA,United States}	{Food,}
2993	Tue Jan 26 21:10:00 +0000 2010	4adcda17f964a5206f3821e3	{Idealab}	{34.14657942907549,-118.15310514297481,Pasadena,CA,United States}	{Office,Professional & Other Places,}
2993	Mon Jan 25 16:05:32 +0000 2010	4a79bc6bf964a5207fe71fe3	{Jones Coffee Roasters}	{34.13393780607093,-118.14941883087158,Pasadena,CA,United States}	{Food,}
2993	Sun Jan 24 20:07:32 +0000 2010	4a79bc6bf964a5207fe71fe3	{Jones Coffee Roasters}	{34.13393780607093,-118.14941883087158,Pasadena,CA,United States}	{Food,}
2993	Sun Jan 24 05:08:09 +0000 2010	4adcda17f964a5206f3821e3	{Idealab}	{34.14657942907549,-118.15310514297481,Pasadena,CA,United States}	{Office,Professional & Other Places,}
2993	Sun Jan 24 02:38:33 +0000 2010	49d4fe05f964a5205d5c1fe3	{Gus's BBQ}	{34.1164029,-118.150047,South Pasadena,CA,United States}	{Food,}
2993	Fri Jan 22 18:40:03 +0000 2010	4a79bc6bf964a5207fe71fe3	{Jones Coffee Roasters}	{34.13393780607093,-118.14941883087158,Pasadena,CA,United States}	{Food,}
2993	Fri Jan 22 04:52:02 +0000 2010	4adcda17f964a5206f3821e3	{Idealab}	{34.14657942907549,-118.15310514297481,Pasadena,CA,United States}	{Office,Professional & Other Places,}
2993	Fri Jan 22 03:10:25 +0000 2010	4a3c6ba7f964a52083a11fe3	{Sushi Roku}	{34.146294200730495,-118.15176576375961,Pasadena,CA,United States}	{Food,}
2993	Thu Jan 21 17:42:45 +0000 2010	4a79bc6bf964a5207fe71fe3	{Jones Coffee Roasters}	{34.13393780607093,-118.14941883087158,Pasadena,CA,United States}	{Food,}
2993	Wed Jan 20 18:50:23 +0000 2010	4adcda17f964a5206f3821e3	{Idealab}	{34.14657942907549,-118.15310514297481,Pasadena,CA,United States}	{Office,Professional & Other Places,}
2993	Wed Jan 20 18:35:54 +0000 2010	4a79bc6bf964a5207fe71fe3	{Jones Coffee Roasters}	{34.13393780607093,-118.14941883087158,Pasadena,CA,United States}	{Food,}
2993	Wed Jan 20 05:22:46 +0000 2010	4adcda17f964a5206f3821e3	{Idealab}	{34.14657942907549,-118.15310514297481,Pasadena,CA,United States}	{Office,Professional & Other Places,}
2993	Tue Jan 19 23:50:18 +0000 2010	4a79bc6bf964a5207fe71fe3	{Jones Coffee Roasters}	{34.13393780607093,-118.14941883087158,Pasadena,CA,United States}	{Food,}
