3281	Sun Mar 27 19:12:40 +0000 2011	4cf90e0a01568cfaa4fb23e7	{?? Sailor}	{25.068870873048564,121.52772539056775,???,???,Taiwan}	{Nightlife Spot,}
3281	Sun Mar 20 02:39:25 +0000 2011	4bea591ca9900f4743711640	{The West House}	{38.74936538,-121.28433,Roseville,CA,United States}	{Nightlife Spot,}
3281	Sat Mar 19 01:14:39 +0000 2011	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Wed Mar 09 01:33:55 +0000 2011	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Sat Feb 26 03:36:26 +0000 2011	4f384859e4b0a1f197c570fd	{Hyatt Place San Jose}	{37.330045252129466,-121.89115555996152,San Jose,CA,United States}	{Travel & Transport,}
3281	Sat Feb 19 01:26:49 +0000 2011	4b75e38cf964a520542c2ee3	{Reliable Pontiac Cadillac Buick GMC}	{38.75047691,-121.25416386666667,Roseville,CA,United States}	{Shop & Service,}
3281	Sun Feb 06 08:13:58 +0000 2011	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Sat Feb 05 02:43:10 +0000 2011	4d4385e3e198721ec032b28b	{Lucky Derby Casino}	{38.67886239583835,-121.29114296310885,Sacramento,CA,United States}	{Arts & Entertainment,}
3281	Sat Feb 05 00:37:24 +0000 2011	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Thu Jan 27 19:50:47 +0000 2011	4bf735924a67c928f05023cf	{Gate A15}	{38.69429439232118,-121.58737778663635,Sacramento,CA,United States}	{Travel & Transport,Airport,}
3281	Sat Jan 08 23:25:41 +0000 2011	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Fri Dec 24 02:28:00 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Sat Dec 11 03:03:00 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Sun Nov 21 21:39:29 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Fri Nov 19 02:59:47 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Wed Nov 10 03:02:39 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
