3368	Fri Jun 21 23:31:35 +0000 2013	4cbf5f80020d4688c2016238	{24 Hour Fitness}	{37.78953,-122.402069,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
===
3368	Wed Mar 16 16:24:30 +0000 2011	41059b00f964a520850b1fe3	{San Francisco International Airport (SFO)}	{37.61642405271961,-122.38627910614014,San Francisco,CA,United States}	{Travel & Transport,}
3368	Sat Mar 05 17:51:57 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Wed Mar 02 01:24:25 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Tue Mar 01 01:54:25 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Feb 27 20:56:28 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Feb 27 01:14:52 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Wed Feb 23 02:20:28 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Mon Feb 21 19:01:52 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Feb 20 21:10:09 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Feb 19 19:55:13 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
