3426	Sat Apr 09 04:00:27 +0000 2011	45811496f964a5205b3f1fe3	{Urban Mo's}	{32.74840280695911,-117.16234004087612,San Diego,CA,United States}	{Nightlife Spot,Food,}
===
3426	Mon Jan 03 08:50:27 +0000 2011	40e0b100f964a5205d021fe3	{The Lamplighter}	{32.74972706557623,-117.1710991859436,San Diego,CA,United States}	{Nightlife Spot,}
3426	Sun Dec 12 08:47:48 +0000 2010	4d0360a654d0236a6092e8d5	{619Apps.com Custom iPhone App Development For Your Business}	{32.745983,-117.171398,San Diego,CA,United States}	{Office,Professional & Other Places,}
3426	Sun Dec 12 08:47:48 +0000 2010	4d0360a654d0236a6092e8d5	{619Apps.com Custom iPhone App Development For Your Business}	{32.745983,-117.171398,San Diego,CA,United States}	{Office,Professional & Other Places,}
3426	Sat Dec 11 11:30:10 +0000 2010	4d0360a654d0236a6092e8d5	{619Apps.com Custom iPhone App Development For Your Business}	{32.745983,-117.171398,San Diego,CA,United States}	{Office,Professional & Other Places,}
3426	Mon Dec 06 02:39:11 +0000 2010	4cddff98aba88cfa9ed73ed7	{Haus der Freundschaft}	{32.74978895207101,-117.16765014532275,,CA,United States}	{Residence,}
3426	Mon Dec 06 02:39:11 +0000 2010	4cddff98aba88cfa9ed73ed7	{Haus der Freundschaft}	{32.74978895207101,-117.16765014532275,,CA,United States}	{Residence,}
3426	Sat Dec 04 03:40:25 +0000 2010	4ac2b176f964a520619a20e3	{Fiesta Cantina}	{32.74840432666809,-117.16293165479225,San Diego,CA,United States}	{Nightlife Spot,Food,}
3426	Thu Dec 02 23:20:52 +0000 2010	4b71a179f964a5204c522de3	{Starbucks}	{32.74244488629657,-117.03028321266174,Lemon Grove,CA,United States}	{Food,}
3426	Wed Dec 01 04:03:26 +0000 2010	4bd3b66f462cb713272fdf07	{Martinis Above Fourth}	{32.749075,-117.161713,San Diego,CA,United States}	{Nightlife Spot,Food,}
3426	Sun Nov 14 00:18:04 +0000 2010	4ac2b176f964a520619a20e3	{Fiesta Cantina}	{32.74840432666809,-117.16293165479225,San Diego,CA,United States}	{Nightlife Spot,Food,}
3426	Sat Nov 13 03:06:28 +0000 2010	4cddff98aba88cfa9ed73ed7	{Haus der Freundschaft}	{32.74978895207101,-117.16765014532275,,CA,United States}	{Residence,}
3426	Sat Nov 13 03:03:05 +0000 2010	4cddff98aba88cfa9ed73ed7	{Haus der Freundschaft}	{32.74978895207101,-117.16765014532275,,CA,United States}	{Residence,}
3426	Sat Nov 13 02:45:41 +0000 2010	49dc615af964a520775f1fe3	{24 Hour Fitness}	{32.74927,-117.16044,San Diego,CA,United States}	{Shop & Service,}
===
3426	Wed Sep 29 21:07:01 +0000 2010	4c9f944f19e4236a95385a89	{Serenity Cafe}	{32.718284153401186,-117.12890820928146,San Diego,CA,United States}	{Food,}
3426	Wed Sep 29 21:06:59 +0000 2010	4c9f944f19e4236a95385a89	{Serenity Cafe}	{32.718284153401186,-117.12890820928146,San Diego,CA,United States}	{Food,}
3426	Wed Sep 29 06:20:05 +0000 2010	4ca0775746978cfa0b75b37f	{Ambien Suites}	{32.741089,-117.131479,San Diego,CA,United States}	{Travel & Transport,Hotel,}
3426	Wed Sep 29 06:20:05 +0000 2010	4ca0775746978cfa0b75b37f	{Ambien Suites}	{32.741089,-117.131479,San Diego,CA,United States}	{Travel & Transport,Hotel,}
3426	Wed Sep 29 04:28:40 +0000 2010	4c9ef45f46978cfa3401a77f	{RockBar & Cineplex}	{32.74108,-117.131489,San Diego,CA,United States}	{Arts & Entertainment,Movie Theater,}
3426	Tue Sep 28 05:16:43 +0000 2010	4c9ef45f46978cfa3401a77f	{RockBar & Cineplex}	{32.74108,-117.131489,San Diego,CA,United States}	{Arts & Entertainment,Movie Theater,}
3426	Tue Sep 28 05:16:42 +0000 2010	4c9ef45f46978cfa3401a77f	{RockBar & Cineplex}	{32.74108,-117.131489,San Diego,CA,United States}	{Arts & Entertainment,Movie Theater,}
3426	Mon Sep 27 22:24:17 +0000 2010	4ca1197103133704fb9180d5	{Wii Rock Lounge}	{32.741087,-117.131498,San Diego,CA,United States}	{Shop & Service,}
3426	Mon Sep 27 10:52:47 +0000 2010	4ca0775746978cfa0b75b37f	{Ambien Suites}	{32.741089,-117.131479,San Diego,CA,United States}	{Travel & Transport,Hotel,}
3426	Sun Sep 26 18:44:17 +0000 2010	4c9f944f19e4236a95385a89	{Serenity Cafe}	{32.718284153401186,-117.12890820928146,San Diego,CA,United States}	{Food,}
3426	Sun Sep 26 07:22:00 +0000 2010	4c9ef45f46978cfa3401a77f	{RockBar & Cineplex}	{32.74108,-117.131489,San Diego,CA,United States}	{Arts & Entertainment,Movie Theater,}
