3673	Mon Dec 12 01:32:40 +0000 2011	4a566cf7f964a52021b51fe3	{Golden Eagle Market}	{37.75857177290017,-122.42139449919512,San Francisco,CA,United States}	{Shop & Service,Food & Drink Shop,}
===
3673	Fri Aug 12 03:24:57 +0000 2011	454cf014f964a520c53c1fe3	{Century San Francisco Centre 9 & XD}	{37.78436333183897,-122.40622401237488,San Francisco,CA,United States}	{Arts & Entertainment,Movie Theater,}
3673	Thu Aug 11 23:01:41 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Thu Aug 11 18:39:17 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Thu Aug 11 17:17:46 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Wed Aug 10 18:47:25 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Tue Aug 09 16:34:47 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Tue Aug 09 00:40:20 +0000 2011	4b009259f964a520933f22e3	{La Boulange de Noe}	{37.75165334669796,-122.42964565521723,San Francisco,CA,United States}	{Food,}
3673	Mon Aug 08 17:48:31 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Mon Aug 08 06:31:35 +0000 2011	4baeb88cf964a52015d23be3	{Denny's}	{40.179077,-122.229347,Red Bluff,CA,United States}	{Food,}
3673	Sun Aug 07 17:46:31 +0000 2011	4e3584938877beb5e9ac4a61	{Meditation Cushion}	{47.254223249321065,-122.45048835874434,Tacoma,WA,United States}	{Residence,}
3673	Sat Aug 06 17:13:35 +0000 2011	4e3584938877beb5e9ac4a61	{Meditation Cushion}	{47.254223249321065,-122.45048835874434,Tacoma,WA,United States}	{Residence,}
3673	Fri Aug 05 23:22:10 +0000 2011	4e3584938877beb5e9ac4a61	{Meditation Cushion}	{47.254223249321065,-122.45048835874434,Tacoma,WA,United States}	{Residence,}
3673	Fri Aug 05 15:52:07 +0000 2011	4b5b480ff964a52029f128e3	{Tacoma General Hospital}	{47.25913854299105,-122.45231896276567,Tacoma,WA,United States}	{Medical Center,Professional & Other Places,}
3673	Tue Aug 02 13:35:58 +0000 2011	4e3584938877beb5e9ac4a61	{Meditation Cushion}	{47.254223249321065,-122.45048835874434,Tacoma,WA,United States}	{Residence,}
3673	Sun Jul 31 23:47:42 +0000 2011	4a3db727f964a520a1a21fe3	{Gateway to India}	{47.25549101829529,-122.470345,Tacoma,WA,United States}	{Food,}
3673	Sat Jul 30 15:25:14 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Sat Jul 30 03:31:44 +0000 2011	40e4a580f964a520f5091fe3	{Great American Music Hall}	{37.784919196285855,-122.41892787488793,San Francisco,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
3673	Fri Jul 29 21:29:34 +0000 2011	459ac90cf964a52088401fe3	{Trader Joe's}	{37.77097,-122.407654,San Francisco,CA,United States}	{Shop & Service,Food & Drink Shop,}
3673	Thu Jul 28 18:49:52 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Thu Jul 28 17:08:24 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Thu Jul 28 16:14:50 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Wed Jul 27 18:37:37 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Wed Jul 27 16:40:17 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Tue Jul 26 16:51:18 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Mon Jul 25 17:53:41 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Sun Jul 24 18:37:34 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Sun Jul 24 18:37:34 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Sun Jul 24 17:33:06 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Sun Jul 24 04:43:57 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Sat Jul 23 19:15:36 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Thu Jul 21 18:55:45 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Thu Jul 21 18:01:36 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Thu Jul 21 18:01:36 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Thu Jul 21 17:10:30 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Wed Jul 20 16:40:31 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Wed Jul 20 03:16:11 +0000 2011	40a2ba80f964a520fcf21ee3	{Edinburgh Castle}	{37.786141,-122.41893793,San Francisco,CA,United States}	{Nightlife Spot,}
3673	Tue Jul 19 18:05:42 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Tue Jul 19 17:17:09 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Sun Jul 17 17:36:07 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Sat Jul 16 17:26:30 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Fri Jul 15 18:12:19 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Fri Jul 15 18:12:19 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Mon Jul 11 16:10:10 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Sat Jul 09 16:04:16 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Wed Jul 06 19:47:10 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Wed Jul 06 18:07:28 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Tue Jul 05 15:02:00 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Thu Jun 30 17:16:20 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Tue Jun 28 16:49:59 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Thu Jun 23 17:17:10 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Tue Jun 21 22:55:24 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Fri Jun 17 17:37:03 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Thu Jun 16 22:48:29 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Thu Jun 16 19:11:37 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Thu Jun 16 17:21:33 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Wed Jun 15 15:44:06 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Wed Jun 15 00:04:35 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Tue Jun 14 22:44:46 +0000 2011	4dc40348ae608779d116106c	{Cumaica Coffee}	{37.77528151015912,-122.41596311330795,San Francisco,CA,United States}	{Food,}
3673	Tue Jun 14 16:28:06 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
