3973	Wed Jul 27 02:36:34 +0000 2011	4c840629d8086dcb14898552	{Great Khans Mongolian BBQ}	{33.558048,-117.66860632000001,Mission Viejo,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
3973	Tue Jul 26 02:39:16 +0000 2011	4e08be8cb61c60b0454d161a	{Andrea Way}	{33.53294085451341,-117.7197434702224,Laguna Niguel,CA,United States}	{Residence,}
3973	Mon Jul 25 05:31:06 +0000 2011	4a78953cf964a520f2e51fe3	{US Post Office}	{33.52798011260739,-117.71487951278687,Laguna Niguel,CA,United States}	{Professional & Other Places,}
3973	Sat Jul 23 23:28:31 +0000 2011	4cc5d627bde8f04dcb90b34b	{H&M}	{33.5581666424095,-117.66879379749298,Mission Viejo,CA,United States}	{Shop & Service,Clothing Store,}
3973	Thu Jul 21 19:47:22 +0000 2011	4b550d24f964a52052d927e3	{YMCA - South Coast}	{33.532332731366765,-117.70867488165786,Laguna Niguel,CA,United States}	{Shop & Service,}
3973	Thu Jul 21 16:59:15 +0000 2011	4b550d24f964a52052d927e3	{YMCA - South Coast}	{33.532332731366765,-117.70867488165786,Laguna Niguel,CA,United States}	{Shop & Service,}
3973	Thu Jul 21 16:58:55 +0000 2011	4e08be8cb61c60b0454d161a	{Andrea Way}	{33.53294085451341,-117.7197434702224,Laguna Niguel,CA,United States}	{Residence,}
3973	Thu Jul 21 16:58:32 +0000 2011	4e231e35ae6015b212b6d39d	{Aliso Creek Presbyterian Church}	{33.529541,-117.714392,Laguna Niguel,CA,United States}	{Spiritual Center,Professional & Other Places,}
3973	Thu Jul 21 06:15:58 +0000 2011	4cd41c77558a3704304dc5a6	{1000 Steps Laguna}	{33.52982109934342,-117.76120257399234,,CA,United States}	{Outdoors & Recreation,}
3973	Thu Jul 21 01:33:00 +0000 2011	4b550d24f964a52052d927e3	{YMCA - South Coast}	{33.532332731366765,-117.70867488165786,Laguna Niguel,CA,United States}	{Shop & Service,}
3973	Thu Jul 21 00:04:07 +0000 2011	4b550d24f964a52052d927e3	{YMCA - South Coast}	{33.532332731366765,-117.70867488165786,Laguna Niguel,CA,United States}	{Shop & Service,}
3973	Wed Jul 20 20:31:45 +0000 2011	4b550d24f964a52052d927e3	{YMCA - South Coast}	{33.532332731366765,-117.70867488165786,Laguna Niguel,CA,United States}	{Shop & Service,}
3973	Wed Jul 20 00:30:35 +0000 2011	4cc5d627bde8f04dcb90b34b	{H&M}	{33.5581666424095,-117.66879379749298,Mission Viejo,CA,United States}	{Shop & Service,Clothing Store,}
