399	Fri Aug 12 02:25:51 +0000 2011	4b2830dff964a5208c9024e3	{Westminster Mall}	{33.74710908,-118.0117893,Westminster,CA,United States}	{Shop & Service,Food,}
399	Fri Aug 12 00:10:59 +0000 2011	4e399fbe483b6aaecd64f66c	{Sbarro}	{33.61611969705164,-117.87467699287623,Newport Beach,CA,United States}	{Food,}
399	Thu Aug 11 17:06:18 +0000 2011	4e399fbe483b6aaecd64f66c	{Sbarro}	{33.61611969705164,-117.87467699287623,Newport Beach,CA,United States}	{Food,}
399	Thu Aug 11 17:05:56 +0000 2011	4ba14e5df964a520f5aa37e3	{Teuscher}	{33.614369118684145,-117.87570476531982,Newport Beach,CA,United States}	{Shop & Service,Food,}
399	Thu Aug 11 17:05:24 +0000 2011	4a8449d5f964a52030fc1fe3	{Apple Store, Fashion Island}	{33.615091232578,-117.875252942446,Newport Beach,CA,United States}	{Shop & Service,}
399	Wed Aug 10 23:20:59 +0000 2011	4e399fbe483b6aaecd64f66c	{Sbarro}	{33.61611969705164,-117.87467699287623,Newport Beach,CA,United States}	{Food,}
399	Wed Aug 10 23:20:43 +0000 2011	4e399fbe483b6aaecd64f66c	{Sbarro}	{33.61611969705164,-117.87467699287623,Newport Beach,CA,United States}	{Food,}
399	Tue Aug 09 18:47:16 +0000 2011	4a8449d5f964a52030fc1fe3	{Apple Store, Fashion Island}	{33.615091232578,-117.875252942446,Newport Beach,CA,United States}	{Shop & Service,}
399	Tue Aug 09 18:46:45 +0000 2011	4e399fbe483b6aaecd64f66c	{Sbarro}	{33.61611969705164,-117.87467699287623,Newport Beach,CA,United States}	{Food,}
399	Tue Aug 09 18:46:09 +0000 2011	4e399fbe483b6aaecd64f66c	{Sbarro}	{33.61611969705164,-117.87467699287623,Newport Beach,CA,United States}	{Food,}
399	Tue Aug 09 02:16:14 +0000 2011	4afeef9bf964a520db3122e3	{The Home Depot}	{33.84909341710017,-118.1346339799954,Lakewood,CA,United States}	{Shop & Service,}
399	Tue Aug 09 01:19:11 +0000 2011	4ba14e5df964a520f5aa37e3	{Teuscher}	{33.614369118684145,-117.87570476531982,Newport Beach,CA,United States}	{Shop & Service,Food,}
399	Tue Aug 09 01:18:23 +0000 2011	4b24002bf964a520c85e24e3	{Stew Leonard's}	{41.122522175606655,-73.40266863712239,Norwalk,CT,United States}	{Shop & Service,Food & Drink Shop,}
399	Mon Aug 08 20:14:13 +0000 2011	4d5863fc7c0b37049039e208	{Hana Grill}	{33.616117,-117.874662,Newport Beach,CA,United States}	{Food,}
399	Mon Aug 08 20:13:38 +0000 2011	4a8449d5f964a52030fc1fe3	{Apple Store, Fashion Island}	{33.615091232578,-117.875252942446,Newport Beach,CA,United States}	{Shop & Service,}
399	Mon Aug 08 20:12:49 +0000 2011	4e399fbe483b6aaecd64f66c	{Sbarro}	{33.61611969705164,-117.87467699287623,Newport Beach,CA,United States}	{Food,}
399	Mon Aug 08 02:00:37 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Sun Aug 07 19:34:10 +0000 2011	4a8449d5f964a52030fc1fe3	{Apple Store, Fashion Island}	{33.615091232578,-117.875252942446,Newport Beach,CA,United States}	{Shop & Service,}
399	Sun Aug 07 19:33:43 +0000 2011	4e399fbe483b6aaecd64f66c	{Sbarro}	{33.61611969705164,-117.87467699287623,Newport Beach,CA,United States}	{Food,}
399	Sun Aug 07 07:57:57 +0000 2011	4bbd6f7f8a4fb7137d0e3d9d	{Long Beach Playhouse}	{33.78278566244588,-118.13517093658447,Long Beach,CA,United States}	{Performing Arts Venue,Arts & Entertainment,}
399	Sat Aug 06 03:10:21 +0000 2011	4b27e602f964a520e48b24e3	{Alberto's}	{33.72705488333333,-117.850999,Santa Ana,CA,United States}	{Food,}
399	Fri Aug 05 20:46:22 +0000 2011	4b4a4693f964a520e98126e3	{OC Fair & Event Center}	{33.66585383619394,-117.9023551940918,Costa Mesa,CA,United States}	{Arts & Entertainment,Professional & Other Places,}
399	Thu Aug 04 20:47:13 +0000 2011	4a8449d5f964a52030fc1fe3	{Apple Store, Fashion Island}	{33.615091232578,-117.875252942446,Newport Beach,CA,United States}	{Shop & Service,}
399	Thu Aug 04 20:31:27 +0000 2011	4e399fbe483b6aaecd64f66c	{Sbarro}	{33.61611969705164,-117.87467699287623,Newport Beach,CA,United States}	{Food,}
399	Thu Aug 04 03:22:36 +0000 2011	4abfb83bf964a520d09120e3	{Don The Beachcomber}	{33.725450614094484,-118.07917714118958,Huntington Beach,CA,United States}	{Nightlife Spot,Food,Arts & Entertainment,}
399	Thu Aug 04 00:49:33 +0000 2011	4a8449d5f964a52030fc1fe3	{Apple Store, Fashion Island}	{33.615091232578,-117.875252942446,Newport Beach,CA,United States}	{Shop & Service,}
399	Wed Aug 03 19:57:04 +0000 2011	4e399fbe483b6aaecd64f66c	{Sbarro}	{33.61611969705164,-117.87467699287623,Newport Beach,CA,United States}	{Food,}
399	Wed Aug 03 08:05:13 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Wed Aug 03 05:23:21 +0000 2011	4db5a2180cb6729b6aa945b8	{Trader Sam's Enchanted Tiki Bar}	{33.80817833533797,-117.92651653289795,Anaheim,CA,United States}	{Nightlife Spot,}
399	Wed Aug 03 02:09:45 +0000 2011	4b155044f964a5203db023e3	{Angel Stadium of Anaheim}	{33.80002327603627,-117.88301914930344,Anaheim,CA,United States}	{Stadium,Arts & Entertainment,}
399	Tue Aug 02 05:08:35 +0000 2011	4acb75d8f964a520d3c320e3	{Hof's Hut}	{33.7951652,-118.1255089,Long Beach,CA,United States}	{Food,}
399	Tue Aug 02 04:41:59 +0000 2011	4a08820df964a520d8731fe3	{Joe Jost's}	{33.78272992937198,-118.1587153673172,Long Beach,CA,United States}	{Nightlife Spot,Food,}
399	Mon Aug 01 23:44:21 +0000 2011	4e399fbe483b6aaecd64f66c	{Sbarro}	{33.61611969705164,-117.87467699287623,Newport Beach,CA,United States}	{Food,}
