929	Fri Feb 11 18:11:55 +0000 2011	4ac8c403f964a52082bc20e3	{Peg's Glorified Ham n Eggs}	{39.520982141235784,-119.81228018230519,Reno,NV,United States}	{Food,}
929	Sat Feb 05 02:21:34 +0000 2011	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Mon Jan 31 21:02:01 +0000 2011	45c4b366f964a52048421fe3	{Alpine Meadows Ski Resort}	{39.164540334297,-120.23853778839111,Alpine Meadows,CA,United States}	{Outdoors & Recreation,Ski Area,}
929	Sat Jan 29 01:53:45 +0000 2011	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Wed Jan 26 09:14:14 +0000 2011	4b776788f964a5203c982ee3	{3rd Street Bar}	{39.528219429921684,-119.8160051400094,Reno,NV,United States}	{Nightlife Spot,}
929	Wed Jan 26 04:16:31 +0000 2011	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Wed Jan 26 03:00:41 +0000 2011	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Wed Jan 26 01:01:14 +0000 2011	4b776788f964a5203c982ee3	{3rd Street Bar}	{39.528219429921684,-119.8160051400094,Reno,NV,United States}	{Nightlife Spot,}
929	Wed Jan 26 01:01:12 +0000 2011	4b776788f964a5203c982ee3	{3rd Street Bar}	{39.528219429921684,-119.8160051400094,Reno,NV,United States}	{Nightlife Spot,}
929	Mon Jan 24 04:06:51 +0000 2011	4b776788f964a5203c982ee3	{3rd Street Bar}	{39.528219429921684,-119.8160051400094,Reno,NV,United States}	{Nightlife Spot,}
929	Mon Jan 24 02:12:08 +0000 2011	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Sat Jan 22 05:25:38 +0000 2011	4b776788f964a5203c982ee3	{3rd Street Bar}	{39.528219429921684,-119.8160051400094,Reno,NV,United States}	{Nightlife Spot,}
929	Sun Jan 09 03:11:17 +0000 2011	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Sat Jan 08 01:44:06 +0000 2011	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Tue Jan 04 19:07:51 +0000 2011	4b4d458ef964a520cfcf26e3	{Mt. Rose - Ski Tahoe}	{39.328405363363565,-119.88534450531006,Reno,NV,United States}	{Outdoors & Recreation,Ski Area,}
929	Sat Jan 01 04:25:19 +0000 2011	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Fri Dec 31 01:04:19 +0000 2010	4b64af95f964a5205dc82ae3	{Century Sparks 14}	{39.53608631913849,-119.75874423980713,Sparks,NV,United States}	{Arts & Entertainment,Movie Theater,}
929	Thu Dec 30 03:22:08 +0000 2010	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Fri Dec 24 00:00:26 +0000 2010	4ad4bffef964a520a8ea20e3	{Crabby Jacks}	{29.587323531606884,-98.47409434464801,San Antonio,TX,United States}	{Nightlife Spot,Food,Arts & Entertainment,}
929	Thu Dec 23 05:03:20 +0000 2010	4d1262d0ffa36ea8618ff8da	{Morlan HQ}	{29.628958,-98.457069,,,United States}	{}
929	Thu Dec 23 02:30:23 +0000 2010	4ad4c000f964a520d7eb20e3	{Rivercenter Mall}	{29.42341339038633,-98.48449230194092,San Antonio,TX,United States}	{Shop & Service,Arts & Entertainment,}
929	Wed Dec 22 20:45:45 +0000 2010	4d1262d0ffa36ea8618ff8da	{Morlan HQ}	{29.628958,-98.457069,,,United States}	{}
929	Wed Dec 22 00:19:56 +0000 2010	4d114413e8aff04d0d5a701a	{Myers Pub}	{29.402217,-98.346061,,,United States}	{}
929	Sun Dec 19 07:01:17 +0000 2010	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Sat Dec 18 06:23:49 +0000 2010	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Thu Dec 16 19:40:16 +0000 2010	4b69992cf964a52005a92be3	{Department of Motor Vehicles (DMV)}	{39.53214515121403,-119.78193981662018,Reno,NV,United States}	{Professional & Other Places,}
929	Thu Dec 16 02:47:56 +0000 2010	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Sun Dec 12 01:59:02 +0000 2010	4b776788f964a5203c982ee3	{3rd Street Bar}	{39.528219429921684,-119.8160051400094,Reno,NV,United States}	{Nightlife Spot,}
929	Sat Dec 11 03:38:29 +0000 2010	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Fri Dec 10 04:34:01 +0000 2010	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Fri Dec 10 04:34:01 +0000 2010	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
