1094	Sat May 28 21:04:37 +0000 2011	4de1633b18385df2b00a2373	{Bear Gallery}	{64.838418,-147.773841,Fairbanks,AK,United States}	{Arts & Entertainment,}
1094	Mon May 23 02:50:37 +0000 2011	4b50f952f964a520643b27e3	{Fred Meyer}	{64.83532731025596,-147.8175687789917,Fairbanks,AK,United States}	{Shop & Service,Food & Drink Shop,}
1094	Sun May 22 15:48:52 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sun May 22 03:50:03 +0000 2011	4cf1993d6c29236a7db466a2	{The Manor}	{64.892071,-147.780346,,AK,United States}	{Shop & Service,}
1094	Sat May 21 04:07:53 +0000 2011	4b527a82f964a5202d7f27e3	{Barnes & Noble}	{64.85703429042596,-147.6995086669922,Fairbanks,AK,United States}	{Shop & Service,}
1094	Fri May 20 23:09:22 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Fri May 20 19:52:15 +0000 2011	4b57c7e3f964a520c54028e3	{Big Daddy's BBQ & Banquet}	{64.84377995,-147.725781,Fairbanks,AK,United States}	{Food,}
1094	Fri May 20 17:47:06 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Fri May 20 06:37:31 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Fri May 20 02:00:25 +0000 2011	4dd5cb16c65bee535a8ae745	{Bible Baptist Church}	{64.84929338423626,-147.69069979215303,Fairbanks,AK,United States}	{Spiritual Center,Professional & Other Places,}
1094	Fri May 20 01:19:00 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Thu May 19 21:44:36 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Thu May 19 21:29:23 +0000 2011	4b9c506bf964a520a75e36e3	{Bruegger's}	{64.85148,-147.704904,Fairbanks,AK,United States}	{Food,}
1094	Thu May 19 16:22:43 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Thu May 19 15:11:29 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Thu May 19 03:58:12 +0000 2011	4cc3d289306e224becb7996c	{The Cabin}	{64.9016933154827,-147.75719536416668,Fairbanks,AK,United States}	{Arts & Entertainment,}
1094	Wed May 18 21:30:07 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Wed May 18 18:31:41 +0000 2011	4cc0a642d363721e374155c9	{Holistic Medical Clinic}	{64.846422,-147.70606,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Tue May 17 17:24:28 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Tue May 17 06:14:22 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Tue May 17 00:32:22 +0000 2011	4b69deaef964a5204ab92be3	{Denali State Bank}	{64.84597253292651,-147.72118369174117,Fairbanks,AK,United States}	{Shop & Service,Professional & Other Places,}
1094	Mon May 16 18:37:33 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Mon May 16 15:55:06 +0000 2011	4b931e00f964a520103634e3	{Alaska Coffee Roasting Company}	{64.848295,-147.8232,Fairbanks,AK,United States}	{Food,}
1094	Sun May 15 01:04:39 +0000 2011	4b527a82f964a5202d7f27e3	{Barnes & Noble}	{64.85703429042596,-147.6995086669922,Fairbanks,AK,United States}	{Shop & Service,}
1094	Sat May 14 04:52:20 +0000 2011	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Fri May 13 15:30:39 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Thu May 12 18:46:46 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Thu May 12 16:06:15 +0000 2011	4d8a2198f607a093f2a9f886	{Espresso Yourself}	{64.859465,-147.734759,,,United States}	{}
1094	Thu May 12 15:16:48 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Thu May 12 02:54:44 +0000 2011	4cc3d289306e224becb7996c	{The Cabin}	{64.9016933154827,-147.75719536416668,Fairbanks,AK,United States}	{Arts & Entertainment,}
1094	Thu May 12 02:39:49 +0000 2011	4b96e461f964a520dceb34e3	{College Coffeehouse}	{64.85538869036745,-147.81108718041978,Fairbanks,AK,United States}	{Food,}
1094	Thu May 12 02:23:45 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Wed May 11 23:59:44 +0000 2011	4b74a3d3f964a52094e92de3	{West Valley High School}	{64.85123166874662,-147.8242982926605,Fairbanks,AK,United States}	{School,Professional & Other Places,}
1094	Wed May 11 20:37:17 +0000 2011	4bef936dc80dc9288e2428e3	{Gallo's Mexican Restaurant}	{64.8538084244404,-147.71227430466482,Fairbanks,AK,United States}	{Food,}
1094	Wed May 11 18:37:26 +0000 2011	4cc0a642d363721e374155c9	{Holistic Medical Clinic}	{64.846422,-147.70606,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Wed May 11 18:01:29 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Wed May 11 05:10:40 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Tue May 10 17:08:45 +0000 2011	4d0faacdb765224b3413e632	{North Pole Chiropractic}	{64.760566,-147.350896,,,United States}	{}
1094	Tue May 10 16:06:40 +0000 2011	4d8a2198f607a093f2a9f886	{Espresso Yourself}	{64.859465,-147.734759,,,United States}	{}
1094	Tue May 10 15:57:44 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Tue May 10 04:29:56 +0000 2011	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Mon May 09 18:19:25 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Sat May 07 21:54:52 +0000 2011	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Sat May 07 06:22:10 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sat May 07 02:39:33 +0000 2011	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Fri May 06 17:23:37 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Wed May 04 21:11:49 +0000 2011	4beaf594a9900f472e2e1740	{Eielson AFB}	{64.67846416357872,-147.09062576293945,Eielson Afb,AK,United States}	{Professional & Other Places,}
1094	Wed May 04 06:19:25 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Tue May 03 18:37:24 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Tue May 03 15:59:47 +0000 2011	4d8a2198f607a093f2a9f886	{Espresso Yourself}	{64.859465,-147.734759,,,United States}	{}
1094	Tue May 03 15:59:47 +0000 2011	4d8a2198f607a093f2a9f886	{Espresso Yourself}	{64.859465,-147.734759,,,United States}	{}
1094	Tue May 03 13:51:46 +0000 2011	4c64146486b6be9ac6109034	{Hamme Swimming Pool}	{64.836123,-147.735532,Fairbanks,AK,United States}	{Outdoors & Recreation,}
1094	Tue May 03 06:39:18 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Mon May 02 16:20:51 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Mon May 02 13:52:52 +0000 2011	4c64146486b6be9ac6109034	{Hamme Swimming Pool}	{64.836123,-147.735532,Fairbanks,AK,United States}	{Outdoors & Recreation,}
1094	Mon May 02 13:52:51 +0000 2011	4c64146486b6be9ac6109034	{Hamme Swimming Pool}	{64.836123,-147.735532,Fairbanks,AK,United States}	{Outdoors & Recreation,}
1094	Mon May 02 03:04:10 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Mon May 02 00:28:40 +0000 2011	4b44e630f964a52078ff25e3	{Fairbanks International Airport (FAI)}	{64.81783955113315,-147.86782264709473,Fairbanks,AK,United States}	{Travel & Transport,Spiritual Center,Professional & Other Places,}
1094	Sun May 01 20:28:31 +0000 2011	45f555cef964a5200e441fe3	{Seattle-Tacoma International Airport (SEA)}	{47.44364658280913,-122.30259418487549,Seatac,WA,United States}	{Travel & Transport,}
1094	Sun May 01 16:05:16 +0000 2011	439ec330f964a520102c1fe3	{Los Angeles International Airport (LAX)}	{33.94389397698472,-118.40502262115479,Los Angeles,CA,United States}	{Travel & Transport,}
1094	Sun May 01 06:46:25 +0000 2011	4dba24a66e815ab0de4c086b	{Da Place}	{33.980134046315726,-118.32866140184572,Los Angeles,CA,United States}	{Residence,}
1094	Sun May 01 05:01:48 +0000 2011	4ada0df0f964a520d91d21e3	{In-N-Out Burger}	{34.42547885340834,-118.53921212968179,Santa Clarita,CA,United States}	{Food,}
1094	Sat Apr 30 16:58:58 +0000 2011	4a179fb5f964a5206b791fe3	{Six Flags Magic Mountain}	{34.42369099064766,-118.5944690274224,Valencia,CA,United States}	{Arts & Entertainment,Theme Park,}
1094	Sat Apr 30 06:46:11 +0000 2011	4dba24a66e815ab0de4c086b	{Da Place}	{33.980134046315726,-118.32866140184572,Los Angeles,CA,United States}	{Residence,}
1094	Sat Apr 30 04:08:22 +0000 2011	4b429890f964a52041d725e3	{Bob's Big Boy Broiler}	{33.9476857,-118.14714,Downey,CA,United States}	{Food,}
1094	Fri Apr 29 04:45:03 +0000 2011	4dba24a66e815ab0de4c086b	{Da Place}	{33.980134046315726,-118.32866140184572,Los Angeles,CA,United States}	{Residence,}
1094	Thu Apr 28 22:37:31 +0000 2011	49cd516af964a520de591fe3	{Little Dom's}	{34.110934028445094,-118.28739166259766,Los Angeles,CA,United States}	{Food,}
1094	Thu Apr 28 07:44:26 +0000 2011	4d58a811d1a08cfa025213ba	{Castle Mode}	{34.098607413120824,-118.22342287072155,Los Angeles,CA,United States}	{Residence,}
1094	Thu Apr 28 03:11:19 +0000 2011	3fd66200f964a520e6ee1ee3	{Red Lion Tavern}	{34.099189607176854,-118.25902064593302,Los Angeles,CA,United States}	{Nightlife Spot,Food,}
