1152	Wed Mar 09 19:52:58 +0000 2011	4b883cb4f964a5208ee931e3	{San Diego Blenders}	{32.780247823969965,-117.10341709673794,San Diego,CA,United States}	{Food,}
1152	Tue Mar 01 21:36:43 +0000 2011	4c59a73c04f9be9a0ed7ef60	{Tropifruit 100% Natural Juice Bar}	{32.805076033333336,-116.97169743333333,El Cajon,CA,United States}	{Food,}
1152	Mon Feb 28 15:47:56 +0000 2011	4b8ac3c3f964a5207b7f32e3	{Einstein Bros Bagels}	{32.80257043931297,-117.01263427734375,San Diego,CA,United States}	{Food,}
1152	Sat Feb 26 02:09:04 +0000 2011	4c89b5893dc2a1cd5de7a632	{Carmen's Home}	{32.8090386658118,-117.00290154246726,El Cajon,CA,United States}	{Residence,}
1152	Tue Feb 22 16:12:03 +0000 2011	4b95e537f964a5200fb734e3	{McDonald's}	{32.584321069333676,-117.03974169245532,San Diego,CA,United States}	{Food,}
1152	Tue Feb 22 04:55:13 +0000 2011	4c89b5893dc2a1cd5de7a632	{Carmen's Home}	{32.8090386658118,-117.00290154246726,El Cajon,CA,United States}	{Residence,}
1152	Mon Feb 21 05:47:10 +0000 2011	4b10c794f964a520ab7523e3	{Taco Fiesta}	{32.787829230127365,-117.09746181964874,San Diego,CA,United States}	{Food,}
1152	Sun Feb 20 05:09:45 +0000 2011	4b7b0d9bf964a520ad4e2fe3	{New York giant pizza}	{32.7920752,-117.00323402,La Mesa,CA,United States}	{Food,}
1152	Fri Feb 18 15:24:24 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Thu Feb 17 15:38:13 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Thu Feb 17 02:42:14 +0000 2011	4b7b0d9bf964a520ad4e2fe3	{New York giant pizza}	{32.7920752,-117.00323402,La Mesa,CA,United States}	{Food,}
1152	Wed Feb 16 19:28:18 +0000 2011	4a82120cf964a52077f81fe3	{VONS}	{32.792374,-117.096765,San Diego,CA,United States}	{Shop & Service,Food & Drink Shop,}
1152	Wed Feb 16 14:41:47 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Wed Feb 16 14:23:08 +0000 2011	4b8ac3c3f964a5207b7f32e3	{Einstein Bros Bagels}	{32.80257043931297,-117.01263427734375,San Diego,CA,United States}	{Food,}
1152	Wed Feb 16 04:28:06 +0000 2011	4b2ed5f2f964a52048e724e3	{Albertsons}	{32.8015706927674,-117.01273368656821,San Diego,CA,United States}	{Shop & Service,Food & Drink Shop,}
1152	Wed Feb 16 01:34:20 +0000 2011	4c89b5893dc2a1cd5de7a632	{Carmen's Home}	{32.8090386658118,-117.00290154246726,El Cajon,CA,United States}	{Residence,}
1152	Tue Feb 15 16:11:58 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Tue Feb 15 15:48:57 +0000 2011	4b8ac3c3f964a5207b7f32e3	{Einstein Bros Bagels}	{32.80257043931297,-117.01263427734375,San Diego,CA,United States}	{Food,}
1152	Tue Feb 15 13:46:17 +0000 2011	4c89b5893dc2a1cd5de7a632	{Carmen's Home}	{32.8090386658118,-117.00290154246726,El Cajon,CA,United States}	{Residence,}
1152	Sun Feb 13 17:11:09 +0000 2011	4c9196de2626a1cd5ecb336b	{Carmen's house National City}	{32.69307576188059,-117.09705962767988,National City,CA,United States}	{Residence,}
1152	Fri Feb 11 16:10:49 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Thu Feb 10 16:34:02 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Thu Feb 10 04:10:48 +0000 2011	4c59a73c04f9be9a0ed7ef60	{Tropifruit 100% Natural Juice Bar}	{32.805076033333336,-116.97169743333333,El Cajon,CA,United States}	{Food,}
1152	Wed Feb 09 20:34:52 +0000 2011	4c293a59e19720a1e439f958	{Kaiser Permanente}	{32.79420130379319,-116.98139190673828,El Cajon,CA,United States}	{Medical Center,Professional & Other Places,}
1152	Wed Feb 09 14:55:13 +0000 2011	4b8ac3c3f964a5207b7f32e3	{Einstein Bros Bagels}	{32.80257043931297,-117.01263427734375,San Diego,CA,United States}	{Food,}
1152	Tue Feb 08 16:10:07 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Mon Feb 07 17:45:19 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Sun Feb 06 00:19:25 +0000 2011	4c89b5893dc2a1cd5de7a632	{Carmen's Home}	{32.8090386658118,-117.00290154246726,El Cajon,CA,United States}	{Residence,}
1152	Sun Feb 06 00:19:05 +0000 2011	4cc9b61546b43704d36b4ae1	{SUBWAY}	{32.80153355,-117.0111728,La Mesa,CA,United States}	{Food,}
1152	Sun Feb 06 00:15:29 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Sat Feb 05 14:57:10 +0000 2011	4b8ac3c3f964a5207b7f32e3	{Einstein Bros Bagels}	{32.80257043931297,-117.01263427734375,San Diego,CA,United States}	{Food,}
1152	Fri Feb 04 16:21:18 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Fri Feb 04 16:19:39 +0000 2011	4b8ac3c3f964a5207b7f32e3	{Einstein Bros Bagels}	{32.80257043931297,-117.01263427734375,San Diego,CA,United States}	{Food,}
1152	Fri Feb 04 16:19:38 +0000 2011	4b8ac3c3f964a5207b7f32e3	{Einstein Bros Bagels}	{32.80257043931297,-117.01263427734375,San Diego,CA,United States}	{Food,}
1152	Fri Feb 04 05:51:48 +0000 2011	49dc62c2f964a5207f5f1fe3	{24 Hour Fitness}	{32.8413920642927,-116.97936978782,Santee,CA,United States}	{Shop & Service,}
1152	Thu Feb 03 21:27:37 +0000 2011	4a88ca22f964a5209c0720e3	{Sombrero Mexican Food}	{32.78741215,-117.09807982,San Diego,CA,United States}	{Food,}
1152	Thu Feb 03 16:18:08 +0000 2011	4b5e31a6f964a520eb8229e3	{Kaiser Vandever Medical Offices}	{32.787397,-117.09983566,San Diego,CA,United States}	{Professional & Other Places,}
1152	Thu Feb 03 15:54:25 +0000 2011	4b8ac3c3f964a5207b7f32e3	{Einstein Bros Bagels}	{32.80257043931297,-117.01263427734375,San Diego,CA,United States}	{Food,}
1152	Wed Feb 02 16:18:49 +0000 2011	4c293a59e19720a1e439f958	{Kaiser Permanente}	{32.79420130379319,-116.98139190673828,El Cajon,CA,United States}	{Medical Center,Professional & Other Places,}
1152	Tue Feb 01 16:34:24 +0000 2011	4c293a59e19720a1e439f958	{Kaiser Permanente}	{32.79420130379319,-116.98139190673828,El Cajon,CA,United States}	{Medical Center,Professional & Other Places,}
1152	Tue Feb 01 04:12:09 +0000 2011	49dc62c2f964a5207f5f1fe3	{24 Hour Fitness}	{32.8413920642927,-116.97936978782,Santee,CA,United States}	{Shop & Service,}
1152	Mon Jan 31 21:08:28 +0000 2011	4c293a59e19720a1e439f958	{Kaiser Permanente}	{32.79420130379319,-116.98139190673828,El Cajon,CA,United States}	{Medical Center,Professional & Other Places,}
1152	Mon Jan 31 16:09:22 +0000 2011	4b8ac3c3f964a5207b7f32e3	{Einstein Bros Bagels}	{32.80257043931297,-117.01263427734375,San Diego,CA,United States}	{Food,}
1152	Mon Jan 31 04:01:00 +0000 2011	49dc62c2f964a5207f5f1fe3	{24 Hour Fitness}	{32.8413920642927,-116.97936978782,Santee,CA,United States}	{Shop & Service,}
1152	Sun Jan 30 21:39:41 +0000 2011	4bf19ada99d02d7fd155c948	{Toby's Taco Shop}	{32.8807526662987,-117.15980125106418,San Diego,CA,United States}	{Food,}
1152	Sun Jan 30 01:35:41 +0000 2011	4307c400f964a5202e271fe3	{Corvette Diner}	{32.741603823447086,-117.20985898000025,San Diego,CA,United States}	{Food,Arts & Entertainment,}
1152	Sat Jan 29 20:13:15 +0000 2011	4ba3bebdf964a520a25a38e3	{Nail Time Spa}	{32.78164612355645,-117.03177452087402,La Mesa,CA,United States}	{Shop & Service,}
1152	Sat Jan 29 05:42:03 +0000 2011	49dc62c2f964a5207f5f1fe3	{24 Hour Fitness}	{32.8413920642927,-116.97936978782,Santee,CA,United States}	{Shop & Service,}
1152	Thu Jan 27 16:22:10 +0000 2011	4bc4f4c80969a593ef40636e	{Kaiser Permanente}	{32.58494883638288,-117.03346561575466,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Wed Jan 26 19:59:16 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Wed Jan 26 17:49:36 +0000 2011	4bc4f4c80969a593ef40636e	{Kaiser Permanente}	{32.58494883638288,-117.03346561575466,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Wed Jan 26 17:49:34 +0000 2011	4bc4f4c80969a593ef40636e	{Kaiser Permanente}	{32.58494883638288,-117.03346561575466,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Wed Jan 26 15:52:13 +0000 2011	4b8ac3c3f964a5207b7f32e3	{Einstein Bros Bagels}	{32.80257043931297,-117.01263427734375,San Diego,CA,United States}	{Food,}
1152	Tue Jan 25 15:59:27 +0000 2011	4b8ac3c3f964a5207b7f32e3	{Einstein Bros Bagels}	{32.80257043931297,-117.01263427734375,San Diego,CA,United States}	{Food,}
1152	Tue Jan 25 05:35:20 +0000 2011	4c89b5893dc2a1cd5de7a632	{Carmen's Home}	{32.8090386658118,-117.00290154246726,El Cajon,CA,United States}	{Residence,}
1152	Tue Jan 25 05:14:10 +0000 2011	4cc9b61546b43704d36b4ae1	{SUBWAY}	{32.80153355,-117.0111728,La Mesa,CA,United States}	{Food,}
1152	Mon Jan 24 08:28:25 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Mon Jan 24 00:44:49 +0000 2011	4b33ea9ff964a520f92125e3	{The Rock Church}	{32.73570360250915,-117.21819877624512,San Diego,CA,United States}	{Spiritual Center,Professional & Other Places,}
1152	Sun Jan 23 23:55:41 +0000 2011	4b8ac3c3f964a5207b7f32e3	{Einstein Bros Bagels}	{32.80257043931297,-117.01263427734375,San Diego,CA,United States}	{Food,}
1152	Fri Jan 21 16:23:32 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
