1732	Thu Aug 11 17:58:39 +0000 2011	4b53573df964a5201a9827e3	{Sunshine Foods}	{38.502962,-122.46764659881592,Saint Helena,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1732	Thu Aug 11 16:09:04 +0000 2011	4c3623ce93db0f4736901d92	{St Helena Skateboard Park}	{38.493655711398716,-122.46468923926729,St. Helena,CA,United States}	{Outdoors & Recreation,Athletics & Sports,}
1732	Sat Jul 30 23:48:22 +0000 2011	4cb731adf6616dcb190ce508	{Iveta Salon}	{38.298315,-122.288274,Napa,CA,United States}	{}
1732	Sat Jul 30 19:45:41 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Fri Jul 29 17:27:02 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Thu Jul 28 20:17:31 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Tue Jul 26 16:00:56 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Fri Jul 22 20:27:31 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Thu Jul 21 01:25:02 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Thu Jul 21 00:26:37 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Sun Jul 17 21:23:07 +0000 2011	4e1384db62e14518a91da408	{Napa Valley Country Club Swimming Pool}	{38.317930050559696,-122.24083031062575,Napa,CA,United States}	{Outdoors & Recreation,}
1732	Sat Jul 16 22:10:19 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Thu Jul 14 23:25:03 +0000 2011	4b67780af964a520da502be3	{Kaiser Permanente Medical Center}	{38.32044754033448,-122.30338811874388,Napa,CA,United States}	{Medical Center,Professional & Other Places,}
1732	Tue Jul 12 19:13:02 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Mon Jul 11 21:02:31 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Sat Jul 09 19:11:50 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Fri Jul 08 16:18:03 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Fri Jul 08 06:51:00 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
