1984	Sun Jul 31 04:39:36 +0000 2011	4b32ce75f964a520451425e3	{25 Kitchen & Bar}	{42.962570427065934,-85.67253202199936,Grand Rapids,MI,United States}	{Nightlife Spot,Food,}
===
1984	Sun Jan 23 01:58:02 +0000 2011	45912fe7f964a5202a401fe3	{Eclectic Cafe Wine Bar And Grille}	{34.164483150911536,-118.37424622456575,North Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Sat Jan 15 21:57:02 +0000 2011	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
===
1984	Tue Nov 02 08:30:12 +0000 2010	4a9deb13f964a520d63920e3	{Dan Tana's}	{34.08169800627759,-118.38901334579073,West Hollywood,CA,United States}	{Food,}
1984	Mon Nov 01 05:26:43 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Thu Oct 28 08:06:11 +0000 2010	4b207bfaf964a520a23224e3	{Voyeur}	{34.091007,-118.36354796188292,West Hollywood,CA,United States}	{Nightlife Spot,}
1984	Tue Oct 26 13:40:50 +0000 2010	4ae73e72f964a520b1a921e3	{Memphis International Airport (MEM)}	{35.04447330233545,-89.98188972473145,Memphis,TN,United States}	{Travel & Transport,}
1984	Sun Oct 24 00:33:40 +0000 2010	4ba130a0f964a52075a037e3	{Allendale High School}	{42.963515261961525,-85.95054562612304,Allendale,MI,United States}	{School,Professional & Other Places,}
1984	Sat Oct 02 08:21:14 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Sat Oct 02 04:08:08 +0000 2010	4a6ab5d0f964a520dbcd1fe3	{Libertine}	{34.09773553357701,-118.36790075689792,Los Angeles,CA,United States}	{Nightlife Spot,}
1984	Fri Oct 01 07:04:12 +0000 2010	4a517a1cf964a52011b11fe3	{Essex Public House}	{34.101641,-118.335937,Los Angeles,CA,United States}	{Nightlife Spot,}
1984	Fri Oct 01 01:38:09 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Wed Sep 29 05:22:48 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
===
1984	Sat Sep 04 20:14:27 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Sun Aug 29 02:01:55 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Tue Aug 10 02:25:31 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
===
1984	Sat Jul 10 08:02:53 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Sat Jul 10 03:08:54 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Wed Jun 30 01:54:43 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Sun Jun 27 07:20:45 +0000 2010	4a63c64af964a520c9c51fe3	{The Beverly Hilton}	{34.06613944596981,-118.41298147226443,Beverly Hills,CA,United States}	{Nightlife Spot,Travel & Transport,Hotel,}
1984	Sat Jun 26 05:45:09 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Fri Jun 18 01:39:27 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Mon Jun 14 02:31:57 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Sat Jun 12 07:59:48 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Fri Jun 11 03:27:15 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Sun Jun 06 06:46:50 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Thu Jun 03 22:02:06 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Wed May 26 22:27:52 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Thu May 20 07:14:21 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Tue May 18 02:30:26 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Tue May 18 00:29:58 +0000 2010	4b7090a0f964a52060222de3	{Shoop's European Deli}	{34.091193754219255,-118.36326599121094,West Hollywood,CA,United States}	{Food,}
1984	Sun May 16 06:48:34 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Sat May 15 02:35:19 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Fri May 14 02:25:32 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
