2053	Wed Jun 08 15:50:14 +0000 2011	4c290be2e19720a1fee4f858	{Sand Dune Park}	{33.89907337443141,-118.41234251889927,Manhattan Beach,CA,United States}	{Shop & Service,Outdoors & Recreation,}
2053	Wed Jun 08 02:38:58 +0000 2011	4cf5a22a55e137042dc1c7b6	{The Winning Image Fitness Center}	{33.943424412657116,-118.13587196213231,Downey,CA,United States}	{College & University,}
2053	Fri Jun 03 04:34:26 +0000 2011	4b105859f964a520546e23e3	{Barnes & Noble}	{34.000819,-117.728898,Chino Hills,CA,United States}	{Shop & Service,College & University,}
2053	Thu Jun 02 17:05:09 +0000 2011	4afee5f7f964a5205a3122e3	{Hollywood Sign}	{34.13402,-118.321755,Los Angeles,CA,United States}	{Outdoors & Recreation,Government Building,Arts & Entertainment,Professional & Other Places,}
2053	Thu Jun 02 00:58:17 +0000 2011	4be5dd15bcef2d7f527204e5	{LA Fitness}	{33.92531219990342,-118.12634646892548,Downey,CA,United States}	{Shop & Service,}
2053	Wed Jun 01 20:41:43 +0000 2011	4bd9ca450115c9b64eb47880	{Waterside Marina Del Rey}	{33.97907767440405,-118.4382523989798,Marina del Rey,CA,United States}	{Shop & Service,}
2053	Wed Jun 01 18:32:26 +0000 2011	4c89459109329c7454b9f379	{Bike Curious Rentals}	{33.98717934324608,-118.47292006015778,Venice,CA,United States}	{Shop & Service,}
2053	Tue May 31 18:49:12 +0000 2011	4b64a096f964a52085c32ae3	{Chantry Flats}	{34.18610385894347,-118.02234649658203,La Canada Flintridge,CA,United States}	{Outdoors & Recreation,}
2053	Mon May 30 23:56:20 +0000 2011	4bc12add920eb71376651a2c	{Whittier Greenway Trail}	{33.94657742905846,-118.02019536495209,Whittier,CA,United States}	{Outdoors & Recreation,}
2053	Sat May 28 20:09:07 +0000 2011	4b4628dcf964a5208d1826e3	{The Home Depot}	{33.96511104435814,-118.04937713204157,Whittier,CA,United States}	{Shop & Service,}
2053	Sat May 28 04:41:44 +0000 2011	4b359cbff964a520332e25e3	{Regal La Habra Stadium 16}	{33.918488220703146,-117.96046257019043,La Habra,CA,United States}	{Arts & Entertainment,Movie Theater,}
2053	Fri May 27 15:07:30 +0000 2011	4bc12add920eb71376651a2c	{Whittier Greenway Trail}	{33.94657742905846,-118.02019536495209,Whittier,CA,United States}	{Outdoors & Recreation,}
2053	Fri May 27 15:07:29 +0000 2011	4bc12add920eb71376651a2c	{Whittier Greenway Trail}	{33.94657742905846,-118.02019536495209,Whittier,CA,United States}	{Outdoors & Recreation,}
2053	Fri May 27 01:30:18 +0000 2011	4cf5a22a55e137042dc1c7b6	{The Winning Image Fitness Center}	{33.943424412657116,-118.13587196213231,Downey,CA,United States}	{College & University,}
2053	Thu May 26 00:52:17 +0000 2011	4be5dd15bcef2d7f527204e5	{LA Fitness}	{33.92531219990342,-118.12634646892548,Downey,CA,United States}	{Shop & Service,}
2053	Wed May 25 22:11:47 +0000 2011	4d323942c6cba35d453a1f7a	{Turnbull Canyon}	{33.9887641155466,-118.02502138498576,Whittier,CA,United States}	{Shop & Service,}
2053	Wed May 25 01:30:21 +0000 2011	4cf5a22a55e137042dc1c7b6	{The Winning Image Fitness Center}	{33.943424412657116,-118.13587196213231,Downey,CA,United States}	{College & University,}
2053	Tue May 24 00:43:57 +0000 2011	4be5dd15bcef2d7f527204e5	{LA Fitness}	{33.92531219990342,-118.12634646892548,Downey,CA,United States}	{Shop & Service,}
2053	Mon May 23 22:33:23 +0000 2011	4bc12add920eb71376651a2c	{Whittier Greenway Trail}	{33.94657742905846,-118.02019536495209,Whittier,CA,United States}	{Outdoors & Recreation,}
2053	Mon May 23 00:09:21 +0000 2011	4be5dd15bcef2d7f527204e5	{LA Fitness}	{33.92531219990342,-118.12634646892548,Downey,CA,United States}	{Shop & Service,}
2053	Sat May 21 16:46:09 +0000 2011	4c69f72cc946e21e25b6eb8e	{Whittier Trail}	{33.96199785544575,-118.04296867418876,Whittier,CA,United States}	{Outdoors & Recreation,}
2053	Fri May 20 21:53:48 +0000 2011	4a5cb314f964a5206ebc1fe3	{Pasadena Convention Center}	{34.14400283848345,-118.14458018857069,Pasadena,CA,United States}	{Shop & Service,Arts & Entertainment,Professional & Other Places,}
2053	Fri May 20 01:33:35 +0000 2011	4cf5a22a55e137042dc1c7b6	{The Winning Image Fitness Center}	{33.943424412657116,-118.13587196213231,Downey,CA,United States}	{College & University,}
2053	Thu May 19 00:56:41 +0000 2011	4be5dd15bcef2d7f527204e5	{LA Fitness}	{33.92531219990342,-118.12634646892548,Downey,CA,United States}	{Shop & Service,}
2053	Wed May 18 01:31:56 +0000 2011	4cf5a22a55e137042dc1c7b6	{The Winning Image Fitness Center}	{33.943424412657116,-118.13587196213231,Downey,CA,United States}	{College & University,}
2053	Wed May 18 01:31:56 +0000 2011	4cf5a22a55e137042dc1c7b6	{The Winning Image Fitness Center}	{33.943424412657116,-118.13587196213231,Downey,CA,United States}	{College & University,}
2053	Tue May 17 00:38:46 +0000 2011	4be5dd15bcef2d7f527204e5	{LA Fitness}	{33.92531219990342,-118.12634646892548,Downey,CA,United States}	{Shop & Service,}
2053	Mon May 16 00:43:29 +0000 2011	4be5dd15bcef2d7f527204e5	{LA Fitness}	{33.92531219990342,-118.12634646892548,Downey,CA,United States}	{Shop & Service,}
2053	Sun May 15 00:28:28 +0000 2011	4be5dd15bcef2d7f527204e5	{LA Fitness}	{33.92531219990342,-118.12634646892548,Downey,CA,United States}	{Shop & Service,}
