2470	Sat May 28 02:48:45 +0000 2011	4bd260dd41b9ef3be218fee5	{Tokyo Lobby}	{33.760671,-117.82977441666667,Tustin,CA,United States}	{Food,}
2470	Tue May 17 17:52:04 +0000 2011	4da476ff9aa4721e9443381a	{Geodis Wilson (Diamond Pickup)}	{33.8096475,-118.25540606,Carson,CA,United States}	{Professional & Other Places,}
2470	Tue May 03 17:20:46 +0000 2011	4da476ff9aa4721e9443381a	{Geodis Wilson (Diamond Pickup)}	{33.8096475,-118.25540606,Carson,CA,United States}	{Professional & Other Places,}
2470	Tue Apr 26 16:41:02 +0000 2011	4da476ff9aa4721e9443381a	{Geodis Wilson (Diamond Pickup)}	{33.8096475,-118.25540606,Carson,CA,United States}	{Professional & Other Places,}
2470	Sat Apr 23 20:12:32 +0000 2011	4b664514f964a520861b2be3	{The Coffee Bean & Tea Leaf?}	{33.75846296855016,-117.83483661711216,Santa Ana,CA,United States}	{Food,}
2470	Sat Apr 23 19:53:01 +0000 2011	4abc4ddff964a520048720e3	{Panda Express}	{33.758420164495796,-117.83454895019531,Santa Ana,CA,United States}	{Food,}
2470	Wed Apr 20 15:27:41 +0000 2011	4b69d45df964a520cdb62be3	{Corner Bistro & Cafe}	{33.662052,-117.70798473333333,Irvine,CA,United States}	{Food,}
2470	Wed Apr 13 15:42:52 +0000 2011	4bf1a2ec78cec9282da4ba86	{Bruegger's}	{33.72199724522051,-117.77113348245621,Irvine,CA,United States}	{Food,}
2470	Tue Apr 12 16:00:53 +0000 2011	4da476ff9aa4721e9443381a	{Geodis Wilson (Diamond Pickup)}	{33.8096475,-118.25540606,Carson,CA,United States}	{Professional & Other Places,}
2470	Mon Apr 11 20:50:08 +0000 2011	4bb79f9c7421a59320c5c040	{Arby's}	{33.73907980262995,-117.80991554260254,Tustin,CA,United States}	{Food,}
2470	Sat Apr 09 22:10:55 +0000 2011	4b8c5e87f964a5203bcd32e3	{Valvoline Instant Oil Change}	{33.74937944509333,-117.81048953533173,Tustin,CA,United States}	{Shop & Service,}
2470	Wed Apr 06 19:20:53 +0000 2011	4b195e4cf964a5200bdc23e3	{Red Robin Gourmet Burgers}	{33.679050544123186,-117.6684021949768,Foothill Ranch,CA,United States}	{Food,}
2470	Sat Apr 02 19:09:14 +0000 2011	4b664514f964a520861b2be3	{The Coffee Bean & Tea Leaf?}	{33.75846296855016,-117.83483661711216,Santa Ana,CA,United States}	{Food,}
2470	Sat Apr 02 19:04:50 +0000 2011	4c39f4ef93db0f4738392492	{Bruegger's}	{33.75839751564661,-117.83474028300022,Santa Ana,CA,United States}	{Food,}
2470	Wed Mar 30 17:28:09 +0000 2011	4d93680352ed224baea41cac	{Diamond Distribution}	{33.80979470744892,-118.2554003870303,Carson,CA,United States}	{Shop & Service,}
2470	Tue Mar 22 18:09:30 +0000 2011	4b72c7f7f964a5204d882de3	{Diamond Distribution}	{33.82719212,-118.310419,Torrance,CA,United States}	{Professional & Other Places,}
2470	Sun Mar 13 03:24:40 +0000 2011	4b5b7456f964a52040ff28e3	{SUBWAY}	{33.748606,-117.833304,Santa Ana,CA,United States}	{Food,}
2470	Tue Mar 08 19:09:53 +0000 2011	4b72c7f7f964a5204d882de3	{Diamond Distribution}	{33.82719212,-118.310419,Torrance,CA,United States}	{Professional & Other Places,}
2470	Tue Mar 01 18:42:40 +0000 2011	4b72c7f7f964a5204d882de3	{Diamond Distribution}	{33.82719212,-118.310419,Torrance,CA,United States}	{Professional & Other Places,}
2470	Tue Feb 22 18:36:20 +0000 2011	4b72c7f7f964a5204d882de3	{Diamond Distribution}	{33.82719212,-118.310419,Torrance,CA,United States}	{Professional & Other Places,}
2470	Tue Feb 15 17:55:47 +0000 2011	4b72c7f7f964a5204d882de3	{Diamond Distribution}	{33.82719212,-118.310419,Torrance,CA,United States}	{Professional & Other Places,}
2470	Tue Feb 08 18:15:07 +0000 2011	4b72c7f7f964a5204d882de3	{Diamond Distribution}	{33.82719212,-118.310419,Torrance,CA,United States}	{Professional & Other Places,}
2470	Tue Feb 01 18:04:47 +0000 2011	4b72c7f7f964a5204d882de3	{Diamond Distribution}	{33.82719212,-118.310419,Torrance,CA,United States}	{Professional & Other Places,}
2470	Tue Jan 25 17:52:57 +0000 2011	4b72c7f7f964a5204d882de3	{Diamond Distribution}	{33.82719212,-118.310419,Torrance,CA,United States}	{Professional & Other Places,}
2470	Tue Jan 18 18:30:53 +0000 2011	4b72c7f7f964a5204d882de3	{Diamond Distribution}	{33.82719212,-118.310419,Torrance,CA,United States}	{Professional & Other Places,}
2470	Tue Jan 18 18:30:53 +0000 2011	4b72c7f7f964a5204d882de3	{Diamond Distribution}	{33.82719212,-118.310419,Torrance,CA,United States}	{Professional & Other Places,}
2470	Sun Jan 16 20:17:50 +0000 2011	4b944595f964a520557234e3	{Farenheit 451 Book Shop}	{33.158440228521776,-117.35062142383585,,CA,United States}	{Shop & Service,}
2470	Fri Jan 14 19:01:00 +0000 2011	4abc4ddff964a520048720e3	{Panda Express}	{33.758420164495796,-117.83454895019531,Santa Ana,CA,United States}	{Food,}
2470	Tue Jan 11 18:08:54 +0000 2011	4b72c7f7f964a5204d882de3	{Diamond Distribution}	{33.82719212,-118.310419,Torrance,CA,United States}	{Professional & Other Places,}
2470	Wed Jan 05 19:04:03 +0000 2011	4b72c7f7f964a5204d882de3	{Diamond Distribution}	{33.82719212,-118.310419,Torrance,CA,United States}	{Professional & Other Places,}
2470	Sat Jan 01 04:22:16 +0000 2011	4b91c925f964a52046d733e3	{Newport Rib Company}	{33.65406446526298,-117.918844379599,Costa Mesa,CA,United States}	{Food,}
2470	Wed Dec 29 03:48:20 +0000 2010	4bbb8f95e45295218eda54a4	{Sizzler}	{33.72651693635614,-117.92037963867188,Fountain Valley,CA,United States}	{Food,}
2470	Wed Dec 22 18:24:06 +0000 2010	4b72c7f7f964a5204d882de3	{Diamond Distribution}	{33.82719212,-118.310419,Torrance,CA,United States}	{Professional & Other Places,}
2470	Wed Dec 22 02:45:30 +0000 2010	4a80e20df964a52066f61fe3	{Edwards Irvine Spectrum 21 IMAX & RPX}	{33.65195403158847,-117.74535477161407,Irvine,CA,United States}	{Arts & Entertainment,Movie Theater,}
2470	Wed Dec 15 19:29:01 +0000 2010	4b72c7f7f964a5204d882de3	{Diamond Distribution}	{33.82719212,-118.310419,Torrance,CA,United States}	{Professional & Other Places,}
2470	Wed Dec 08 18:54:42 +0000 2010	4b72c7f7f964a5204d882de3	{Diamond Distribution}	{33.82719212,-118.310419,Torrance,CA,United States}	{Professional & Other Places,}
2470	Sun Dec 05 21:35:10 +0000 2010	40f86c00f964a520bd0a1fe3	{Disneyland}	{33.80958286695518,-117.91899628937244,Anaheim,CA,United States}	{Arts & Entertainment,}
2470	Sat Dec 04 03:20:47 +0000 2010	4a6f6c91f964a52023d61fe3	{Lucille's Smokehouse Bar-B-Que}	{33.616662,-117.703709,Lake Forest,CA,United States}	{Nightlife Spot,Food,}
2470	Thu Dec 02 18:40:51 +0000 2010	4b72c7f7f964a5204d882de3	{Diamond Distribution}	{33.82719212,-118.310419,Torrance,CA,United States}	{Professional & Other Places,}
