2506	Fri Aug 12 07:18:16 +0000 2011	4b93674bf964a520cf4234e3	{McGrath's Irish Pub}	{37.77427659018304,-122.25894927978516,Alameda,CA,United States}	{Nightlife Spot,}
2506	Fri Aug 12 00:13:17 +0000 2011	4a8a0793f964a520b30920e3	{Peet's Coffee & Tea}	{37.76417425707891,-122.24295761948304,Alameda,CA,United States}	{Food,}
2506	Fri Aug 12 00:12:30 +0000 2011	4ae35b8af964a520f29321e3	{Kai's Japanese Restaurant}	{37.762108,-122.24464,Alameda,CA,United States}	{Food,}
2506	Thu Aug 11 00:53:18 +0000 2011	4b5f915af964a5201cc229e3	{SUBWAY}	{37.792312682004706,-122.39991743929598,San Francisco,CA,United States}	{Food,}
2506	Thu Aug 11 00:44:51 +0000 2011	4b7f312ef964a520ec1d30e3	{The Humidor}	{37.793751,-122.400045,San Francisco,CA,United States}	{Shop & Service,}
2506	Thu Aug 11 00:00:43 +0000 2011	4b9a7985f964a52095b835e3	{Levi Strauss & Co.}	{37.80204241114768,-122.40209687230006,San Francisco,CA,United States}	{Shop & Service,Clothing Store,Professional & Other Places,}
2506	Thu Aug 11 00:00:28 +0000 2011	4ad91f15f964a5204c1821e3	{Levi's Plaza}	{37.802489718921066,-122.40217387676239,San Francisco,CA,United States}	{Outdoors & Recreation,Professional & Other Places,}
2506	Wed Aug 10 19:48:44 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Tue Aug 09 21:33:05 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Tue Aug 09 03:06:16 +0000 2011	4ad91f15f964a5204c1821e3	{Levi's Plaza}	{37.802489718921066,-122.40217387676239,San Francisco,CA,United States}	{Outdoors & Recreation,Professional & Other Places,}
2506	Mon Aug 08 22:25:14 +0000 2011	4b805257f964a520ca6730e3	{Burger King}	{37.75905118433507,-122.25154398217248,Alameda,CA,United States}	{Food,}
2506	Mon Aug 08 19:50:19 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Fri Jul 29 18:56:34 +0000 2011	4b4e040ff964a5203ade26e3	{Spear Street Plaza}	{37.79173718884532,-122.3932018466277,San Francisco,CA,United States}	{Outdoors & Recreation,}
2506	Fri Jul 29 18:54:19 +0000 2011	4a2e8573f964a52019981fe3	{Starbucks}	{37.791339,-122.392547,San Francisco,CA,United States}	{Food,}
2506	Thu Jul 28 15:57:54 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Thu Jul 28 00:43:35 +0000 2011	4a03b7a7f964a520de711fe3	{Blue Danube Coffee House}	{37.763446,-122.24361251666667,Alameda,CA,United States}	{Food,}
2506	Wed Jul 27 19:44:52 +0000 2011	4b10b4b1f964a520f57423e3	{College Of Alameda}	{37.78204414389231,-122.27894924182466,Alameda,CA,United States}	{College & University,}
2506	Wed Jul 27 19:41:25 +0000 2011	4b987a7ef964a520004435e3	{Burger King}	{37.778478,-122.27683413333334,Alameda,CA,United States}	{Food,}
2506	Wed Jul 27 18:34:41 +0000 2011	4b10b4b1f964a520f57423e3	{College Of Alameda}	{37.78204414389231,-122.27894924182466,Alameda,CA,United States}	{College & University,}
2506	Wed Jul 27 18:13:37 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Wed Jul 27 01:31:26 +0000 2011	4acd570af964a520e5cb20e3	{Gold Coast Grill}	{37.76979,-122.23833382129669,Alameda,CA,United States}	{Food,}
2506	Tue Jul 26 17:07:54 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Tue Jul 26 03:58:28 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Mon Jul 25 21:04:56 +0000 2011	4b10b4b1f964a520f57423e3	{College Of Alameda}	{37.78204414389231,-122.27894924182466,Alameda,CA,United States}	{College & University,}
2506	Mon Jul 25 00:45:33 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Wed Jul 20 21:47:54 +0000 2011	46504842f964a520cf461fe3	{Fosters Freeze}	{37.771428,-122.278044,Alameda,CA,United States}	{Food,}
2506	Wed Jul 20 21:45:24 +0000 2011	4b10b4b1f964a520f57423e3	{College Of Alameda}	{37.78204414389231,-122.27894924182466,Alameda,CA,United States}	{College & University,}
2506	Tue Jul 19 21:25:32 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Tue Jul 19 21:24:57 +0000 2011	4b10b4b1f964a520f57423e3	{College Of Alameda}	{37.78204414389231,-122.27894924182466,Alameda,CA,United States}	{College & University,}
2506	Mon Jul 18 17:46:47 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Sun Jul 17 23:22:28 +0000 2011	4a2c6238f964a52055971fe3	{Borders}	{37.72649109486148,-122.47661590576172,San Francisco,CA,United States}	{Shop & Service,Food,}
2506	Sun Jul 17 23:22:28 +0000 2011	4a2c6238f964a52055971fe3	{Borders}	{37.72649109486148,-122.47661590576172,San Francisco,CA,United States}	{Shop & Service,Food,}
2506	Sun Jul 17 23:21:36 +0000 2011	4c17f8b56a21c9b68c54c897	{Seattle's Best Coffee}	{37.72641063333333,-122.476802,San Francisco,CA,United States}	{Food,}
2506	Sun Jul 17 23:20:15 +0000 2011	4a8ae30ff964a520bc0a20e3	{Trader Joe's}	{37.72666789,-122.476037,San Francisco,CA,United States}	{Shop & Service,Food & Drink Shop,}
2506	Sun Jul 17 23:18:48 +0000 2011	4cf80b5cd76da35d0cbfc42c	{Chase Bank}	{37.726520612907635,-122.47614303788217,San Francisco,CA,United States}	{Shop & Service,}
2506	Sun Jul 17 22:09:29 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Sun Jul 17 01:37:38 +0000 2011	4a2c6238f964a52055971fe3	{Borders}	{37.72649109486148,-122.47661590576172,San Francisco,CA,United States}	{Shop & Service,Food,}
2506	Thu Jul 14 22:05:08 +0000 2011	4a71ad1bf964a5205cd91fe3	{Wiley W Manuel Courthouse}	{37.800117230579104,-122.27627992060015,Oakland,CA,United States}	{Government Building,Professional & Other Places,}
2506	Thu Jul 14 22:04:14 +0000 2011	4b10b4b1f964a520f57423e3	{College Of Alameda}	{37.78204414389231,-122.27894924182466,Alameda,CA,United States}	{College & University,}
2506	Wed Jul 13 18:13:48 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Tue Jul 12 21:17:41 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Tue Jul 12 21:15:37 +0000 2011	4b987a7ef964a520004435e3	{Burger King}	{37.778478,-122.27683413333334,Alameda,CA,United States}	{Food,}
2506	Tue Jul 12 21:15:01 +0000 2011	4abe4a8df964a520778c20e3	{Starbucks}	{37.77953364,-122.275729,Alameda,CA,United States}	{Food,}
2506	Tue Jul 12 21:13:48 +0000 2011	4b10b4b1f964a520f57423e3	{College Of Alameda}	{37.78204414389231,-122.27894924182466,Alameda,CA,United States}	{College & University,}
2506	Wed Jul 06 20:35:03 +0000 2011	4a2c6238f964a52055971fe3	{Borders}	{37.72649109486148,-122.47661590576172,San Francisco,CA,United States}	{Shop & Service,Food,}
2506	Wed Jul 06 20:34:46 +0000 2011	4a8ae30ff964a520bc0a20e3	{Trader Joe's}	{37.72666789,-122.476037,San Francisco,CA,United States}	{Shop & Service,Food & Drink Shop,}
2506	Wed Jul 06 20:34:16 +0000 2011	4cf80b5cd76da35d0cbfc42c	{Chase Bank}	{37.726520612907635,-122.47614303788217,San Francisco,CA,United States}	{Shop & Service,}
2506	Tue Jul 05 02:09:28 +0000 2011	4cb0227eaef16dcb4876ae54	{Chozo pod}	{37.98955106585695,-122.53161701191046,San Rafael,CA,United States}	{Residence,}
2506	Wed Jun 29 22:50:27 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Wed Jun 29 08:17:04 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Wed Jun 29 02:01:29 +0000 2011	4ba7d91df964a520a3b839e3	{Kaiser Permanente Oakland Fabiola Bldg}	{37.82484344061029,-122.25614155685736,Oakland,CA,United States}	{Medical Center,Professional & Other Places,}
2506	Tue Jun 28 19:35:24 +0000 2011	4b10b4b1f964a520f57423e3	{College Of Alameda}	{37.78204414389231,-122.27894924182466,Alameda,CA,United States}	{College & University,}
2506	Thu Jun 23 04:25:29 +0000 2011	4a2c6238f964a52055971fe3	{Borders}	{37.72649109486148,-122.47661590576172,San Francisco,CA,United States}	{Shop & Service,Food,}
2506	Sun Jun 19 03:46:50 +0000 2011	4a2c6238f964a52055971fe3	{Borders}	{37.72649109486148,-122.47661590576172,San Francisco,CA,United States}	{Shop & Service,Food,}
2506	Tue Jun 07 09:41:12 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Tue Jun 07 08:18:45 +0000 2011	4beb56a4b3352d7f646d56d2	{Alameda Beach}	{37.75812815505155,-122.2610092163086,Alameda,CA,United States}	{Outdoors & Recreation,Beach,}
2506	Mon Jun 06 22:50:59 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Mon Jun 06 21:38:46 +0000 2011	4a4418dff964a5201da71fe3	{Cafe Madrid}	{37.80913681069808,-122.2681884778223,Oakland,CA,United States}	{Nightlife Spot,Spanish Restaurant,Food,}
2506	Mon Jun 06 21:21:46 +0000 2011	4cc07ea0985aa35d19474d12	{USCIS Oakland}	{37.809722,-122.2691485,Oakland,CA,United States}	{Professional & Other Places,}
2506	Sun Jun 05 06:38:27 +0000 2011	4b4531f2f964a520a00726e3	{SONIC Drive In}	{37.61912049266664,-122.03541330064124,Hayward,CA,United States}	{Food,}
2506	Sat Jun 04 09:53:21 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Sat Jun 04 06:31:16 +0000 2011	4a5824e5f964a5206db71fe3	{AMC Loews Metreon 16}	{37.7844481241691,-122.40364372730255,San Francisco,CA,United States}	{Shop & Service,Arts & Entertainment,Movie Theater,}
2506	Sat Jun 04 03:46:47 +0000 2011	4b1f1d02f964a520182424e3	{Hemingway}	{37.44783430092206,-122.15971729638018,Palo Alto,CA,United States}	{Shop & Service,}
2506	Sat Jun 04 03:45:46 +0000 2011	43caa4cbf964a520b42d1fe3	{Borders}	{37.447656,-122.159757,Palo Alto,CA,United States}	{Shop & Service,Food,}
2506	Sat Jun 04 03:45:26 +0000 2011	4d10d65f38bb6ea835cdc6aa	{Seattle's Best Coffee @ Borders Palo Alto}	{37.447122300000004,-122.15958805,Palo Alto,CA,United States}	{Food,}
2506	Sat Jun 04 00:17:49 +0000 2011	4aa9b26cf964a520ed5420e3	{Target}	{37.69968785946109,-122.12704360485077,San Leandro,CA,United States}	{Shop & Service,}
2506	Sat Jun 04 00:08:29 +0000 2011	4b4e5143f964a52031e926e3	{Cheese Steak Shop}	{37.69988310490023,-122.12698459625244,San Leandro,CA,United States}	{Food,}
2506	Fri Jun 03 06:36:43 +0000 2011	4cdcd20dcea2224b20cc8d4c	{Crave City}	{37.80076,-122.436582,San Francisco,CA,United States}	{Food,}
2506	Fri Jun 03 04:10:11 +0000 2011	4a2c6238f964a52055971fe3	{Borders}	{37.72649109486148,-122.47661590576172,San Francisco,CA,United States}	{Shop & Service,Food,}
2506	Thu Jun 02 21:44:18 +0000 2011	4aa1c84cf964a520974120e3	{CVS/pharmacy}	{37.765552616599535,-122.24308503507459,Alameda,CA,United States}	{Shop & Service,}
2506	Thu Jun 02 08:39:17 +0000 2011	4ac4611cf964a520a49e20e3	{Cheat Zone}	{37.773356,-122.23569,Oakland,CA,United States}	{Food,}
2506	Thu Jun 02 03:48:35 +0000 2011	4a2c6238f964a52055971fe3	{Borders}	{37.72649109486148,-122.47661590576172,San Francisco,CA,United States}	{Shop & Service,Food,}
2506	Thu Jun 02 01:03:24 +0000 2011	4b74cd6df964a520def22de3	{KFC}	{37.761963,-122.24362313747406,Alameda,CA,United States}	{Food,}
2506	Tue May 31 12:08:18 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Mon May 30 00:14:57 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Sun May 29 05:44:41 +0000 2011	4a333748f964a520199b1fe3	{AMC Bay Street 16}	{37.83297152392784,-122.29205846786499,Emeryville,CA,United States}	{Arts & Entertainment,Movie Theater,}
2506	Sun May 29 05:43:35 +0000 2011	4a9b10b1f964a520453420e3	{Starbucks}	{37.83664843213076,-122.29501913360856,Emeryville,CA,United States}	{Food,}
2506	Sun May 29 05:43:08 +0000 2011	4ad15999f964a52027de20e3	{Barnes & Noble}	{37.833654125815855,-122.29248864673352,Emeryville,CA,United States}	{Shop & Service,Food,Arts & Entertainment,}
2506	Sat May 28 05:14:02 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Fri May 27 20:34:26 +0000 2011	4ba7d91df964a520a3b839e3	{Kaiser Permanente Oakland Fabiola Bldg}	{37.82484344061029,-122.25614155685736,Oakland,CA,United States}	{Medical Center,Professional & Other Places,}
2506	Thu May 26 18:52:48 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Tue May 24 02:10:31 +0000 2011	43db9623f964a520902e1fe3	{Laney College}	{37.796234567141525,-122.2635360352643,Oakland,CA,United States}	{Shop & Service,College & University,}
2506	Mon May 23 17:31:31 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
