2751	Fri Mar 18 20:11:56 +0000 2011	4b6c660ef964a520d3362ce3	{Roxbury Cafe}	{34.068264,-118.406918,Beverly Hills,CA,United States}	{Food,}
===
2751	Sat Dec 25 19:02:23 +0000 2010	4af1e59bf964a52038e421e3	{Long Beach Memorial Medical Center}	{33.80794757236454,-118.1871189689692,Long Beach,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
2751	Fri Dec 24 16:56:36 +0000 2010	4af1e59bf964a52038e421e3	{Long Beach Memorial Medical Center}	{33.80794757236454,-118.1871189689692,Long Beach,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
2751	Tue Dec 07 16:39:01 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Tue Dec 07 16:39:01 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
===
2751	Fri Oct 15 16:44:08 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Thu Oct 14 14:57:49 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Thu Oct 14 02:15:45 +0000 2010	4b47fd28f964a520d34526e3	{El Torito}	{33.75560145342641,-118.10843467712402,Long Beach,CA,United States}	{Food,}
2751	Thu Oct 14 00:38:10 +0000 2010	4bca5b67511f952183b5afc7	{Stater Bros}	{33.81112287229017,-118.10618987176882,Long Beach,CA,United States}	{Shop & Service,Food & Drink Shop,}
2751	Thu Oct 14 00:36:10 +0000 2010	4c54f334479fc928c4fff893	{Greg and Melissa}	{33.819782529246645,-118.10641562097527,Long beach,CA,United States}	{Residence,}
2751	Wed Oct 13 16:52:51 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Tue Oct 12 15:02:22 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Mon Oct 11 19:05:03 +0000 2010	4bba42a1b35776b005b8ca01	{Memorial Orthopaedic Group}	{33.80718674911512,-118.1843102184363,Long Beach,CA,United States}	{Medical Center,Professional & Other Places,}
2751	Thu Sep 30 19:30:14 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Tue Sep 28 15:52:35 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Sun Sep 19 20:25:11 +0000 2010	4ac6b025f964a520d1b520e3	{Wilson Creek Winery}	{33.54715618274799,-117.04497735968377,Temecula,CA,United States}	{Nightlife Spot,Outdoors & Recreation,Food,}
2751	Fri Sep 17 00:49:48 +0000 2010	4b2d5b85f964a520fdd424e3	{California Pasta}	{34.4198494162262,-119.70007779574074,Santa Barbara,CA,United States}	{Food,}
2751	Thu Sep 16 17:41:31 +0000 2010	4a542319f964a52012b31fe3	{Potholder Cafe}	{33.764419280416845,-118.14903698630154,Long Beach,CA,United States}	{Food,}
2751	Wed Sep 15 14:47:14 +0000 2010	4c54f334479fc928c4fff893	{Greg and Melissa}	{33.819782529246645,-118.10641562097527,Long beach,CA,United States}	{Residence,}
