2898	Sun May 30 16:36:46 +0000 2010	4c013d9694c1c9b6fbf1ba5f	{The Rinker Boat}	{34.41191,-114.289502,Lake Havasu City,AZ,United States}	{Travel & Transport,}
===
2898	Fri Apr 16 22:30:59 +0000 2010	4bb78f7d98c7ef3ba9f72f02	{The Pools at Monte Carlo}	{36.10537570245084,-115.17667293548584,Las Vegas,NV,United States}	{Travel & Transport,Outdoors & Recreation,Hotel,}
2898	Fri Apr 16 21:35:24 +0000 2010	41326e00f964a520a2141fe3	{Monte Carlo Resort and Casino}	{36.1047342531898,-115.17521381378174,Las Vegas,NV,United States}	{Travel & Transport,Arts & Entertainment,Hotel,}
2898	Fri Apr 16 03:13:35 +0000 2010	4bc24824b492d13abc50a760	{Mason street}	{34.41308350648574,-119.69047460924138,Santa Barbara,CA,United States}	{Residence,}
2898	Thu Apr 15 22:42:18 +0000 2010	4b74954ef964a520aee52de3	{Prudential California Realty}	{34.42141,-119.64551,Santa Barbara,CA,United States}	{Office,Professional & Other Places,}
2898	Thu Apr 15 19:46:18 +0000 2010	4b3bb6eff964a520707925e3	{Wahoo's}	{34.417128,-119.69601,Santa Barbara,CA,United States}	{Food,}
2898	Thu Apr 15 01:50:35 +0000 2010	4b3bb6eff964a520707925e3	{Wahoo's}	{34.417128,-119.69601,Santa Barbara,CA,United States}	{Food,}
2898	Wed Apr 14 23:12:39 +0000 2010	4b6cbec7f964a52025512ce3	{Santa Barbara Ice Co.}	{34.419053,-119.67599272727966,Santa Barbara,CA,United States}	{Nightlife Spot,}
2898	Wed Apr 14 18:17:41 +0000 2010	4b74954ef964a520aee52de3	{Prudential California Realty}	{34.42141,-119.64551,Santa Barbara,CA,United States}	{Office,Professional & Other Places,}
2898	Wed Apr 14 18:17:41 +0000 2010	4b74954ef964a520aee52de3	{Prudential California Realty}	{34.42141,-119.64551,Santa Barbara,CA,United States}	{Office,Professional & Other Places,}
2898	Wed Apr 14 00:39:22 +0000 2010	4bc24824b492d13abc50a760	{Mason street}	{34.41308350648574,-119.69047460924138,Santa Barbara,CA,United States}	{Residence,}
2898	Wed Apr 14 00:39:22 +0000 2010	4bc24824b492d13abc50a760	{Mason street}	{34.41308350648574,-119.69047460924138,Santa Barbara,CA,United States}	{Residence,}
2898	Tue Apr 13 15:46:18 +0000 2010	4b7494c0f964a5208be52de3	{Prudential Califorina Realty}	{34.421724,-119.63124,Montecito,CA,United States}	{Office,Professional & Other Places,}
2898	Tue Apr 13 03:28:18 +0000 2010	4b6df966f964a52052a02ce3	{Chili's Grill & Bar}	{34.429708724638274,-119.87066745758057,Goleta,CA,United States}	{Food,}
2898	Tue Apr 13 00:32:03 +0000 2010	4bc24824b492d13abc50a760	{Mason street}	{34.41308350648574,-119.69047460924138,Santa Barbara,CA,United States}	{Residence,}
2898	Mon Apr 12 15:47:42 +0000 2010	4b7494c0f964a5208be52de3	{Prudential Califorina Realty}	{34.421724,-119.63124,Montecito,CA,United States}	{Office,Professional & Other Places,}
2898	Sun Apr 11 22:07:35 +0000 2010	4bc24824b492d13abc50a760	{Mason street}	{34.41308350648574,-119.69047460924138,Santa Barbara,CA,United States}	{Residence,}
2898	Sun Apr 11 04:42:38 +0000 2010	4abda022f964a520348b20e3	{The Neighborhood Bar & Grill}	{34.411765336990356,-119.696056,Santa Barbara,CA,United States}	{Nightlife Spot,Arts & Entertainment,}
2898	Sat Apr 10 04:21:48 +0000 2010	4abda022f964a520348b20e3	{The Neighborhood Bar & Grill}	{34.411765336990356,-119.696056,Santa Barbara,CA,United States}	{Nightlife Spot,Arts & Entertainment,}
2898	Sat Apr 10 01:11:47 +0000 2010	4b77586cf964a520cf932ee3	{East Beach}	{34.41547773724695,-119.67454433441162,Santa Barbara,CA,United States}	{Outdoors & Recreation,}
2898	Fri Apr 09 18:17:46 +0000 2010	4b7494c0f964a5208be52de3	{Prudential Califorina Realty}	{34.421724,-119.63124,Montecito,CA,United States}	{Office,Professional & Other Places,}
2898	Thu Apr 08 01:10:28 +0000 2010	4b33f170f964a520792225e3	{Trader Joe's}	{34.421521336062526,-119.67761181891129,Santa Barbara,CA,United States}	{Shop & Service,Food & Drink Shop,}
2898	Wed Apr 07 19:48:04 +0000 2010	4b9eab4af964a52030f836e3	{Butterfly Beach}	{34.41742490591407,-119.64740037918091,,CA,United States}	{Outdoors & Recreation,}
2898	Wed Apr 07 15:58:22 +0000 2010	4b7494c0f964a5208be52de3	{Prudential Califorina Realty}	{34.421724,-119.63124,Montecito,CA,United States}	{Office,Professional & Other Places,}
2898	Wed Apr 07 01:41:31 +0000 2010	4b9083f9f964a5201c8e33e3	{Arnoldi's Cafe}	{34.423298,-119.691068,Santa Barbara,CA,United States}	{Food,}
2898	Tue Apr 06 16:47:43 +0000 2010	4b7494c0f964a5208be52de3	{Prudential Califorina Realty}	{34.421724,-119.63124,Montecito,CA,United States}	{Office,Professional & Other Places,}
2898	Tue Apr 06 03:21:16 +0000 2010	4abda022f964a520348b20e3	{The Neighborhood Bar & Grill}	{34.411765336990356,-119.696056,Santa Barbara,CA,United States}	{Nightlife Spot,Arts & Entertainment,}
