2989	Sat Jul 02 01:12:49 +0000 2011	4a99bba3f964a520213020e3	{Natalee Thai}	{34.02270647,-118.400681,Culver City,CA,United States}	{Food,}
2989	Mon Jun 27 03:48:58 +0000 2011	4a6376a3f964a5201ac51fe3	{24 Hour Fitness}	{33.987604,-118.365824,Los Angeles,CA,United States}	{Shop & Service,}
2989	Wed Jun 15 02:15:01 +0000 2011	4b3183b0f964a520410825e3	{Sachi Teriyaki House}	{33.989097476005554,-118.35371732711792,Los Angeles,CA,United States}	{Food,}
2989	Tue Jun 14 02:30:32 +0000 2011	40db6b00f964a5207d011fe3	{Dodger Stadium}	{34.073408462960174,-118.24019819498062,Los Angeles,CA,United States}	{Outdoors & Recreation,Stadium,Arts & Entertainment,Athletics & Sports,}
2989	Tue Jun 07 01:59:36 +0000 2011	4c431b62520fa593831bccac	{Culver City Stairs}	{34.018660725948976,-118.38189125061035,Culver City,CA,United States}	{Shop & Service,Outdoors & Recreation,}
===
2989	Wed Mar 09 17:57:39 +0000 2011	4b6b0779f964a520c2ed2be3	{Valley Ridge View Park}	{34.0028659037698,-118.34798812866211,Los Angeles,CA,United States}	{Outdoors & Recreation,}
===
2989	Mon Dec 13 16:40:08 +0000 2010	4a6376a3f964a5201ac51fe3	{24 Hour Fitness}	{33.987604,-118.365824,Los Angeles,CA,United States}	{Shop & Service,}
2989	Sat Dec 11 03:14:58 +0000 2010	4a6376a3f964a5201ac51fe3	{24 Hour Fitness}	{33.987604,-118.365824,Los Angeles,CA,United States}	{Shop & Service,}
2989	Thu Dec 09 02:50:57 +0000 2010	4a6376a3f964a5201ac51fe3	{24 Hour Fitness}	{33.987604,-118.365824,Los Angeles,CA,United States}	{Shop & Service,}
2989	Wed Dec 08 17:11:38 +0000 2010	49ff904bf964a52031701fe3	{Los Angeles Superior Metropolitan Courthouse}	{34.03112650790161,-118.2675113941038,Los Angeles,CA,United States}	{Government Building,Professional & Other Places,}
2989	Tue Dec 07 04:54:29 +0000 2010	4b4438a4f964a520cff225e3	{24 Hour Fitness}	{33.8745125815027,-118.350169841735,Torrance,CA,United States}	{Shop & Service,}
2989	Sat Dec 04 16:41:47 +0000 2010	4a6376a3f964a5201ac51fe3	{24 Hour Fitness}	{33.987604,-118.365824,Los Angeles,CA,United States}	{Shop & Service,}
2989	Sat Dec 04 15:29:43 +0000 2010	4b6b0779f964a520c2ed2be3	{Valley Ridge View Park}	{34.0028659037698,-118.34798812866211,Los Angeles,CA,United States}	{Outdoors & Recreation,}
2989	Sat Dec 04 02:29:01 +0000 2010	4cf9a73220fe3704811b48f8	{SUBWAY}	{34.01333391666412,-118.33658083,Los Angeles,CA,United States}	{Food,}
2989	Thu Dec 02 17:57:37 +0000 2010	4a6376a3f964a5201ac51fe3	{24 Hour Fitness}	{33.987604,-118.365824,Los Angeles,CA,United States}	{Shop & Service,}
2989	Tue Nov 30 20:50:40 +0000 2010	4af5e7f6f964a5209efe21e3	{The Home Depot}	{33.98867383608012,-118.36444047501276,Los Angeles,CA,United States}	{Shop & Service,}
2989	Mon Nov 29 02:41:13 +0000 2010	4a6376a3f964a5201ac51fe3	{24 Hour Fitness}	{33.987604,-118.365824,Los Angeles,CA,United States}	{Shop & Service,}
2989	Sun Nov 28 18:57:30 +0000 2010	4b6b0779f964a520c2ed2be3	{Valley Ridge View Park}	{34.0028659037698,-118.34798812866211,Los Angeles,CA,United States}	{Outdoors & Recreation,}
2989	Sun Nov 28 17:55:14 +0000 2010	4c431b62520fa593831bccac	{Culver City Stairs}	{34.018660725948976,-118.38189125061035,Culver City,CA,United States}	{Shop & Service,Outdoors & Recreation,}
2989	Thu Nov 25 02:02:30 +0000 2010	4a6376a3f964a5201ac51fe3	{24 Hour Fitness}	{33.987604,-118.365824,Los Angeles,CA,United States}	{Shop & Service,}
2989	Wed Nov 24 19:42:47 +0000 2010	4c65d62719f3c9b6575a9eff	{Shirval}	{34.01668,-118.334586,Los Angeles,CA,United States}	{Shop & Service,}
2989	Tue Nov 23 19:36:13 +0000 2010	4c241d46f1272d7f70a382c5	{Boston Market}	{33.93697015,-118.12763261,Downey,CA,United States}	{Food,}
2989	Sun Nov 21 18:20:04 +0000 2010	4a6376a3f964a5201ac51fe3	{24 Hour Fitness}	{33.987604,-118.365824,Los Angeles,CA,United States}	{Shop & Service,}
2989	Thu Nov 18 16:30:38 +0000 2010	4c65d62719f3c9b6575a9eff	{Shirval}	{34.01668,-118.334586,Los Angeles,CA,United States}	{Shop & Service,}
2989	Mon Nov 15 21:49:07 +0000 2010	4b6b0779f964a520c2ed2be3	{Valley Ridge View Park}	{34.0028659037698,-118.34798812866211,Los Angeles,CA,United States}	{Outdoors & Recreation,}
2989	Mon Nov 15 03:03:52 +0000 2010	49e397acf964a5209a621fe3	{Westfield Century City}	{34.058199256415406,-118.41905698696434,Los Angeles,CA,United States}	{Shop & Service,}
2989	Fri Nov 12 18:01:22 +0000 2010	4c431b62520fa593831bccac	{Culver City Stairs}	{34.018660725948976,-118.38189125061035,Culver City,CA,United States}	{Shop & Service,Outdoors & Recreation,}
2989	Wed Nov 03 15:49:46 +0000 2010	4a6376a3f964a5201ac51fe3	{24 Hour Fitness}	{33.987604,-118.365824,Los Angeles,CA,United States}	{Shop & Service,}
2989	Sun Oct 31 22:27:19 +0000 2010	4b92cb44f964a5205e1c34e3	{Bayou Grille}	{33.97998666297626,-118.35811614990234,Inglewood,CA,United States}	{Food,}
2989	Thu Oct 28 02:53:25 +0000 2010	4a6376a3f964a5201ac51fe3	{24 Hour Fitness}	{33.987604,-118.365824,Los Angeles,CA,United States}	{Shop & Service,}
