3022	Thu Aug 11 19:31:23 +0000 2011	4b36c98ef964a520693c25e3	{Gulfstream}	{33.604945,-117.874059,Newport Beach,CA,United States}	{Food,}
3022	Wed Aug 10 15:37:43 +0000 2011	4c32d6a17cc0c9b67debf09a	{24 Hour Fitness}	{33.72282267548109,-117.78794288635254,Irvine,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3022	Sun Aug 07 16:45:23 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sun Aug 07 16:02:10 +0000 2011	4b58a02ff964a520116228e3	{Starbucks}	{33.60070751451795,-117.87283430528485,Corona Del Mar,CA,United States}	{Food,}
3022	Sun Aug 07 01:00:53 +0000 2011	4c32d6a17cc0c9b67debf09a	{24 Hour Fitness}	{33.72282267548109,-117.78794288635254,Irvine,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3022	Wed Aug 03 16:55:55 +0000 2011	4b58a02ff964a520116228e3	{Starbucks}	{33.60070751451795,-117.87283430528485,Corona Del Mar,CA,United States}	{Food,}
3022	Tue Aug 02 21:39:03 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sun Jul 31 05:56:48 +0000 2011	4ae285aaf964a520d88e21e3	{Chomp Sushi & Teppan Grill}	{33.87060319,-117.92239593333333,Fullerton,CA,United States}	{Nightlife Spot,Food,}
3022	Sun Jul 31 01:30:54 +0000 2011	4a790799f964a520dce61fe3	{Newport Pier}	{33.605934267867816,-117.93116211891173,Newport Beach,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
3022	Wed Jul 27 21:38:43 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Thu Jul 21 16:11:52 +0000 2011	4b58a02ff964a520116228e3	{Starbucks}	{33.60070751451795,-117.87283430528485,Corona Del Mar,CA,United States}	{Food,}
3022	Mon Jul 18 19:41:25 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sun Jul 17 23:46:12 +0000 2011	4e23741a1838712abe87f567	{Shady Canyon/Open House}	{33.62662529631993,-117.80183372241373,Irvine,CA,United States}	{Residence,}
3022	Fri Jul 15 16:19:17 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sun Jul 10 18:09:44 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sat Jul 09 17:00:26 +0000 2011	4b51eefff964a520175c27e3	{SMMOC Lab}	{33.67813847104794,-117.90241804984016,Costa Mesa,CA,United States}	{Professional & Other Places,}
3022	Sat Jul 02 17:41:45 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Fri Jul 01 19:53:41 +0000 2011	4c06c8508a81c9b618422690	{City of Laguna Beach}	{33.54257505029259,-117.78450965881348,Laguna Beach,CA,United States}	{Outdoors & Recreation,}
3022	Thu Jun 30 16:23:48 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Thu Jun 30 16:10:08 +0000 2011	4b58a02ff964a520116228e3	{Starbucks}	{33.60070751451795,-117.87283430528485,Corona Del Mar,CA,United States}	{Food,}
3022	Sat Jun 25 22:52:36 +0000 2011	4b32cbbff964a520141425e3	{Red Robin Gourmet Burgers}	{33.3098545815306,-111.74649238586426,Gilbert,AZ,United States}	{Food,}
