3099	Sun Nov 27 06:10:47 +0000 2011	4391dff1f964a520652b1fe3	{Fontana's Bar}	{40.71815358787956,-73.99221117337089,New York,NY,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
===
3099	Fri Aug 12 04:18:00 +0000 2011	43c99cdef964a520a02d1fe3	{Kiji Sushi Bar & Cuisine}	{37.754883482358494,-122.42314764760746,San Francisco,CA,United States}	{Food,}
3099	Wed Aug 10 20:18:41 +0000 2011	4d2d02d2fd2e236af1d6ecde	{RocketSpace Accelerator}	{37.79110990063006,-122.40120076571911,San Francisco,CA,United States}	{Nightlife Spot,Office,Professional & Other Places,}
3099	Tue Aug 09 15:42:04 +0000 2011	4d2d02d2fd2e236af1d6ecde	{RocketSpace Accelerator}	{37.79110990063006,-122.40120076571911,San Francisco,CA,United States}	{Nightlife Spot,Office,Professional & Other Places,}
3099	Mon Aug 08 17:22:48 +0000 2011	4d2d02d2fd2e236af1d6ecde	{RocketSpace Accelerator}	{37.79110990063006,-122.40120076571911,San Francisco,CA,United States}	{Nightlife Spot,Office,Professional & Other Places,}
3099	Sun Aug 07 22:33:28 +0000 2011	4a7f6580f964a520e4f31fe3	{Azalea Boutique}	{37.776837944984436,-122.423251,San Francisco,CA,United States}	{Shop & Service,Clothing Store,}
3099	Sat Aug 06 07:57:39 +0000 2011	4a94b5b6f964a5205e2220e3	{Pizza Orgasmica}	{37.79870454103997,-122.43585571528055,San Francisco,CA,United States}	{Food,}
3099	Sat Aug 06 05:15:17 +0000 2011	3fd66200f964a520a4ed1ee3	{Hi Fi Lounge}	{37.79966792198222,-122.43643633433153,San Francisco,CA,United States}	{Nightlife Spot,}
3099	Sat Aug 06 04:09:29 +0000 2011	3fd66200f964a520bdec1ee3	{Eastside West Restaurant & Raw Bar}	{37.798876626811364,-122.43584465583885,San Francisco,CA,United States}	{Nightlife Spot,Food,}
3099	Sat Aug 06 03:03:06 +0000 2011	412bd680f964a5209f0c1fe3	{Matrix Fillmore}	{37.798687522681085,-122.4358004180604,San Francisco,CA,United States}	{Nightlife Spot,}
3099	Sat Aug 06 02:44:57 +0000 2011	43c5a1e7f964a5206d2d1fe3	{Harry's Bar}	{37.78835087959596,-122.43354979645153,San Francisco,CA,United States}	{Nightlife Spot,}
3099	Sat Aug 06 02:32:29 +0000 2011	43c5a1e7f964a5206d2d1fe3	{Harry's Bar}	{37.78835087959596,-122.43354979645153,San Francisco,CA,United States}	{Nightlife Spot,}
3099	Sat Aug 06 01:28:33 +0000 2011	3fd66200f964a5205bec1ee3	{Pier 23 Cafe}	{37.8034,-122.400815,San Francisco,CA,United States}	{Food,}
3099	Fri Aug 05 17:06:28 +0000 2011	4d2d02d2fd2e236af1d6ecde	{RocketSpace Accelerator}	{37.79110990063006,-122.40120076571911,San Francisco,CA,United States}	{Nightlife Spot,Office,Professional & Other Places,}
3099	Fri Aug 05 17:04:21 +0000 2011	4d2d02d2fd2e236af1d6ecde	{RocketSpace Accelerator}	{37.79110990063006,-122.40120076571911,San Francisco,CA,United States}	{Nightlife Spot,Office,Professional & Other Places,}
3099	Fri Aug 05 17:04:03 +0000 2011	4ddecf53d4c01aeee90608d4	{Achievers}	{37.78767451890312,-122.40359036630201,San Francisco,CA,United States}	{Professional & Other Places,}
3099	Wed Aug 03 14:52:25 +0000 2011	4ddecf53d4c01aeee90608d4	{Achievers}	{37.78767451890312,-122.40359036630201,San Francisco,CA,United States}	{Professional & Other Places,}
3099	Tue Aug 02 17:10:28 +0000 2011	4ddecf53d4c01aeee90608d4	{Achievers}	{37.78767451890312,-122.40359036630201,San Francisco,CA,United States}	{Professional & Other Places,}
3099	Tue Aug 02 00:16:17 +0000 2011	4ddecf53d4c01aeee90608d4	{Achievers}	{37.78767451890312,-122.40359036630201,San Francisco,CA,United States}	{Professional & Other Places,}
3099	Fri Jul 29 17:49:17 +0000 2011	4ddecf53d4c01aeee90608d4	{Achievers}	{37.78767451890312,-122.40359036630201,San Francisco,CA,United States}	{Professional & Other Places,}
3099	Fri Jul 29 15:22:57 +0000 2011	4d2d02d2fd2e236af1d6ecde	{RocketSpace Accelerator}	{37.79110990063006,-122.40120076571911,San Francisco,CA,United States}	{Nightlife Spot,Office,Professional & Other Places,}
3099	Thu Jul 28 15:10:19 +0000 2011	4d2d02d2fd2e236af1d6ecde	{RocketSpace Accelerator}	{37.79110990063006,-122.40120076571911,San Francisco,CA,United States}	{Nightlife Spot,Office,Professional & Other Places,}
3099	Thu Jul 28 01:19:19 +0000 2011	4d7fa581e7e1721e4564f60b	{ExactTarget Social Media Lab}	{37.78170967626591,-122.39223374809585,San Francisco,CA,United States}	{Professional & Other Places,}
3099	Wed Jul 27 04:45:49 +0000 2011	45df6218f964a5201a431fe3	{Mas Sake Freestyle Sushi}	{37.80014930184792,-122.43523638474873,San Francisco,CA,United States}	{Nightlife Spot,Food,}
3099	Tue Jul 26 15:57:31 +0000 2011	4d2d02d2fd2e236af1d6ecde	{RocketSpace Accelerator}	{37.79110990063006,-122.40120076571911,San Francisco,CA,United States}	{Nightlife Spot,Office,Professional & Other Places,}
