3104	Sat May 14 15:53:11 +0000 2011	4b76d702f964a52027632ee3	{Island Packers}	{34.2443134951612,-119.26533,Ventura,CA,United States}	{Travel & Transport,}
3104	Thu Apr 28 00:32:45 +0000 2011	4bd74b9935aad13a20938ef3	{Forever 21 Inc.}	{34.01802186988825,-118.24028469360027,Los Angeles,CA,United States}	{Shop & Service,Clothing Store,Professional & Other Places,}
3104	Wed Apr 27 02:03:10 +0000 2011	4b6f3764f964a520c2e42ce3	{Big Wangs}	{34.04552340372847,-118.25853645801544,Los Angeles,CA,United States}	{Nightlife Spot,Food,}
3104	Sun Apr 24 16:25:47 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Sun Apr 24 16:25:31 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
===
3104	Fri Mar 04 16:27:11 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Fri Mar 04 16:27:04 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Thu Mar 03 02:22:03 +0000 2011	4c7b1a69794e224bc2c76a28	{Toddy G's}	{34.034751,-118.231615,Los Angeles,CA,United States}	{Food,}
3104	Wed Mar 02 16:56:22 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Wed Mar 02 16:56:15 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Wed Mar 02 16:56:15 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Tue Mar 01 20:52:50 +0000 2011	4b758cfff964a5208a132ee3	{Apparel Mart Building}	{34.041653966666665,-118.25575673333333,Los Angeles,CA,United States}	{Professional & Other Places,}
3104	Tue Mar 01 20:52:42 +0000 2011	4bae13e3f964a52092813be3	{Joe's Auto Park}	{34.041705,-118.255632,Los Angeles,CA,United States}	{Professional & Other Places,}
3104	Tue Mar 01 16:31:46 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Tue Mar 01 16:31:36 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Tue Mar 01 01:38:21 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Tue Mar 01 01:38:13 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Mon Feb 28 01:22:04 +0000 2011	4c8bbdc2ec61bfb734749d41	{Saslow Dog Park}	{34.04283821582794,-118.23443949222565,Los Angeles,CA,United States}	{Outdoors & Recreation,}
3104	Sun Feb 27 15:15:26 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Sun Feb 27 15:14:44 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Sun Feb 27 15:14:44 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Sun Feb 27 03:00:27 +0000 2011	4c7b1a69794e224bc2c76a28	{Toddy G's}	{34.034751,-118.231615,Los Angeles,CA,United States}	{Food,}
3104	Sat Feb 26 20:45:02 +0000 2011	4a55476bf964a520fdb31fe3	{Target}	{34.089701053000745,-118.34459781646729,West Hollywood,CA,United States}	{Shop & Service,Food & Drink Shop,}
3104	Sat Feb 26 19:06:23 +0000 2011	439235c3f964a5206a2b1fe3	{Pete's Cafe & Bar}	{34.04799696524164,-118.2472014427185,Los Angeles,CA,United States}	{Nightlife Spot,Food,}
3104	Sat Feb 26 16:06:10 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Sat Feb 26 16:06:00 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Fri Feb 25 16:24:03 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Fri Feb 25 16:23:47 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Thu Feb 24 17:07:14 +0000 2011	4a33da8ef964a520559b1fe3	{Urth Caff?}	{34.04194415861958,-118.23521347103639,Los Angeles,CA,United States}	{Food,}
3104	Thu Feb 24 16:46:41 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Thu Feb 24 16:46:05 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Wed Feb 23 15:07:23 +0000 2011	4c8bbdc2ec61bfb734749d41	{Saslow Dog Park}	{34.04283821582794,-118.23443949222565,Los Angeles,CA,United States}	{Outdoors & Recreation,}
3104	Wed Feb 23 15:07:00 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Wed Feb 23 15:07:00 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Wed Feb 23 15:06:51 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Wed Feb 23 02:57:41 +0000 2011	4c7b1a69794e224bc2c76a28	{Toddy G's}	{34.034751,-118.231615,Los Angeles,CA,United States}	{Food,}
3104	Tue Feb 22 21:11:43 +0000 2011	4bae13e3f964a52092813be3	{Joe's Auto Park}	{34.041705,-118.255632,Los Angeles,CA,United States}	{Professional & Other Places,}
3104	Tue Feb 22 21:10:52 +0000 2011	4b758cfff964a5208a132ee3	{Apparel Mart Building}	{34.041653966666665,-118.25575673333333,Los Angeles,CA,United States}	{Professional & Other Places,}
3104	Tue Feb 22 17:11:10 +0000 2011	4a33da8ef964a520559b1fe3	{Urth Caff?}	{34.04194415861958,-118.23521347103639,Los Angeles,CA,United States}	{Food,}
3104	Tue Feb 22 17:03:28 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Tue Feb 22 16:48:10 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Tue Feb 22 10:36:29 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Mon Feb 21 21:27:22 +0000 2011	425f0400f964a52007211fe3	{Cuba}	{40.7292,-73.999,New York,NY,United States}	{Food,}
3104	Mon Feb 21 20:35:38 +0000 2011	4283ee00f964a5209d221fe3	{Jacob K. Javits Convention Center}	{40.75671096305903,-74.00100198012031,New York,NY,United States}	{Professional & Other Places,}
3104	Mon Feb 21 13:48:26 +0000 2011	4bec60a5f909ef3b2808a9c6	{Eventi - A Kimpton Hotel}	{40.74704563119764,-73.98993730545044,New York,NY,United States}	{Travel & Transport,}
3104	Mon Feb 21 00:33:08 +0000 2011	42756d80f964a5207d211fe3	{Stout}	{40.74985920636586,-73.98996152288103,New York,NY,United States}	{Nightlife Spot,}
3104	Sun Feb 20 18:42:08 +0000 2011	4d5ff3059f67f04d42bf72fb	{d&a Tradeshow}	{40.75099194164186,-74.00595527572962,New York,NY,United States}	{Professional & Other Places,}
3104	Sun Feb 20 18:42:07 +0000 2011	4d5ff3059f67f04d42bf72fb	{d&a Tradeshow}	{40.75099194164186,-74.00595527572962,New York,NY,United States}	{Professional & Other Places,}
3104	Sun Feb 20 16:56:45 +0000 2011	3fd66200f964a5207dea1ee3	{The Delta Grill}	{40.76198065788244,-73.9900246511882,New York,NY,United States}	{Nightlife Spot,Food,}
3104	Sun Feb 20 14:56:20 +0000 2011	4bec60a5f909ef3b2808a9c6	{Eventi - A Kimpton Hotel}	{40.74704563119764,-73.98993730545044,New York,NY,United States}	{Travel & Transport,}
3104	Sun Feb 20 01:23:16 +0000 2011	4a33b4f1f964a520389b1fe3	{Amy's Bread}	{40.76136,-73.99049,New York,NY,United States}	{Food,}
3104	Sun Feb 20 01:22:14 +0000 2011	4a48155ff964a52088aa1fe3	{Bocca di Bacco}	{40.766225391949995,-73.9870461202546,New York,NY,United States}	{Food,}
3104	Sat Feb 19 20:20:34 +0000 2011	4d5ff3059f67f04d42bf72fb	{d&a Tradeshow}	{40.75099194164186,-74.00595527572962,New York,NY,United States}	{Professional & Other Places,}
3104	Sat Feb 19 19:20:10 +0000 2011	3fd66200f964a520b0e51ee3	{The Red Cat}	{40.74799988732848,-74.00399845123462,New York,NY,United States}	{Food,}
3104	Sat Feb 19 16:52:37 +0000 2011	4d5ff3059f67f04d42bf72fb	{d&a Tradeshow}	{40.75099194164186,-74.00595527572962,New York,NY,United States}	{Professional & Other Places,}
3104	Sat Feb 19 14:32:52 +0000 2011	4bec60a5f909ef3b2808a9c6	{Eventi - A Kimpton Hotel}	{40.74704563119764,-73.98993730545044,New York,NY,United States}	{Travel & Transport,}
3104	Sat Feb 19 03:44:56 +0000 2011	4b116915f964a520047c23e3	{Waldy??s Wood Fired Pizza & Penne}	{40.74571043315757,-73.99087975075709,New York,NY,United States}	{Food,}
3104	Sat Feb 19 03:15:51 +0000 2011	4bec60a5f909ef3b2808a9c6	{Eventi - A Kimpton Hotel}	{40.74704563119764,-73.98993730545044,New York,NY,United States}	{Travel & Transport,}
3104	Sat Feb 19 01:14:54 +0000 2011	43a52546f964a520532c1fe3	{John F. Kennedy International Airport (JFK)}	{40.645089355976346,-73.7845230102539,Jamaica,NY,United States}	{Travel & Transport,}
3104	Fri Feb 18 18:47:34 +0000 2011	4b329383f964a5200e0f25e3	{El Cholo Cantina}	{33.94055623198394,-118.40442717075348,Los Angeles,CA,United States}	{Food,}
3104	Fri Feb 18 18:47:22 +0000 2011	4a706db6f964a52074d71fe3	{Delta Sky Club}	{33.94077875238868,-118.40448081493378,Los Angeles,CA,United States}	{Travel & Transport,Airport,}
3104	Fri Feb 18 18:46:54 +0000 2011	439ec330f964a520102c1fe3	{Los Angeles International Airport (LAX)}	{33.94389397698472,-118.40502262115479,Los Angeles,CA,United States}	{Travel & Transport,}
3104	Fri Feb 18 17:15:16 +0000 2011	4a33da8ef964a520559b1fe3	{Urth Caff?}	{34.04194415861958,-118.23521347103639,Los Angeles,CA,United States}	{Food,}
3104	Fri Feb 18 16:03:45 +0000 2011	4c8bbdc2ec61bfb734749d41	{Saslow Dog Park}	{34.04283821582794,-118.23443949222565,Los Angeles,CA,United States}	{Outdoors & Recreation,}
3104	Fri Feb 18 16:03:33 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Fri Feb 18 16:03:24 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
