3409	Sun Aug 07 18:41:41 +0000 2011	4a7dbc9cf964a52069ef1fe3	{Patys}	{34.15230080698924,-118.34964036941528,Toluca Lake,CA,United States}	{Food,}
3409	Sat Aug 06 04:07:43 +0000 2011	4667bf5af964a52087471fe3	{Timmy Nolan's Tavern & Grill}	{34.15236571674361,-118.35108867652893,Toluca Lake,CA,United States}	{Nightlife Spot,Food,}
3409	Sun Jul 31 18:46:39 +0000 2011	4abe6afbf964a520728d20e3	{Paramount Ranch}	{34.11549975464937,-118.75521183013916,Agoura Hills,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
3409	Fri Jul 29 20:21:19 +0000 2011	4cc0689400d83704b2574a5c	{Go Burger}	{34.09783506703078,-118.32644462585449,Los Angeles,CA,United States}	{Food,}
3409	Tue Jul 26 14:29:05 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Mon Jul 25 21:10:10 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Mon Jul 25 03:55:49 +0000 2011	4abed6b4f964a520339020e3	{The Westin Los Angeles Airport}	{33.94481072136936,-118.37448835372925,Los Angeles,CA,United States}	{Travel & Transport,Food,Professional & Other Places,}
3409	Sat Jul 23 22:39:30 +0000 2011	49e27207f964a52016621fe3	{Santa Monica State Beach}	{34.011279502454606,-118.49681854248047,Santa Monica,CA,United States}	{Outdoors & Recreation,Beach,}
3409	Fri Jul 22 16:45:43 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Thu Jul 21 02:57:42 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Wed Jul 20 20:48:52 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Mon Jul 18 21:28:11 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Mon Jul 18 01:27:54 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Sat Jul 16 23:43:26 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Thu Jul 14 03:07:01 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Wed Jul 13 17:09:59 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Wed Jul 13 02:45:40 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Tue Jul 12 19:13:45 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Tue Jul 12 02:59:46 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Fri Jul 08 22:22:12 +0000 2011	4abd4accf964a520808920e3	{Wild Oats Cafe}	{34.083314,-118.32327701666667,Los Angeles,CA,United States}	{Food,}
3409	Fri Jul 08 02:22:11 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Thu Jul 07 19:38:32 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Thu Jul 07 07:18:48 +0000 2011	4d25355810a7721e8d9d1304	{CTU}	{34.165880425578806,-118.3637264271307,North Hollywood,CA,United States}	{Residence,}
3409	Thu Jul 07 04:35:59 +0000 2011	43768200f964a5203d2a1fe3	{AMC Burbank 16}	{34.1819235954088,-118.31200361251831,Burbank,CA,United States}	{Food,Arts & Entertainment,Movie Theater,}
3409	Thu Jul 07 03:34:21 +0000 2011	4ab4386bf964a5206f7020e3	{Buffalo Wild Wings}	{34.181715069259106,-118.31141443535724,Burbank,CA,United States}	{Food,}
3409	Thu Jul 07 02:06:46 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Wed Jul 06 17:06:36 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
