3588	Fri Jun 17 02:01:18 +0000 2011	4b9ac308f964a52059d335e3	{iSalon}	{37.76111442,-122.24557162,Alameda,CA,United States}	{Shop & Service,}
3588	Thu Jun 09 20:14:31 +0000 2011	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Sun Jun 05 20:33:42 +0000 2011	4b53d484f964a52098ac27e3	{Harbor View Restaurant}	{37.73767524718143,-122.24081369085847,Alameda,CA,United States}	{Food,}
3588	Sun Jun 05 17:46:00 +0000 2011	4a3dbc0df964a520a3a21fe3	{24 Hour Fitness}	{37.76894679487197,-122.22482427720546,Oakland,CA,United States}	{Shop & Service,}
3588	Tue May 31 17:42:14 +0000 2011	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Sat May 28 17:05:53 +0000 2011	4de12b7022713271e2c6572e	{Showing Properties}	{37.75571,-122.23127,Alameda,CA,United States}	{}
3588	Wed May 25 15:12:55 +0000 2011	4ace06f4f964a520f8cd20e3	{The Cliffs Resort}	{35.16530811122902,-120.69055238937375,Shell Beach,CA,United States}	{Travel & Transport,Hotel,}
3588	Wed May 18 21:23:54 +0000 2011	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
===
3588	Sat Apr 09 02:44:35 +0000 2011	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
===
3588	Wed Dec 22 19:00:37 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Sat Dec 18 17:45:39 +0000 2010	4a3dbc0df964a520a3a21fe3	{24 Hour Fitness}	{37.76894679487197,-122.22482427720546,Oakland,CA,United States}	{Shop & Service,}
3588	Fri Dec 17 19:25:21 +0000 2010	4cdd7caba1bba35d63a5a0e5	{Alameda Association of Realtors}	{37.76414,-122.24081,Alameda,CA,United States}	{}
3588	Fri Dec 17 17:34:16 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Thu Dec 16 23:50:59 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Wed Dec 15 16:25:32 +0000 2010	4a3dbc0df964a520a3a21fe3	{24 Hour Fitness}	{37.76894679487197,-122.22482427720546,Oakland,CA,United States}	{Shop & Service,}
3588	Tue Dec 14 14:31:21 +0000 2010	4a3dbc0df964a520a3a21fe3	{24 Hour Fitness}	{37.76894679487197,-122.22482427720546,Oakland,CA,United States}	{Shop & Service,}
3588	Mon Dec 13 20:13:08 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Fri Dec 10 22:35:30 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Fri Dec 10 20:32:44 +0000 2010	4baebe1df964a5200ad43be3	{Oakland Yacht Club}	{37.783468766828996,-122.2648286819458,Alameda,CA,United States}	{Outdoors & Recreation,}
3588	Thu Dec 09 17:42:46 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Wed Dec 08 19:29:10 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Wed Dec 08 07:07:51 +0000 2010	4a3dbc0df964a520a3a21fe3	{24 Hour Fitness}	{37.76894679487197,-122.22482427720546,Oakland,CA,United States}	{Shop & Service,}
3588	Tue Dec 07 18:15:49 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Sun Dec 05 02:29:06 +0000 2010	4b32af20f964a520d41125e3	{Christmas Tree Lane}	{37.759704524214946,-122.2278938096063,Alameda,CA,United States}	{Outdoors & Recreation,}
3588	Sat Dec 04 18:10:14 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Sat Dec 04 06:46:52 +0000 2010	4a3dbc0df964a520a3a21fe3	{24 Hour Fitness}	{37.76894679487197,-122.22482427720546,Oakland,CA,United States}	{Shop & Service,}
