3728	Thu Aug 11 17:29:53 +0000 2011	4b7db94df964a520afd02fe3	{California Tea & Coffee Brewery}	{33.53323632176164,-117.14981810273042,Temecula,CA,United States}	{Food,}
3728	Mon Aug 01 01:39:45 +0000 2011	4ac3c1abf964a520b09c20e3	{Callaway Vineyard & Winery}	{33.524796085610056,-117.08979606628418,Temecula,CA,United States}	{Outdoors & Recreation,Food,}
3728	Thu Jul 21 21:15:38 +0000 2011	4b9c18aaf964a520984936e3	{Reading Cinemas Cal Oaks 17}	{33.56414099708044,-117.20232009887695,Murrieta,CA,United States}	{Arts & Entertainment,Movie Theater,}
3728	Sat Jul 09 18:15:27 +0000 2011	4ac3c1abf964a520b09c20e3	{Callaway Vineyard & Winery}	{33.524796085610056,-117.08979606628418,Temecula,CA,United States}	{Outdoors & Recreation,Food,}
3728	Sat Jul 09 18:15:20 +0000 2011	4ac3c1abf964a520b09c20e3	{Callaway Vineyard & Winery}	{33.524796085610056,-117.08979606628418,Temecula,CA,United States}	{Outdoors & Recreation,Food,}
3728	Sat Jul 09 00:22:48 +0000 2011	4ac3c1abf964a520b09c20e3	{Callaway Vineyard & Winery}	{33.524796085610056,-117.08979606628418,Temecula,CA,United States}	{Outdoors & Recreation,Food,}
3728	Fri Jul 08 01:35:18 +0000 2011	4bc0ecaab492d13a402ea560	{Temecula Community Recreation Center}	{33.499450725061585,-117.12632304731656,Temecula,CA,United States}	{Outdoors & Recreation,}
3728	Thu Jun 23 01:39:40 +0000 2011	4a9b2d27f964a520aa3420e3	{Yard House}	{33.52415658290481,-117.15343415737152,Temecula,CA,United States}	{Nightlife Spot,Food,}
3728	Fri Jun 03 16:15:13 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Thu Jun 02 15:32:54 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Tue May 31 15:16:18 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Mon May 30 02:34:54 +0000 2011	4ac3c1abf964a520b09c20e3	{Callaway Vineyard & Winery}	{33.524796085610056,-117.08979606628418,Temecula,CA,United States}	{Outdoors & Recreation,Food,}
3728	Thu May 26 19:31:04 +0000 2011	4c9bcbea031337040a7e4fd5	{St. Jeanne de Lestonnac}	{33.517304867267164,-117.08834041352905,Temecula,CA,United States}	{}
3728	Tue May 24 15:12:18 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Mon May 23 15:21:43 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Sat May 21 16:39:58 +0000 2011	4cca19d80a9ab1f77ea819f4	{Pro Files Nail Salon}	{33.483065,-117.10209566666667,Temecula,CA,United States}	{}
3728	Sat May 21 16:39:52 +0000 2011	4cca19d80a9ab1f77ea819f4	{Pro Files Nail Salon}	{33.483065,-117.10209566666667,Temecula,CA,United States}	{}
3728	Fri May 20 16:14:43 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Thu May 19 15:37:43 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Thu May 19 03:07:55 +0000 2011	4b9b0fd4f964a520c1ef35e3	{The Gambling Cowboy}	{33.49438493569431,-117.1507601467089,Temecula,CA,United States}	{Nightlife Spot,Food,Arts & Entertainment,}
3728	Tue May 17 15:13:29 +0000 2011	4b722696f964a5205d712de3	{Sweat Cardio & Yoga}	{33.480486273765564,-117.10266530513763,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Mon May 16 19:29:37 +0000 2011	4ac3c1abf964a520b09c20e3	{Callaway Vineyard & Winery}	{33.524796085610056,-117.08979606628418,Temecula,CA,United States}	{Outdoors & Recreation,Food,}
3728	Mon May 16 15:14:21 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Sat May 14 21:07:32 +0000 2011	4b91e5fbf964a52056de33e3	{Falkner Winery}	{33.53087783302901,-117.06902503967285,Temecula,CA,United States}	{Nightlife Spot,Outdoors & Recreation,Food,}
3728	Fri May 13 20:07:41 +0000 2011	4be3534c21d5a5936ee01811	{Tesoro Winery}	{33.49520843,-117.151328,Temecula,CA,United States}	{Nightlife Spot,Food,Arts & Entertainment,}
3728	Fri May 13 20:04:45 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Thu May 12 15:26:03 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Wed May 11 21:05:31 +0000 2011	4ac3c1abf964a520b09c20e3	{Callaway Vineyard & Winery}	{33.524796085610056,-117.08979606628418,Temecula,CA,United States}	{Outdoors & Recreation,Food,}
3728	Wed May 11 17:30:07 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Tue May 10 15:19:14 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Mon May 09 15:18:00 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Sun May 08 00:57:00 +0000 2011	4cb3a81939458cfa77f01ba0	{Domenigoni Ranch}	{33.6707563,-117.08257776666666,Winchester,CA,United States}	{}
3728	Sat May 07 23:34:57 +0000 2011	4b773753f964a520ad882ee3	{Pechanga Resort and Casino}	{33.45559506542474,-117.10577130317688,Temecula,CA,United States}	{Nightlife Spot,Travel & Transport,Arts & Entertainment,Hotel,}
3728	Sat May 07 21:37:45 +0000 2011	4b91e88ef964a520ddde33e3	{Temecula Creek Inn}	{33.46745634077916,-117.13178631808216,Temecula,CA,United States}	{Travel & Transport,}
3728	Sat May 07 20:39:06 +0000 2011	4b773753f964a520ad882ee3	{Pechanga Resort and Casino}	{33.45559506542474,-117.10577130317688,Temecula,CA,United States}	{Nightlife Spot,Travel & Transport,Arts & Entertainment,Hotel,}
3728	Sat May 07 20:22:43 +0000 2011	4b91e88ef964a520ddde33e3	{Temecula Creek Inn}	{33.46745634077916,-117.13178631808216,Temecula,CA,United States}	{Travel & Transport,}
3728	Fri May 06 15:30:35 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Fri May 06 00:47:56 +0000 2011	4b64d200f964a520a3d22ae3	{Duke's  Mesquite Broiler}	{33.4816302338391,-117.10140042413438,Temecula,CA,United States}	{Food,}
3728	Thu May 05 15:17:23 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Thu May 05 00:55:24 +0000 2011	4c1017f9b93cc9b6633556e0	{The Beauty Studio}	{33.485637878319196,-117.07737120775165,Temecula,CA,United States}	{Shop & Service,}
3728	Wed May 04 23:05:47 +0000 2011	4b9c2489f964a520714e36e3	{Starbucks}	{33.5135837527611,-117.10242887216354,Temecula,CA,United States}	{Food,}
3728	Wed May 04 00:47:05 +0000 2011	4bf497022d62952159266058	{St Martha Catholic Church}	{33.581747377507156,-117.17601564929744,Murrieta,CA,United States}	{Spiritual Center,Arts & Entertainment,Professional & Other Places,}
3728	Tue May 03 15:17:12 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Mon May 02 15:17:18 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Sun May 01 21:26:54 +0000 2011	4b91e5fbf964a52056de33e3	{Falkner Winery}	{33.53087783302901,-117.06902503967285,Temecula,CA,United States}	{Nightlife Spot,Outdoors & Recreation,Food,}
3728	Sat Apr 30 16:46:52 +0000 2011	4cca19d80a9ab1f77ea819f4	{Pro Files Nail Salon}	{33.483065,-117.10209566666667,Temecula,CA,United States}	{}
3728	Thu Apr 28 19:53:13 +0000 2011	4c9d40468afca093241ff515	{Doheny State Beach Campground}	{33.462034790343466,-117.68005674455642,Capistrano Beach,CA,United States}	{Outdoors & Recreation,}
3728	Thu Apr 28 15:37:25 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Wed Apr 27 17:38:51 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Tue Apr 26 21:05:10 +0000 2011	4bb00430f964a520ef313ce3	{Yogurt Island}	{33.4825372,-117.09494669,Temecula,CA,United States}	{Food,}
3728	Tue Apr 26 15:19:40 +0000 2011	4d9248279213b1f7838faf46	{Sweat Cardio and Yoga}	{33.484654775530736,-117.0828652381897,Temecula,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3728	Mon Apr 25 21:10:57 +0000 2011	4b48eaa5f964a520345d26e3	{Ronald Reagan Sports Park}	{33.49939122334935,-117.12249755859375,Temecula,CA,United States}	{Outdoors & Recreation,Athletics & Sports,}
3728	Sun Apr 24 00:07:33 +0000 2011	4ae4c8caf964a520249e21e3	{Temecula Pizza Co}	{33.47887627623849,-117.13888049125671,Temecula,CA,United States}	{Food,}
===
3728	Thu Jan 27 00:41:02 +0000 2011	4d3f926b915a370491c40c7f	{Jennings  House}	{33.63128299201362,-111.83897258678495,Scottsdale,AZ,United States}	{Residence,}
3728	Wed Jan 26 23:26:35 +0000 2011	4d99ddfc97d06ea8c555530b	{Phoenix Campus Mayo Specialty Building}	{33.65923502056401,-111.95536685811385,Phoenix,AZ,United States}	{Medical Center,Professional & Other Places,}
3728	Wed Jan 26 19:56:21 +0000 2011	4b677272f964a520804f2be3	{Mayo Clinic}	{33.585594306227904,-111.79335594177246,Scottsdale,AZ,United States}	{Medical Center,Professional & Other Places,}
3728	Wed Jan 26 19:56:21 +0000 2011	4b677272f964a520804f2be3	{Mayo Clinic}	{33.585594306227904,-111.79335594177246,Scottsdale,AZ,United States}	{Medical Center,Professional & Other Places,}
3728	Wed Jan 26 18:25:12 +0000 2011	4d3f926b915a370491c40c7f	{Jennings  House}	{33.63128299201362,-111.83897258678495,Scottsdale,AZ,United States}	{Residence,}
3728	Wed Jan 26 18:25:12 +0000 2011	4d3f926b915a370491c40c7f	{Jennings  House}	{33.63128299201362,-111.83897258678495,Scottsdale,AZ,United States}	{Residence,}
3728	Wed Jan 26 16:20:23 +0000 2011	4b4fc33df964a520791427e3	{AJ's Fine Foods}	{33.62198122031633,-111.87360763549805,Scottsdale,AZ,United States}	{Shop & Service,Food & Drink Shop,}
3728	Wed Jan 26 03:19:47 +0000 2011	4d3f926b915a370491c40c7f	{Jennings  House}	{33.63128299201362,-111.83897258678495,Scottsdale,AZ,United States}	{Residence,}
3728	Wed Jan 26 03:08:49 +0000 2011	4bd756b035aad13a50a98ef3	{Cherry On Top Frozen Yogurt - Scottsdale}	{33.77987748195588,-111.92329858753517,Scottsdale,AZ,United States}	{Food,}
3728	Wed Jan 26 01:42:05 +0000 2011	4afe325ef964a520ae2e22e3	{Maggiano's Little Italy}	{33.63719447383839,-111.92481637001038,Scottsdale,AZ,United States}	{Food,}
3728	Tue Jan 25 19:45:29 +0000 2011	4b4fc33df964a520791427e3	{AJ's Fine Foods}	{33.62198122031633,-111.87360763549805,Scottsdale,AZ,United States}	{Shop & Service,Food & Drink Shop,}
===
3728	Tue Dec 21 18:02:01 +0000 2010	4bc9e887511f9521d37daec7	{Great Harvest Bread Company}	{33.51333796977997,-117.102913,Temecula,CA,United States}	{Food,}
3728	Mon Dec 20 21:14:06 +0000 2010	4a3da57ef964a52092a21fe3	{Public House}	{33.49345643,-117.14837513333333,Temecula,CA,United States}	{Nightlife Spot,Food,}
3728	Sat Dec 18 20:55:20 +0000 2010	4b2d4d2ef964a52095d324e3	{Temecula Promenade Mall}	{33.52529695155947,-117.1541690826416,Temecula,CA,United States}	{Shop & Service,}
3728	Sat Dec 18 18:42:59 +0000 2010	4b9c2489f964a520714e36e3	{Starbucks}	{33.5135837527611,-117.10242887216354,Temecula,CA,United States}	{Food,}
===
3728	Fri Nov 12 22:44:04 +0000 2010	4ba3f17df964a520fb6f38e3	{Rosa's Cafe & Tortilla Factory}	{33.502832976386486,-117.15407449874554,Temecula,CA,United States}	{Food,}
