3792	Sun Jun 19 01:04:17 +0000 2011	49c42e9af964a520a4561fe3	{Funnel Mill of Santa Monica}	{34.019478181080125,-118.48825242064947,Santa Monica,CA,United States}	{Food,}
3792	Fri Jun 03 15:37:04 +0000 2011	4bdb197e2a3a0f47da68adb6	{Beach Overlook : Montana Stairs}	{34.02214203144416,-118.50729716351464,Santa Monica,CA,United States}	{Outdoors & Recreation,}
3792	Thu Jun 02 22:17:33 +0000 2011	4a60a888f964a520f7c01fe3	{Annenberg Community Beach House}	{34.024218757840266,-118.51321541133241,Santa Monica,CA,United States}	{Outdoors & Recreation,Professional & Other Places,}
3792	Thu Jun 02 22:11:12 +0000 2011	4a60a888f964a520f7c01fe3	{Annenberg Community Beach House}	{34.024218757840266,-118.51321541133241,Santa Monica,CA,United States}	{Outdoors & Recreation,Professional & Other Places,}
3792	Tue May 31 16:05:56 +0000 2011	4bdb197e2a3a0f47da68adb6	{Beach Overlook : Montana Stairs}	{34.02214203144416,-118.50729716351464,Santa Monica,CA,United States}	{Outdoors & Recreation,}
3792	Sat May 28 23:38:12 +0000 2011	4ab05102f964a5200a6720e3	{Starbucks}	{34.00106834571994,-118.48251575955386,Santa Monica,CA,United States}	{Food,}
3792	Sat May 28 16:11:27 +0000 2011	4c282f2be19720a123a3f758	{The Rose Garden}	{34.022900839987955,-118.50880240276265,Santa Monica,CA,United States}	{Outdoors & Recreation,}
3792	Sat May 28 16:03:36 +0000 2011	4bdb197e2a3a0f47da68adb6	{Beach Overlook : Montana Stairs}	{34.02214203144416,-118.50729716351464,Santa Monica,CA,United States}	{Outdoors & Recreation,}
3792	Fri May 27 21:42:30 +0000 2011	4a862188f964a520890020e3	{Chipotle Mexican Grill}	{34.07399055384316,-118.3765697479248,Los Angeles,CA,United States}	{Food,}
3792	Tue May 03 16:49:55 +0000 2011	4bdb197e2a3a0f47da68adb6	{Beach Overlook : Montana Stairs}	{34.02214203144416,-118.50729716351464,Santa Monica,CA,United States}	{Outdoors & Recreation,}
3792	Sun May 01 18:04:49 +0000 2011	4c282f2be19720a123a3f758	{The Rose Garden}	{34.022900839987955,-118.50880240276265,Santa Monica,CA,United States}	{Outdoors & Recreation,}
===
3792	Sun Jan 30 01:35:33 +0000 2011	4b173723f964a520dcc323e3	{Pavilions}	{34.027783331003576,-118.5000387526432,Santa Monica,CA,United States}	{Shop & Service,Food & Drink Shop,}
3792	Fri Jan 14 05:56:51 +0000 2011	4c282f2be19720a123a3f758	{The Rose Garden}	{34.022900839987955,-118.50880240276265,Santa Monica,CA,United States}	{Outdoors & Recreation,}
3792	Fri Jan 14 05:54:26 +0000 2011	4c283237fe6e2d7f1cf8523c	{Palisades Ocean Walkway}	{34.02377881618014,-118.51059270730646,Santa Monica,CA,United States}	{Outdoors & Recreation,}
3792	Thu Jan 13 21:15:54 +0000 2011	4bdb197e2a3a0f47da68adb6	{Beach Overlook : Montana Stairs}	{34.02214203144416,-118.50729716351464,Santa Monica,CA,United States}	{Outdoors & Recreation,}
